gene,g4,g5,g6,g8,g9,g11,g13,g16,g17,g19
acr1,0,0,0,0,0,0,0,0,0,1
acr3,1,1,1,1,1,1,1,1,1,1
acrB,1,1,1,1,1,1,1,1,1,1
acsA_1,1,1,1,1,1,1,1,1,1,1
acsA_2,1,1,1,1,1,1,1,1,1,1
acsA_2~~~acsA_3,1,1,1,1,1,1,1,1,1,1
acsA_4,1,1,1,1,1,1,1,1,1,1
acsE,1,1,1,1,1,1,1,1,1,1
actIII,1,1,1,1,1,1,1,1,1,1
actP,1,1,1,1,1,1,1,1,1,1
acuI_2~~~acuI_1~~~acuI,1,1,0,2,0,0,0,1,1,0
acxA,1,1,1,1,1,1,1,1,1,1
acxB,2,1,1,2,2,2,2,2,2,1
acxC,1,1,1,1,1,1,1,1,1,1
acyP,1,1,1,1,1,1,1,1,1,1
ada,1,1,1,1,1,1,1,1,1,1
addA,2,2,1,2,2,1,2,2,2,2
ade2,1,1,1,1,1,1,1,1,1,1
adeC,1,1,1,1,1,1,1,1,1,1
adeC_1~~~ade_1~~~ade_2,1,1,1,1,1,1,2,2,2,1
adeP_1,1,1,1,1,1,1,1,1,1,1
adeP_2,1,1,1,1,1,1,1,1,1,1
ade_1~~~adeC_2,1,1,2,1,1,1,1,1,1,1
adh1_1,1,1,1,1,1,1,1,1,1,1
adh1_2,1,1,1,1,1,1,1,1,1,1
adhC2,1,1,1,1,1,1,1,1,1,1
adhT_1,0,0,1,0,0,1,1,0,0,0
adhT~~~tdh_3,1,1,1,1,1,1,1,1,1,1
adh_1,1,1,1,1,1,1,1,1,1,1
adh_2,1,1,1,1,1,1,1,1,1,1
adiA~~~ldcC,1,1,2,1,1,1,1,2,2,2
adk,1,1,1,1,1,1,1,1,1,1
aes_1,1,1,1,1,1,1,1,1,1,1
aes_2,1,1,1,1,1,1,1,1,1,1
afr_1~~~iolG_16,1,1,1,1,1,1,1,1,1,1
afr_2,1,1,1,1,1,1,1,1,1,1
agaAII,1,1,1,1,1,1,1,1,1,1
agpA_1,1,1,1,1,1,1,2,1,1,1
agpA_1~~~agpA_2~~~agpA_3,1,1,0,0,1,0,0,1,1,2
agpA_2,1,1,1,1,1,1,1,1,1,1
ahcY,1,1,1,1,1,1,1,1,1,1
aidB,1,1,1,1,1,1,1,1,1,1
ala,0,0,1,0,0,0,0,0,0,0
alaC,1,1,1,1,1,1,1,1,1,1
alaS_1~~~alaS_2~~~alaS,2,1,1,1,1,1,1,1,1,1
ald2_1,1,1,1,1,1,1,1,1,1,1
ald2_2,1,1,1,1,1,1,1,1,1,1
aldA,1,1,1,1,1,1,1,1,1,1
aldHT_1,1,1,1,1,1,1,1,1,1,1
aldHT_2,1,1,1,1,1,1,1,1,1,1
aldHT_3,1,1,0,1,0,0,0,1,1,1
ald_1,1,1,1,1,1,1,1,1,1,1
ald_3,1,1,1,1,1,1,1,1,1,1
ald_3~~~ald_2,1,1,1,1,0,1,1,1,1,1
ald_4,1,1,1,1,1,1,1,1,1,1
algA,0,0,1,0,0,0,0,0,0,1
algE5,1,1,1,1,1,1,1,1,1,1
algE5_2,1,2,1,1,1,1,2,1,1,2
alkB,1,1,1,1,1,1,1,1,1,1
alkJ_1~~~alkJ_2~~~alkJ_7,1,1,1,1,1,1,1,1,1,1
alkJ_4~~~betA_2~~~alkJ_6~~~alkJ_3~~~alkJ_5~~~alkJ_2,2,1,1,1,2,2,2,2,2,1
alkJ_5~~~alkJ_6,1,1,0,0,0,0,0,1,1,0
alkJ_6,1,1,1,1,1,1,1,1,1,1
alkJ_8~~~betA_3~~~msmX_7,2,2,1,2,2,2,2,1,2,1
allA_1,1,1,1,1,1,1,1,1,1,1
allA_1~~~allA_2,1,1,1,1,1,1,1,1,1,1
allB_2,1,1,0,0,0,0,0,1,1,0
allC_1,1,1,1,1,0,1,1,1,1,1
allC_2,1,1,1,1,0,1,1,1,1,1
allE,1,2,1,2,2,2,2,2,2,1
alr,1,1,1,1,1,1,1,1,1,1
alr1,1,1,0,1,0,0,0,0,0,0
alsB,1,1,1,1,1,1,1,1,1,1
alsS,0,0,0,0,0,0,0,0,0,1
alsT_1,1,1,1,1,1,1,1,1,1,1
alsT_2~~~alsT_1,1,1,1,1,1,1,1,1,1,1
alsT_3,1,1,1,1,1,1,1,1,1,1
amiC_1,1,1,1,1,1,1,1,1,1,1
amiC_1~~~QRSL1~~~xylG_2,1,1,2,2,2,2,2,2,2,2
amiC_2,1,1,1,1,1,1,1,1,1,1
amiC_3,1,1,1,1,1,1,1,1,1,1
amiD_2,1,1,1,1,1,1,1,1,1,1
amiR,1,1,1,1,1,1,1,1,1,1
amn,1,1,1,1,1,1,1,1,1,1
ampC,1,1,1,1,1,1,1,1,1,1
ampR,1,1,1,1,1,1,1,1,1,1
amtB,1,1,1,1,1,1,1,1,1,1
andAa_1~~~camA~~~andAa_2,2,1,1,1,1,1,1,1,1,1
andAa_2,1,1,1,1,1,1,1,1,1,1
anmK,1,1,1,1,1,1,1,1,1,1
anoR,0,0,0,0,0,0,0,1,1,0
ant1,1,1,1,1,1,1,1,1,1,1
apaG,1,1,1,1,1,1,1,1,1,1
apbC,1,1,1,1,1,1,1,1,1,1
apbE,0,0,0,0,0,0,0,1,1,0
apc3_1,1,1,0,1,1,1,1,1,1,1
apc3_2,1,1,0,1,0,0,0,1,1,1
apc3_3,1,1,1,1,1,1,1,1,1,1
apc4_1,0,0,0,0,0,0,1,0,0,0
apc4_2,1,1,0,1,0,0,0,1,1,1
apc4~~~apc4_3,1,1,1,1,2,1,2,1,1,1
aplK,1,1,1,1,1,1,1,1,1,1
apnL_1~~~apnL_2~~~apnL,1,1,1,1,1,2,1,1,1,2
apnO,1,1,1,1,1,1,1,1,1,1
appA_1,1,1,1,1,1,1,1,1,1,1
appA_2,1,1,1,1,1,1,1,1,1,1
apr,1,2,2,2,1,2,2,2,2,2
apsD_2,1,1,1,1,1,1,1,1,1,1
apsD_2~~~apsD_3~~~apsD_1,1,1,1,1,1,1,2,1,1,2
apt,1,1,1,1,1,1,1,1,1,1
aptA,1,1,1,1,1,1,1,1,1,1
aptB,1,1,1,1,1,1,1,1,1,1
apxIB,1,1,1,1,1,1,1,1,1,1
aqdA1,1,1,1,1,1,1,1,1,1,1
aqpZ2,1,1,1,1,1,1,1,1,1,1
araA,1,1,1,1,1,1,1,1,1,1
araB_1,1,1,1,1,1,1,1,1,1,1
araB_1~~~araB_2,1,1,1,1,1,1,1,1,1,1
araC_1~~~araC_3,1,1,1,1,1,1,1,1,1,1
araC_2,1,1,1,1,1,1,1,1,1,1
araC_3,1,1,1,1,1,1,1,1,1,1
araF,1,1,1,1,1,1,1,1,1,1
araG_1,1,1,1,1,1,1,1,1,1,1
araG_2,1,1,1,1,1,1,1,1,1,1
araG_3,1,1,1,1,1,1,1,1,1,1
araH_2,1,1,1,1,1,1,1,1,1,1
araH_2~~~araH_1,1,1,1,1,1,1,1,1,1,1
araH_2~~~rbsC_3,1,1,1,1,1,1,1,1,1,1
araQ_1,1,1,1,1,1,1,1,1,1,1
araQ_2,0,0,0,0,0,1,1,0,0,0
araQ_3,1,1,0,1,1,0,0,1,1,1
araQ_4,1,1,1,1,1,1,1,1,1,1
arcA_2,1,1,1,1,1,1,1,1,1,1
arcA_3,1,1,1,1,1,1,1,1,1,1
arcA_3~~~arcA_1,1,1,1,2,1,1,1,1,1,1
arcB,1,1,1,1,1,1,1,1,1,1
arcC2,1,1,1,1,1,1,1,1,1,1
arfB,1,1,1,1,1,1,1,1,1,1
arg,1,1,1,1,1,1,1,1,1,1
argB,1,1,1,1,1,1,1,1,1,1
argC_2~~~argC_1~~~argC,1,1,1,1,1,1,1,1,2,1
argD_2,1,1,1,1,1,1,1,1,1,1
argD_2~~~argD_1,1,1,1,2,1,2,1,1,1,2
argD_3,1,1,1,1,1,1,1,1,1,1
argE,1,1,0,1,3,0,0,1,1,1
argE_1~~~dapE_1,0,0,0,0,0,0,0,1,1,0
argE_1~~~dapE_3,0,0,0,0,0,0,0,1,2,0
argF,1,1,1,1,1,1,1,1,1,1
argG,1,1,1,1,1,1,1,1,1,1
argH_1,1,1,1,1,1,1,1,1,1,1
argH_2,1,1,1,1,1,1,1,1,1,1
argI~~~argF_1,0,0,1,0,0,1,1,0,0,1
argO,1,1,1,1,1,1,1,1,1,1
argP,0,0,0,0,0,0,1,0,0,0
argP~~~dmlR_5,1,1,0,1,1,0,0,1,1,1
argS,1,1,1,1,1,1,1,1,1,1
argT,1,1,1,1,1,1,1,1,1,1
argT_2,0,0,0,0,0,0,0,1,1,0
argT_3,0,0,0,0,0,0,0,1,1,0
arnB,1,1,1,1,1,1,1,1,1,1
arnC_2,1,1,2,1,1,1,1,1,1,1
arnC~~~arnC_1,1,1,1,1,1,1,1,1,1,1
aroA,1,1,1,1,1,1,1,1,1,1
aroB,0,0,0,0,0,0,0,1,1,1
aroC,1,1,1,1,1,1,1,1,1,1
aroE_1,1,1,0,1,1,0,0,1,1,0
aroE_2,1,1,1,1,1,1,1,1,1,1
aroE_3,1,1,1,1,1,1,1,1,1,1
aroE_4,0,0,0,0,0,0,0,0,0,1
aroH,1,1,1,1,1,1,1,1,1,1
aroK,1,1,1,1,1,1,1,1,1,1
aroQ_2,1,1,1,1,1,1,1,1,1,1
aroQ_2~~~aroQ_1,1,1,1,1,1,1,1,1,1,1
arsC_1,1,1,1,1,1,1,1,1,1,1
arsC_2,1,1,1,1,1,1,1,1,1,1
arsC_3,1,1,1,1,1,1,1,1,1,1
arsH,1,1,1,1,1,1,1,1,1,1
artI_1,1,1,1,1,1,1,1,1,1,1
artJ_2,1,1,1,1,1,1,1,1,1,1
artM_2,1,1,0,1,1,0,0,1,1,1
aruH,1,1,1,1,1,1,1,1,1,1
aruH_2~~~hisC_3~~~hisC_5~~~dapL,1,1,1,1,1,1,1,1,1,1
aruI_1,1,1,2,1,0,1,1,1,1,1
aruI_4~~~aruI_5~~~aruI_1,2,1,1,2,2,2,2,1,1,1
asd,0,0,0,0,0,0,0,1,1,0
asd2,1,1,1,1,1,1,1,1,1,1
asd2_1~~~asd_2~~~asd2_3,0,0,1,0,0,1,2,0,0,0
asd2_2,0,0,0,0,0,0,1,0,0,0
asd_1,0,0,0,0,0,0,1,0,0,0
asnB_2~~~asnB~~~asnB_1,1,1,2,1,1,2,2,2,1,2
asnB_3~~~asnB_1~~~purF_3~~~purF_1,2,2,1,2,1,1,2,1,2,2
asnC,1,1,1,1,1,1,1,1,1,1
aspC_2,1,1,1,1,1,1,1,1,1,1
aspC_2~~~aspC_1,1,1,1,1,0,1,1,1,1,1
aspC_3,1,1,1,1,1,1,1,1,1,1
aspS,1,1,1,1,1,1,1,1,1,1
atm1,1,1,1,1,1,1,1,1,1,1
atoC_1,1,1,1,1,1,2,1,1,1,1
atoC_1~~~atoC_2,1,1,1,1,1,1,1,1,1,1
atoD,0,0,0,0,0,0,1,0,0,0
atpA,1,1,1,1,1,1,1,1,1,1
atpB_1~~~fliI,1,1,1,1,1,1,1,2,2,1
atpB_2~~~atpB,1,1,1,1,1,1,1,1,1,1
atpC,1,1,1,1,1,1,1,1,1,1
atpD_2~~~atpD_1~~~atpD,1,1,1,1,2,1,1,1,1,1
atpE,1,1,1,1,1,1,1,1,1,1
atpF_1,1,1,1,1,1,1,1,1,1,1
atpF_2,1,1,1,1,1,1,1,1,1,1
atpG,1,1,1,1,1,1,1,1,1,1
atpH,1,1,1,1,1,1,1,1,1,1
atsA_2~~~atsA_1~~~atsA,2,2,1,1,1,1,1,1,1,1
atsK,0,0,0,0,0,0,0,1,1,0
atsK_2,0,0,0,0,0,1,0,0,0,0
atzA~~~triA,1,1,1,1,1,1,1,1,1,1
atzC,1,1,1,1,1,1,1,1,1,1
aviRb,1,1,1,1,1,1,1,1,1,1
avrRpt2,1,1,1,1,0,0,0,0,0,0
azoR,1,1,1,1,1,1,1,1,1,1
azoR1,1,1,1,1,1,1,1,1,1,1
bacC_1~~~bacC_2,1,1,1,1,1,1,1,1,1,1
bacC_2,1,1,0,1,1,1,1,1,1,1
bacC_3,1,1,1,1,1,1,1,1,1,1
bacC_4,1,1,1,1,0,1,1,1,1,1
bacC_5,1,1,0,0,1,0,0,1,1,0
bacC_6,1,1,1,1,1,1,1,1,1,1
badA,1,1,1,2,1,1,1,1,1,1
baeR,1,1,1,1,1,1,1,1,1,1
bamA_1,1,1,1,1,1,1,1,1,1,1
bamA_2~~~bamA_1,1,1,1,1,1,1,1,1,1,1
bamD,1,1,1,1,1,1,1,1,1,1
bamE,1,1,1,1,1,1,1,1,1,1
bauA_1,1,1,1,1,1,1,1,1,1,1
bauA_1~~~bauA_2,1,1,1,1,1,1,1,1,1,1
bauC,1,1,1,1,1,1,1,1,1,1
bcp_1,1,1,1,1,1,1,1,1,1,1
bcp_2,1,1,1,1,1,1,1,1,1,1
bcr_1,1,1,1,1,1,1,1,1,1,1
bcr_2,1,1,1,1,1,1,1,1,1,1
bcsA,1,1,1,1,1,1,1,2,1,2
bcsA_2~~~bcsA~~~bcsA_1,2,3,3,4,3,5,3,1,5,2
bdcA,1,1,1,1,1,1,1,1,1,1
bdhA,1,1,1,1,1,1,1,1,1,1
bdhA_1,0,0,0,0,0,0,0,1,1,0
bdlA,1,1,1,1,1,1,1,1,1,1
benM,1,1,1,1,1,1,1,1,1,1
bepA_1,1,1,1,1,1,1,1,1,1,1
bepA_2,1,1,1,1,1,1,1,1,1,1
bepA_3,1,1,1,1,1,1,1,1,1,1
bepA_4,0,0,0,0,0,1,1,0,0,2
bepA_6~~~bepA_2,0,0,1,0,0,1,1,1,1,0
bepC_1~~~bepC~~~bepC_2,2,2,1,2,1,1,2,1,2,1
bepE~~~mdtC_3,1,1,1,1,1,1,1,1,1,1
bepF_1,1,1,1,1,1,1,1,1,1,1
bepF_2,1,1,1,1,1,1,1,1,1,1
bepF_3,1,1,1,1,1,1,1,1,1,1
bepG,1,1,1,1,1,1,1,1,1,1
bepR,1,1,1,1,1,1,1,1,1,1
betA,1,1,1,1,1,1,1,1,1,1
betA_1,0,0,1,0,0,1,1,0,0,0
betA_2~~~alkJ_2~~~alkJ_1~~~alkJ_4,2,1,2,2,1,1,1,1,2,1
betA_4~~~betA_5,1,1,2,1,1,1,1,2,1,1
betB_1,1,1,1,1,1,1,1,1,1,1
betB_1~~~davD_3,0,0,2,0,0,1,1,0,0,0
betB_2,1,1,1,1,1,1,1,1,1,1
betB_3,1,1,1,1,1,1,1,1,1,1
betB_4~~~araE~~~tsaD1~~~betB_2,1,1,1,2,1,2,2,1,1,2
betB_4~~~gbsA,1,1,1,1,2,1,1,1,1,1
betB_6,0,0,0,0,0,1,1,0,0,0
betB_7,0,0,0,0,0,0,1,0,0,0
betC_1,1,1,1,1,1,1,1,1,1,1
betC_2,1,1,1,1,1,1,1,1,1,1
betI_1,1,1,1,1,1,1,1,1,1,1
betI_2,1,1,1,1,1,1,1,1,1,1
betI_3,1,1,1,1,1,1,1,1,1,1
betS_2~~~betS_1~~~betS_3~~~betS,3,3,2,3,3,3,3,3,3,1
bfmBAB~~~dxs_1,1,1,1,1,1,1,1,1,1,2
bfr,1,1,1,1,1,1,1,1,1,1
bglA,1,1,1,1,1,1,1,1,1,1
bhbA_1~~~bhbA_2,1,1,1,1,1,1,1,1,1,1
bhbA_2,1,1,1,1,1,1,1,1,1,1
bicA,1,1,1,2,1,1,1,1,1,1
bigR,1,1,1,1,1,1,1,1,1,1
bigR_1~~~blh_1~~~gloB_3,0,0,2,0,0,2,1,0,0,1
bioA,0,0,0,0,0,0,1,0,0,0
bioF,1,1,1,1,1,1,1,1,1,1
bioM,1,1,1,1,1,1,1,1,1,1
bioN,1,1,1,1,1,1,1,1,1,1
bioS,1,1,1,1,1,1,1,1,1,1
bioY,1,1,1,1,1,1,1,1,1,1
birA,1,1,1,1,1,1,1,1,1,1
bkdA1,1,1,1,1,1,2,1,1,1,1
bkdA2,1,1,1,1,1,1,1,1,1,1
bkdB,1,1,1,1,1,1,1,1,1,1
blaP,1,1,1,1,1,1,1,1,1,1
blh_1,1,1,1,1,1,1,1,1,1,1
blh_2,1,1,1,1,1,1,1,1,1,1
bluB,1,1,1,1,1,1,1,1,1,1
bmaC_1~~~bmaC,0,0,1,0,0,0,0,0,0,1
bmaC_2~~~bmaC,2,1,1,1,1,1,2,1,1,1
bolA,1,1,1,1,1,1,1,1,1,1
bphC,0,0,1,0,0,1,1,0,0,0
bpt,1,1,1,1,1,1,1,1,1,1
braC,1,1,1,1,1,1,1,1,1,1
bshA_2,1,1,1,1,1,1,1,1,1,1
bshA_2~~~bshA_1,1,1,1,1,1,1,1,1,1,1
bshB1_1,1,1,1,1,1,1,1,1,1,1
bshB1_2,1,1,1,1,1,1,1,1,1,1
bspRIM,0,0,0,0,0,0,0,0,0,1
btuB_2~~~btuB,1,1,2,2,2,2,1,2,2,1
btuC_1,0,0,1,0,0,0,0,0,0,0
btuC_1~~~yfhA_1~~~yfhA_2,1,1,1,1,1,1,1,1,1,1
btuC_2,1,1,1,1,1,1,1,1,1,1
btuD_1,1,1,1,1,1,1,1,1,1,1
btuD_10,1,1,1,1,1,1,1,1,1,1
btuD_10~~~potA_2,1,1,1,1,1,1,1,1,1,1
btuD_11,1,1,0,0,1,0,0,1,1,0
btuD_11~~~btuD_21~~~rbsA_8~~~rbsA_6,2,2,2,1,2,2,2,2,2,1
btuD_12,1,1,1,1,1,1,1,1,1,1
btuD_12~~~frcA_2~~~frcA_3,1,1,2,1,2,2,2,1,2,0
btuD_12~~~ybhF,1,1,1,1,1,1,1,1,1,1
btuD_13,1,1,1,1,1,1,1,1,1,1
btuD_13~~~phnC~~~btuD_16,1,1,1,1,1,1,1,1,1,1
btuD_14,0,0,0,0,0,1,0,0,0,0
btuD_15,0,0,0,0,0,1,0,0,0,0
btuD_16,0,0,0,0,0,0,0,0,0,1
btuD_16~~~btuD_22,1,1,1,1,1,1,1,1,1,1
btuD_17,1,1,1,1,1,1,1,1,1,1
btuD_17~~~sugC_1,1,1,1,1,1,1,1,1,1,1
btuD_18,1,1,1,1,1,1,1,1,1,1
btuD_19,1,1,1,1,1,1,1,1,1,1
btuD_21,1,1,1,1,1,1,1,1,1,1
btuD_21~~~msmX_4,1,1,1,1,1,1,1,1,1,1
btuD_23~~~rbsA_12,1,1,1,1,1,1,1,1,1,1
btuD_28,0,0,0,0,0,0,1,0,0,0
btuD_4,1,1,1,1,1,1,1,1,1,1
btuD_5,1,1,1,1,1,1,1,1,1,1
btuD_6~~~btuD_8,1,1,1,1,1,1,1,1,1,1
btuD_7,0,0,1,0,0,0,0,0,0,0
btuD_8,0,0,1,0,0,0,0,0,0,0
btuD_9,1,1,1,1,1,1,1,1,1,1
btuD_9~~~ugpC_8,1,1,0,1,1,0,0,1,1,1
budC,1,1,1,1,1,1,1,1,1,1
cah_1,1,1,1,1,1,1,1,1,1,1
cah_2,1,1,1,1,0,0,0,0,0,0
cah_2~~~cah_3,0,0,1,0,1,1,1,0,0,0
caiA~~~mmgC_1,1,2,1,1,1,1,1,1,1,1
caiC,1,1,1,1,1,1,1,1,1,1
caiD_2,1,1,1,1,1,1,1,1,1,1
caiD_2~~~caiD_1,1,1,1,1,1,1,1,1,1,1
calB,1,1,0,1,1,0,0,0,0,0
carA_2~~~carA_1,2,1,1,1,1,1,1,1,1,2
carA_3,1,1,1,1,1,1,1,1,1,1
carB_1,0,0,1,0,0,0,0,0,0,0
carB_2,0,0,1,0,0,0,0,0,0,0
carB_2~~~carB_1~~~carB,1,1,1,1,1,1,1,2,1,1
carB_3,0,0,0,0,0,0,0,1,1,0
carB_3~~~accA1_1~~~carB_1~~~accA1_2,1,1,1,1,1,1,1,1,1,1
carB_4~~~carB_2,0,0,0,0,0,0,0,1,1,0
carD,1,1,1,1,1,1,1,1,1,1
carE,1,1,1,1,1,1,1,1,1,1
catD,1,1,1,1,1,1,1,1,1,1
catD_1,0,0,1,0,0,0,0,0,0,0
catE,1,1,1,1,1,1,1,1,1,1
cbbA,1,1,1,1,1,1,1,1,1,1
cbbL_1~~~cbbL_2~~~cbbL,2,2,2,2,2,1,1,2,2,2
cbbS,1,1,1,1,1,1,1,1,1,1
cbbX_1~~~cbbX_2~~~cbbX,1,1,1,1,1,1,1,1,2,2
cbf2,1,1,1,1,1,1,1,1,1,1
cbiG,1,1,1,1,1,1,1,1,1,1
cbl,1,1,1,1,1,1,1,1,1,1
cbpA,1,1,1,1,1,1,1,1,1,1
cbpA_1~~~cbpA_2~~~dnaJ_3~~~dnaJ_1,1,2,2,2,2,2,2,3,1,1
cca,1,1,1,1,1,1,1,1,1,1
cckA,1,1,1,1,1,1,1,1,1,1
cckA_1,0,0,1,0,0,1,1,1,1,0
cckA_2~~~rcsC_6,1,1,0,1,1,0,0,1,1,2
ccmA,1,1,1,1,1,1,1,1,1,1
ccmB,1,1,1,1,1,1,1,1,1,1
ccmC,1,1,1,1,1,1,1,1,1,1
ccmE,1,1,1,1,1,1,1,1,1,1
ccmF,3,3,3,1,3,2,2,1,3,2
ccmH,1,1,1,1,1,1,1,1,1,1
ccoP,1,1,1,1,1,1,1,1,1,1
ccpA_1,0,0,1,0,0,1,1,0,0,0
ccpA_3,1,1,1,1,1,1,1,1,1,1
ccpA_4,0,0,1,0,0,1,1,0,0,0
ccpA_4~~~cytR_2,1,1,1,1,1,1,1,2,2,1
ccpA_5,1,1,0,1,1,0,0,1,1,1
ccpA_5~~~ccpA_2,1,1,1,1,1,1,1,1,1,1
ccpA_6,1,1,1,1,1,1,1,1,1,1
cdd,1,1,1,1,1,1,1,1,1,1
cdhR_1,1,1,1,1,1,1,1,1,1,1
cdhR_2,1,1,1,1,1,1,1,1,1,1
cdhR_3,1,1,1,1,1,1,1,1,1,1
cdhR_3~~~cdhR_6,1,1,1,1,1,1,1,1,1,1
cdhR_4,1,1,1,1,1,1,1,1,1,1
cdhR_4~~~cdhR_5,1,2,1,1,1,0,0,1,1,0
cecR,1,1,1,1,1,1,1,1,1,1
cfa_1,1,1,1,1,1,1,1,1,1,1
cfa_2,1,1,1,1,1,1,1,1,1,1
cgtA~~~proB,2,1,1,2,2,2,2,2,2,2
chaA_1,1,1,0,1,0,0,0,0,0,0
chaA_2,1,1,1,0,0,0,0,0,0,0
chaA_3,1,1,1,1,1,1,1,1,1,1
chaA_3~~~chaA_2,0,0,1,1,1,1,1,1,1,1
chaC,1,1,1,1,1,1,1,1,1,1
cheA,1,1,1,1,1,1,1,1,1,1
cheB_1~~~cheB_7,2,1,1,1,2,1,1,1,1,1
cheB_2,1,1,1,1,1,1,1,1,1,1
cheB_4,1,1,1,1,1,1,1,1,1,1
cheB_5~~~cheB1,1,1,1,1,1,1,1,1,1,1
cheB_5~~~cheB_3,1,1,1,1,1,1,1,1,1,2
cheB_6,1,1,1,1,1,1,1,1,1,1
cheD,1,1,1,1,1,1,1,1,1,1
cheR1,1,1,2,1,1,2,2,1,2,1
cheR~~~cheW_2,2,1,2,2,2,2,2,2,2,2
cheW_1,1,1,1,1,1,1,1,1,1,1
cheW_3,1,1,1,1,1,1,1,1,1,1
cheY_1,1,1,1,1,1,1,1,1,1,1
cheY_2,1,1,1,1,1,1,1,1,1,1
chmD~~~gmd~~~strE,1,1,2,1,1,1,1,1,1,2
chpT,1,1,1,1,1,1,1,1,1,1
chvE,1,1,1,1,1,1,1,1,1,1
cimA,1,1,1,1,1,1,1,1,1,1
cinA,1,1,1,1,1,1,1,1,1,1
