replicon_type,gene,n
chromosome,argD_2,10
chromosome,argD_3,10
chromosome,argF,10
chromosome,argG,10
chromosome,argH_2,10
chromosome,argS,10
chromosome,argT,10
chromosome,aroA,10
chromosome,aroC,10
chromosome,aroE_3,10
chromosome,aroH,10
chromosome,aroK,10
chromosome,aroQ_2,10
chromosome,arsC_3,10
chromosome,artJ_2,10
chromosome,aruH,10
chromosome,aruH_2~~~hisC_3~~~hisC_5~~~dapL,10
chromosome,asd2,10
chromosome,aspC_2,10
chromosome,aspC_3,10
chromosome,aspS,10
chromosome,atm1,10
chromosome,atoC_1~~~atoC_2,10
chromosome,atpA,10
chromosome,atpB_2~~~atpB,10
chromosome,atpC,10
chromosome,atpE,10
chromosome,atpF_1,10
chromosome,atpF_2,10
chromosome,atpG,10
chromosome,atpH,10
chromosome,aviRb,10
chromosome,azoR,10
chromosome,azoR1,10
chromosome,bacC_6,10
chromosome,baeR,10
chromosome,bamA_1,10
chromosome,bamA_2~~~bamA_1,10
chromosome,bamD,10
chromosome,bamE,10
chromosome,bauA_1,10
chromosome,bauA_1~~~bauA_2,10
chromosome,bauC,10
chromosome,bcp_2,10
chromosome,bcr_1,10
chromosome,bcr_2,10
chromosome,bdlA,10
chromosome,bepA_1,10
chromosome,bepA_2,10
chromosome,bepA_3,10
chromosome,bepE~~~mdtC_3,10
chromosome,bepF_2,10
chromosome,bepF_3,10
chromosome,bepR,10
chromosome,betA,10
chromosome,betB_3,10
chromosome,betC_1,10
chromosome,betC_2,10
chromosome,betI_2,10
chromosome,betI_3,10
chromosome,bfr,10
chromosome,bglA,10
chromosome,bigR,10
chromosome,bioF,10
chromosome,bioM,10
chromosome,bioN,10
chromosome,bioS,10
chromosome,bioY,10
chromosome,birA,10
chromosome,bkdA2,10
chromosome,bkdB,10
chromosome,blaP,10
chromosome,blh_1,10
chromosome,blh_2,10
chromosome,bluB,10
chromosome,bolA,10
chromosome,bpt,10
chromosome,bshA_2,10
chromosome,bshB1_2,10
chromosome,btuC_1~~~yfhA_1~~~yfhA_2,10
chromosome,btuC_2,10
chromosome,btuD_12,10
chromosome,btuD_13,10
chromosome,btuD_16~~~btuD_22,10
chromosome,btuD_17,10
chromosome,btuD_18,10
chromosome,btuD_19,10
chromosome,btuD_21,10
chromosome,btuD_21~~~msmX_4,10
chromosome,btuD_23~~~rbsA_12,10
chromosome,budC,10
chromosome,caiD_2,10
chromosome,carA_3,10
chromosome,catE,10
chromosome,cbf2,10
chromosome,cbiG,10
chromosome,cbl,10
chromosome,cbpA,10
chromosome,cca,10
chromosome,cckA,10
chromosome,ccmA,10
chromosome,ccmB,10
chromosome,ccmC,10
chromosome,ccmE,10
chromosome,ccmH,10
chromosome,ccpA_6,10
chromosome,cdd,10
chromosome,cdhR_2,10
chromosome,cdhR_3,10
chromosome,cdhR_3~~~cdhR_6,10
chromosome,cdhR_4,10
chromosome,cfa_1,10
chromosome,cfa_2,10
chromosome,chaA_3,10
chromosome,chaC,10
chromosome,cheA,10
chromosome,cheB_6,10
chromosome,cheD,10
chromosome,cheW_1,10
chromosome,cheW_3,10
chromosome,cheY_1,10
chromosome,cheY_2,10
chromosome,chpT,10
chromosome,cimA,10
chromosome,cinA,10
chromosome,citB,10
chromosome,clpA,10
chromosome,clpP_1,10
chromosome,clpP_2,10
chromosome,clpP_3,10
chromosome,clpS,10
chromosome,clpS2,10
chromosome,clpX,10
chromosome,clsA,10
chromosome,cmk,10
chromosome,cmoB_2,10
chromosome,cmpD,10
chromosome,cnbH_1~~~cnbH_2,10
chromosome,cntI_2,10
chromosome,coaBC,10
chromosome,coaD,10
chromosome,coaE,10
chromosome,cobB,10
chromosome,cobD,10
chromosome,cobH,10
chromosome,cobI,10
chromosome,cobJ,10
chromosome,cobL,10
chromosome,cobM,10
chromosome,cobO,10
chromosome,cobP,10
chromosome,cobS,10
chromosome,cobT,10
chromosome,cobU,10
chromosome,cobV,10
chromosome,cof,10
chromosome,corA_2,10
chromosome,coxM,10
chromosome,coxN,10
chromosome,coxS,10
chromosome,cpdR_2,10
chromosome,cpnA_1,10
chromosome,cpnA_2,10
chromosome,cpoB_1,10
chromosome,cpoB_2,10
chromosome,crcB,10
chromosome,crp_2,10
chromosome,crtK2,10
chromosome,crt_2,10
chromosome,crt_3,10
chromosome,csaA,10
chromosome,csd_1,10
chromosome,csd_2,10
chromosome,cseB,10
chromosome,cspA_5,10
chromosome,cspA_6,10
chromosome,cspA_7,10
chromosome,cspC,10
chromosome,cspJ,10
chromosome,csxA,10
chromosome,ctaA,10
chromosome,ctaB,10
chromosome,ctaC_2,10
chromosome,ctaD,10
chromosome,ctaE_2,10
chromosome,ctaG,10
chromosome,ctrA,10
chromosome,cusR,10
chromosome,cutC,10
chromosome,cutL,10
chromosome,cutM_2,10
chromosome,cydB,10
chromosome,cymR,10
chromosome,cynT,10
chromosome,cyoC_2,10
chromosome,cysA_2,10
chromosome,cysD_3,10
chromosome,cysE,10
chromosome,cysG_2,10
chromosome,cysH,10
chromosome,cysK1,10
chromosome,cysK_2,10
chromosome,cysL,10
chromosome,cysN_2,10
chromosome,cysQ_1~~~cysQ_4,10
chromosome,cysQ_5,10
chromosome,cysS,10
chromosome,cysW_2,10
chromosome,cysZ,10
chromosome,cytR_5,10
chromosome,czcD,10
chromosome,dacD,10
chromosome,dadA1_2,10
chromosome,dapA_7,10
chromosome,dapB,10
chromosome,dapD,10
chromosome,dapE_1,10
chromosome,dapE_2,10
chromosome,dapF,10
chromosome,dasC_10,10
chromosome,dasC_7,10
chromosome,dasC_8,10
chromosome,dasC_9,10
chromosome,davD_4,10
chromosome,davD_5,10
chromosome,dcd,10
chromosome,dcp,10
chromosome,dctM_4,10
chromosome,ddl_1~~~ddlB,10
chromosome,ddmA1,10
chromosome,ddpA_2,10
chromosome,ddpA_3,10
chromosome,ddpC_5,10
chromosome,ddpC_5~~~ddpC_6,10
chromosome,deaD,10
chromosome,decR_2~~~decR_4,10
chromosome,decR_3,10
chromosome,def,10
chromosome,def1,10
chromosome,degA_3,10
chromosome,degP,10
chromosome,degQ_1,10
chromosome,degQ_2,10
chromosome,degU_4,10
chromosome,denD_2,10
chromosome,deoA,10
chromosome,deoB,10
chromosome,deoC_2,10
chromosome,deoR_4,10
chromosome,devR_2,10
chromosome,dgoA,10
chromosome,dgoK1_2,10
chromosome,dhaA,10
chromosome,dhaD,10
chromosome,dhfrIII,10
chromosome,dht,10
chromosome,dinB_2,10
chromosome,dinF,10
chromosome,divL~~~rcsC_15,10
chromosome,djlA,10
chromosome,dkgB,10
chromosome,dksA_1,10
chromosome,dksA_2,10
chromosome,dld,10
chromosome,dmdC_1,10
chromosome,dme,10
chromosome,dmlR_11,10
chromosome,dmlR_12,10
chromosome,dmlR_13~~~dmlR_2,10
chromosome,dmlR_14,10
chromosome,dmlR_5~~~dmlR_9,10
chromosome,dmlR_7,10
chromosome,dmlR_8,10
chromosome,dnaA_1,10
chromosome,dnaA_2,10
chromosome,dnaE1,10
chromosome,dnaG,10
chromosome,dnaJ_2,10
chromosome,dnaJ_2~~~dnaJ_3,10
chromosome,dnaJ_3,10
chromosome,dnaK_1,10
chromosome,dnaK_2,10
chromosome,dnaN_2,10
chromosome,dnaQ,10
chromosome,dnaX,10
chromosome,doxA_2,10
chromosome,dppA_3~~~dppA_8,10
chromosome,dppA_7,10
chromosome,dppB_10,10
chromosome,dppB_12,10
chromosome,dppB_9,10
chromosome,dppC_4,10
chromosome,dppD_2,10
chromosome,dprE1,10
chromosome,dsbB,10
chromosome,dsdA,10
chromosome,dthD~~~golD_1,10
chromosome,dut,10
chromosome,dxr,10
chromosome,dxs_1~~~dxs_3,10
chromosome,dxs_2,10
chromosome,ecfG_3,10
chromosome,ecfG_4,10
chromosome,echA8_3,10
chromosome,echA8_4,10
chromosome,eda_1,10
chromosome,eda_2,10
chromosome,edd,10
chromosome,efp,10
chromosome,egtA,10
chromosome,egtC,10
chromosome,eis,10
chromosome,eltP,10
chromosome,emrA_3,10
chromosome,emrA_4,10
chromosome,emrB_2,10
chromosome,emrE,10
chromosome,engB,10
chromosome,eno,10
chromosome,entS_2,10
chromosome,epi,10
chromosome,epmA,10
chromosome,era,10
chromosome,erpA,10
chromosome,eryA,10
chromosome,eryB_2~~~eryB_1,10
chromosome,eryB_3,10
chromosome,eryB_4,10
chromosome,eryC,10
chromosome,eryD_1,10
chromosome,eryD_2,10
chromosome,eryD_4,10
chromosome,eryH,10
chromosome,eryI,10
chromosome,esiB,10
chromosome,etfA,10
chromosome,etfB,10
chromosome,ettA,10
chromosome,exbD_1,10
chromosome,exbD_2,10
chromosome,expZ,10
chromosome,fabA,10
chromosome,fabD,10
chromosome,fabF_2,10
chromosome,fabF_3,10
chromosome,fabG_10,10
chromosome,fabG_12,10
chromosome,fabG_13,10
chromosome,fabG_4~~~fabG_11,10
chromosome,fabG_6,10
chromosome,fabG_7,10
chromosome,fabG_8,10
chromosome,fabG_9,10
chromosome,fabH,10
chromosome,fabI_2,10
chromosome,fabI_3,10
chromosome,fabZ,10
chromosome,fadA_2~~~fadA,10
chromosome,fadD,10
chromosome,fadJ_2,10
chromosome,farB,10
chromosome,fbcH_1,10
chromosome,fbcH_1~~~fbcH_2,10
chromosome,fdhC,10
chromosome,fdxA,10
chromosome,fdxE,10
chromosome,fepC_1,10
chromosome,fepC_2,10
chromosome,ffh,10
chromosome,fghA_2,10
chromosome,fhs,10
chromosome,fieF,10
chromosome,fitB_3,10
chromosome,fixK_4,10
chromosome,fixK_4~~~fixK_3,10
chromosome,flbT,10
chromosome,flgC,10
chromosome,flgE,10
chromosome,flgF,10
chromosome,flgG,10
chromosome,flgH,10
chromosome,flgI,10
chromosome,flhA_2,10
chromosome,flhA_3,10
chromosome,flhB,10
chromosome,fliC,10
chromosome,fliE,10
chromosome,fliG,10
chromosome,fliP,10
chromosome,fliY_4,10
chromosome,fmt_2,10
chromosome,fni_2,10
chromosome,folB,10
chromosome,folD_1,10
chromosome,folD_3,10
chromosome,folE,10
chromosome,folP,10
chromosome,fpgS,10
chromosome,fpr,10
chromosome,frcA_6,10
chromosome,frcA_9,10
chromosome,frcC_2,10
chromosome,frlB_2,10
chromosome,frlD_2,10
chromosome,frmR,10
chromosome,frr,10
chromosome,fsr,10
chromosome,ftcR,10
chromosome,ftsA,10
chromosome,ftsE,10
chromosome,ftsI_2,10
chromosome,ftsQ,10
chromosome,ftsW,10
chromosome,ftsZ_1,10
chromosome,ftsZ_2,10
chromosome,fucK_2,10
chromosome,fucU_2,10
chromosome,fur,10
chromosome,fusA_2,10
chromosome,futA1,10
chromosome,fzlA,10
chromosome,galM,10
chromosome,gamR,10
chromosome,gap,10
chromosome,garR_2,10
chromosome,gatA_3,10
chromosome,gatB,10
chromosome,gatC,10
chromosome,gbuB~~~opuAB,10
chromosome,gbuC,10
chromosome,gci_4,10
chromosome,gcvA_10,10
chromosome,gcvA_6,10
chromosome,gcvA_7,10
chromosome,gcvA_8,10
chromosome,gcvA_9,10
chromosome,gcvH,10
chromosome,gcvP,10
chromosome,gcvT_1,10
chromosome,gcvT_3~~~gcvT_2,10
chromosome,gdh_1,10
chromosome,gdh_4,10
chromosome,gdh_5,10
chromosome,gdh_5~~~gdh_2,10
chromosome,gdh_6,10
chromosome,gdx,10
chromosome,ghrA_2,10
chromosome,glgA1_1~~~glgA1_2,10
chromosome,glgC,10
chromosome,glgX_2,10
chromosome,glk,10
chromosome,glmM,10
chromosome,glmS_2,10
chromosome,glmU_2,10
chromosome,glnA_1~~~glnA_2,10
chromosome,glnB_1,10
chromosome,glnB_2,10
chromosome,glnD,10
chromosome,glnE,10
chromosome,glnG,10
chromosome,glnH_6,10
chromosome,glnL,10
chromosome,glnQ_11,10
chromosome,glnQ_13,10
chromosome,glnQ_9,10
chromosome,gloA,10
chromosome,gloB_1,10
chromosome,gloB_2,10
chromosome,gloC,10
chromosome,glpR,10
chromosome,glsA,10
chromosome,gltB,10
chromosome,gltC,10
chromosome,gltD_1,10
chromosome,gltD_1~~~gltD_2,10
chromosome,gltR_1~~~hdfR_4,10
chromosome,gltX_1,10
chromosome,gltX_2,10
chromosome,glxR_4,10
chromosome,glyA2_2,10
chromosome,glyQ,10
chromosome,glyS,10
chromosome,gmk,10
chromosome,gntR_1,10
chromosome,gph_1~~~gph_4,10
chromosome,gph_2,10
chromosome,gph_3,10
chromosome,gpm2,10
chromosome,gpmA_1,10
chromosome,gpmA_2,10
chromosome,gppA_1,10
chromosome,gppA_1~~~gppA_2~~~ppx,10
chromosome,gpr,10
chromosome,gpsA,10
chromosome,gpt,10
chromosome,greA,10
chromosome,groL2,10
chromosome,groL5_2,10
chromosome,groS5,10
chromosome,groS~~~groS1_2,10
chromosome,group_0,10
chromosome,group_1001,10
chromosome,group_1003,10
chromosome,group_1007,10
chromosome,group_1008,10
chromosome,group_1009,10
chromosome,group_1016,10
chromosome,group_102,10
chromosome,group_1021,10
chromosome,group_1022,10
chromosome,group_1024,10
chromosome,group_1026,10
chromosome,group_103,10
chromosome,group_1034,10
chromosome,group_1035,10
chromosome,group_1044,10
chromosome,group_1045,10
chromosome,group_1052,10
chromosome,group_1060,10
chromosome,group_1061,10
chromosome,group_1062,10
chromosome,group_1066,10
chromosome,group_1067,10
chromosome,group_1076,10
chromosome,group_1077,10
chromosome,group_108,10
chromosome,group_1083,10
chromosome,group_1086,10
chromosome,group_1087,10
chromosome,group_1088,10
chromosome,group_1093,10
chromosome,group_1094,10
chromosome,group_11,10
chromosome,group_1101,10
chromosome,group_1102,10
chromosome,group_1103,10
chromosome,group_111,10
chromosome,group_1113,10
chromosome,group_1123,10
chromosome,group_1124,10
chromosome,group_1129,10
chromosome,group_1132,10
chromosome,group_1133,10
chromosome,group_1137,10
chromosome,group_1144,10
chromosome,group_115,10
chromosome,group_1150,10
chromosome,group_1152,10
chromosome,group_1153,10
chromosome,group_1167,10
chromosome,group_1168,10
chromosome,group_1172,10
chromosome,group_1173,10
chromosome,group_1174,10
chromosome,group_1175,10
chromosome,group_1182,10
chromosome,group_1189,10
chromosome,group_1190,10
chromosome,group_1199,10
chromosome,group_120,10
chromosome,group_1200,10
chromosome,group_1201,10
chromosome,group_1215,10
chromosome,group_1216,10
chromosome,group_122,10
chromosome,group_1221,10
chromosome,group_1227,10
chromosome,group_1228,10
chromosome,group_1229,10
chromosome,group_1239,10
chromosome,group_1253,10
chromosome,group_1254,10
chromosome,group_1255,10
chromosome,group_1262,10
chromosome,group_1263,10
chromosome,group_1265,10
chromosome,group_1266,10
chromosome,group_1267,10
chromosome,group_1281,10
chromosome,group_1282,10
chromosome,group_129,10
chromosome,group_1292,10
chromosome,group_130,10
chromosome,group_1306,10
chromosome,group_1308,10
chromosome,group_1309,10
chromosome,group_1310,10
chromosome,group_1315,10
chromosome,group_1316,10
chromosome,group_1317,10
chromosome,group_1318,10
chromosome,group_1325,10
chromosome,group_1326,10
chromosome,group_1327,10
chromosome,group_1333,10
chromosome,group_1335,10
chromosome,group_134,10
chromosome,group_1343,10
chromosome,group_1345,10
chromosome,group_1352,10
chromosome,group_1359,10
chromosome,group_1362,10
chromosome,group_1370,10
chromosome,group_1376,10
chromosome,group_1377,10
chromosome,group_1380,10
chromosome,group_1381,10
chromosome,group_1382,10
chromosome,group_1388,10
chromosome,group_1393,10
chromosome,group_1395,10
chromosome,group_1396,10
chromosome,group_1397,10
chromosome,group_1398,10
chromosome,group_1408,10
chromosome,group_1410,10
chromosome,group_1411,10
chromosome,group_1419,10
chromosome,group_1426,10
chromosome,group_1428,10
chromosome,group_1437,10
chromosome,group_1438,10
chromosome,group_1439,10
chromosome,group_1440,10
chromosome,group_1448,10
chromosome,group_1450,10
chromosome,group_1457,10
chromosome,group_1460,10
chromosome,group_1466,10
chromosome,group_1473,10
chromosome,group_1480,10
chromosome,group_1482,10
chromosome,group_1483,10
chromosome,group_149,10
chromosome,group_1496,10
chromosome,group_1508,10
chromosome,group_1509,10
chromosome,group_1519,10
chromosome,group_152,10
chromosome,group_1520,10
chromosome,group_1522,10
chromosome,group_1525,10
chromosome,group_1532,10
chromosome,group_1539,10
chromosome,group_154,10
chromosome,group_1540,10
chromosome,group_1541,10
chromosome,group_1544,10
chromosome,group_155,10
chromosome,group_1551,10
chromosome,group_1552,10
chromosome,group_1553,10
chromosome,group_1554,10
chromosome,group_1559,10
chromosome,group_1564,10
chromosome,group_1565,10
chromosome,group_157,10
chromosome,group_1571,10
chromosome,group_1572,10
chromosome,group_1576,10
chromosome,group_1579,10
chromosome,group_158,10
chromosome,group_1580,10
chromosome,group_1586,10
chromosome,group_1595,10
chromosome,group_1597,10
chromosome,group_1603,10
chromosome,group_1617,10
chromosome,group_1625,10
chromosome,group_1626,10
chromosome,group_1632,10
chromosome,group_1634,10
chromosome,group_1640,10
chromosome,group_1641,10
chromosome,group_1646,10
chromosome,group_1648,10
chromosome,group_1649,10
chromosome,group_1650,10
chromosome,group_1651,10
chromosome,group_1666,10
chromosome,group_1667,10
chromosome,group_1668,10
chromosome,group_1669,10
chromosome,group_1676,10
chromosome,group_1677,10
chromosome,group_1692,10
chromosome,group_1697,10
chromosome,group_1699,10
chromosome,group_1700,10
chromosome,group_1701,10
chromosome,group_1707,10
chromosome,group_1708,10
chromosome,group_1709,10
chromosome,group_1716,10
chromosome,group_1717,10
chromosome,group_1718,10
chromosome,group_1719,10
chromosome,group_172,10
chromosome,group_1726,10
chromosome,group_1727,10
chromosome,group_1728,10
chromosome,group_1729,10
chromosome,group_173,10
chromosome,group_1737,10
chromosome,group_1738,10
chromosome,group_1739,10
chromosome,group_1740,10
chromosome,group_1749,10
chromosome,group_1753,10
chromosome,group_1755,10
chromosome,group_1756,10
chromosome,group_1757,10
chromosome,group_1758,10
chromosome,group_1765,10
chromosome,group_1782,10
chromosome,group_1783,10
chromosome,group_1784,10
chromosome,group_1796,10
chromosome,group_1797,10
chromosome,group_1804,10
chromosome,group_1805,10
chromosome,group_1806,10
chromosome,group_1807,10
chromosome,group_1816,10
chromosome,group_1817,10
chromosome,group_1826,10
chromosome,group_1827,10
chromosome,group_1828,10
chromosome,group_1838,10
chromosome,group_1839,10
chromosome,group_1840,10
chromosome,group_1841,10
chromosome,group_1842,10
chromosome,group_1843,10
chromosome,group_1849,10
chromosome,group_1850,10
chromosome,group_1851,10
chromosome,group_1862,10
chromosome,group_1874,10
chromosome,group_1875,10
chromosome,group_1884,10
chromosome,group_1893,10
chromosome,group_1894,10
chromosome,group_1895,10
chromosome,group_1896,10
chromosome,group_1909,10
chromosome,group_1910,10
chromosome,group_1911,10
chromosome,group_1912,10
chromosome,group_1919,10
chromosome,group_1927,10
chromosome,group_1928,10
chromosome,group_1929,10
chromosome,group_1930,10
chromosome,group_1931,10
chromosome,group_1936,10
chromosome,group_1937,10
chromosome,group_1938,10
chromosome,group_1940,10
chromosome,group_1941,10
chromosome,group_1942,10
chromosome,group_1948,10
chromosome,group_1950,10
chromosome,group_1951,10
chromosome,group_1958,10
chromosome,group_196,10
chromosome,group_1974,10
chromosome,group_1975,10
chromosome,group_1983,10
chromosome,group_1985,10
chromosome,group_1988,10
chromosome,group_1995,10
chromosome,group_1996,10
chromosome,group_1997,10
chromosome,group_1998,10
chromosome,group_20,10
chromosome,group_2007,10
chromosome,group_2008,10
chromosome,group_2009,10
chromosome,group_2018,10
chromosome,group_2019,10
chromosome,group_2020,10
chromosome,group_2021,10
chromosome,group_2022,10
chromosome,group_2031,10
chromosome,group_2037,10
chromosome,group_2038,10
chromosome,group_2039,10
chromosome,group_204,10
chromosome,group_2040,10
chromosome,group_2041,10
chromosome,group_2049,10
chromosome,group_205,10
chromosome,group_2050,10
chromosome,group_2052,10
chromosome,group_2053,10
chromosome,group_2054,10
chromosome,group_2062,10
chromosome,group_2063,10
chromosome,group_2073,10
chromosome,group_2074,10
chromosome,group_2075,10
chromosome,group_2081,10
chromosome,group_2082,10
chromosome,group_2083,10
chromosome,group_2084,10
chromosome,group_2085,10
chromosome,group_2086,10
chromosome,group_2093,10
chromosome,group_2094,10
chromosome,group_2102,10
chromosome,group_2103,10
chromosome,group_2104,10
chromosome,group_2115,10
chromosome,group_2116,10
chromosome,group_2122,10
chromosome,group_2144,10
chromosome,group_2149,10
chromosome,group_2150,10
chromosome,group_2157,10
chromosome,group_2158,10
chromosome,group_2170,10
chromosome,group_2171,10
chromosome,group_2172,10
chromosome,group_2173,10
chromosome,group_2174,10
chromosome,group_2182,10
chromosome,group_2183,10
chromosome,group_2184,10
chromosome,group_2193,10
chromosome,group_2194,10
chromosome,group_2195,10
chromosome,group_2197,10
chromosome,group_2198,10
chromosome,group_2199,10
chromosome,group_2200,10
chromosome,group_2210,10
chromosome,group_2211,10
chromosome,group_2212,10
chromosome,group_2213,10
chromosome,group_2219,10
chromosome,group_222,10
chromosome,group_2221,10
chromosome,group_2222,10
chromosome,group_2228,10
chromosome,group_223,10
chromosome,group_2232,10
chromosome,group_2237,10
chromosome,group_2238,10
chromosome,group_2239,10
chromosome,group_2240,10
chromosome,group_2243,10
chromosome,group_2253,10
chromosome,group_2254,10
chromosome,group_2255,10
chromosome,group_2267,10
chromosome,group_2268,10
chromosome,group_2269,10
chromosome,group_2271,10
chromosome,group_2275,10
chromosome,group_2277,10
chromosome,group_2278,10
chromosome,group_2279,10
chromosome,group_228,10
chromosome,group_2280,10
chromosome,group_2281,10
chromosome,group_2287,10
chromosome,group_2289,10
chromosome,group_229,10
chromosome,group_2292,10
chromosome,group_2297,10
chromosome,group_2298,10
chromosome,group_2299,10
chromosome,group_2300,10
chromosome,group_2301,10
chromosome,group_2302,10
chromosome,group_2303,10
chromosome,group_2308,10
chromosome,group_2311,10
chromosome,group_2312,10
chromosome,group_2313,10
chromosome,group_232,10
chromosome,group_2326,10
chromosome,group_2327,10
chromosome,group_2328,10
chromosome,group_2329,10
chromosome,group_2330,10
chromosome,group_2337,10
chromosome,group_2338,10
chromosome,group_2339,10
chromosome,group_2340,10
chromosome,group_2354,10
chromosome,group_2356,10
chromosome,group_2357,10
chromosome,group_2358,10
chromosome,group_2373,10
chromosome,group_2374,10
chromosome,group_238,10
chromosome,group_2382,10
chromosome,group_2383,10
chromosome,group_2384,10
chromosome,group_2385,10
chromosome,group_2386,10
chromosome,group_2387,10
chromosome,group_2397,10
chromosome,group_2398,10
chromosome,group_2416,10
chromosome,group_2428,10
chromosome,group_2431,10
chromosome,group_2432,10
chromosome,group_2433,10
chromosome,group_2434,10
chromosome,group_2442,10
chromosome,group_2445,10
chromosome,group_2446,10
chromosome,group_2447,10
chromosome,group_2448,10
chromosome,group_2455,10
chromosome,group_2456,10
chromosome,group_2469,10
chromosome,group_2470,10
chromosome,group_2482,10
chromosome,group_2483,10
chromosome,group_2485,10
chromosome,group_2486,10
chromosome,group_2487,10
chromosome,group_2488,10
chromosome,group_249,10
chromosome,group_250,10
chromosome,group_2506,10
chromosome,group_2507,10
chromosome,group_251,10
chromosome,group_2513,10
chromosome,group_2514,10
chromosome,group_2515,10
chromosome,group_2531,10
chromosome,group_2532,10
chromosome,group_2544,10
chromosome,group_2545,10
chromosome,group_2546,10
chromosome,group_2547,10
chromosome,group_2548,10
chromosome,group_2549,10
chromosome,group_255,10
chromosome,group_2563,10
chromosome,group_2565,10
chromosome,group_2577,10
chromosome,group_2578,10
chromosome,group_258,10
chromosome,group_2580,10
chromosome,group_2581,10
chromosome,group_2582,10
chromosome,group_2584,10
chromosome,group_2589,10
chromosome,group_2591,10
chromosome,group_2592,10
chromosome,group_2593,10
chromosome,group_2594,10
chromosome,group_260,10
chromosome,group_2605,10
chromosome,group_2607,10
chromosome,group_2608,10
chromosome,group_2609,10
chromosome,group_261,10
chromosome,group_2625,10
chromosome,group_2626,10
chromosome,group_2627,10
chromosome,group_2628,10
chromosome,group_2629,10
chromosome,group_2630,10
chromosome,group_2635,10
chromosome,group_2636,10
chromosome,group_2637,10
chromosome,group_2638,10
chromosome,group_2639,10
chromosome,group_2640,10
chromosome,group_2641,10
chromosome,group_2653,10
chromosome,group_2654,10
chromosome,group_2655,10
chromosome,group_2659,10
chromosome,group_2660,10
chromosome,group_2661,10
chromosome,group_2662,10
chromosome,group_267,10
chromosome,group_2673,10
chromosome,group_2674,10
chromosome,group_2685,10
chromosome,group_2687,10
chromosome,group_2688,10
chromosome,group_2689,10
chromosome,group_2696,10
chromosome,group_2698,10
chromosome,group_2700,10
chromosome,group_2709,10
chromosome,group_271,10
chromosome,group_2713,10
chromosome,group_2714,10
chromosome,group_2715,10
chromosome,group_2727,10
chromosome,group_2728,10
chromosome,group_2729,10
chromosome,group_2734,10
chromosome,group_2745,10
chromosome,group_2747,10
chromosome,group_2748,10
chromosome,group_2749,10
chromosome,group_2750,10
chromosome,group_2751,10
chromosome,group_2752,10
chromosome,group_2753,10
chromosome,group_2763,10
chromosome,group_2764,10
chromosome,group_2765,10
chromosome,group_2766,10
chromosome,group_2767,10
chromosome,group_277,10
chromosome,group_278,10
chromosome,group_2781,10
chromosome,group_2786,10
chromosome,group_2787,10
chromosome,group_2788,10
chromosome,group_2803,10
chromosome,group_2804,10
chromosome,group_2805,10
chromosome,group_2816,10
chromosome,group_2817,10
chromosome,group_2818,10
chromosome,group_2843,10
chromosome,group_2844,10
chromosome,group_2846,10
chromosome,group_2847,10
chromosome,group_2848,10
chromosome,group_2849,10
chromosome,group_286,10
chromosome,group_2865,10
