genome_id,qseqid,scomment,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,accession
g4,16S_rRNA::contig_4:3136585-3138067(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g5,16S_rRNA::contig_3:1390860-1392342(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g5,16S_rRNA::contig_3:1860438-1861920(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g5,16S_rRNA::contig_3:902349-903831(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g6,16S_rRNA::contig_11:63555-65037(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g6,16S_rRNA::contig_8:422671-424153(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g6,16S_rRNA::contig_8:899547-901029(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g8,16S_rRNA::contig_5:1730280-1731762(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g8,16S_rRNA::contig_5:2199857-2201339(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g8,16S_rRNA::contig_5:2643055-2644537(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g9,16S_rRNA::contig_4:3003690-3005172(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g9,16S_rRNA::contig_4:3479291-3480773(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g9,16S_rRNA::contig_4:369-1851(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g10,16S_rRNA::contig_2:362999-364481(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g10,16S_rRNA::contig_2:4009631-4011113(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.594,1479,5,1,1,1479,3,1480,0,2697,NR_043399.1
g10,16S_rRNA::contig_2:902501-903983(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g11,16S_rRNA::contig_3:242659-244141(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g11,16S_rRNA::contig_3:3603748-3605230(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g11,16S_rRNA::contig_3:687348-688830(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g13,16S_rRNA::contig_6:139050-140532(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g13,16S_rRNA::contig_6:3123502-3124984(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g13,16S_rRNA::contig_6:3630309-3631791(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g15,16S_rRNA::contig_3:720977-722459(-),"Sinorhizobium fredii strain ATCC 35423 16S ribosomal RNA, partial sequence",NR_115519.1,98.92,1481,12,4,1,1479,3,1481,0,2649,NR_115519.1
g15,16S_rRNA::contig_4:395-1877(+),"Sinorhizobium fredii strain ATCC 35423 16S ribosomal RNA, partial sequence",NR_115519.1,98.92,1481,12,4,1,1479,3,1481,0,2649,NR_115519.1
g15,16S_rRNA::contig_5:3169707-3171189(-),"Sinorhizobium fredii strain ATCC 35423 16S ribosomal RNA, partial sequence",NR_115519.1,98.92,1481,12,4,1,1479,3,1481,0,2649,NR_115519.1
g15,16S_rRNA::contig_5:3614224-3615706(+),"Sinorhizobium fredii strain ATCC 35423 16S ribosomal RNA, partial sequence",NR_115519.1,98.92,1481,12,4,1,1479,3,1481,0,2649,NR_115519.1
g15,16S_rRNA::contig_5:408-1890(+),"Sinorhizobium fredii strain ATCC 35423 16S ribosomal RNA, partial sequence",NR_115519.1,98.92,1481,12,4,1,1479,3,1481,0,2649,NR_115519.1
g16,16S_rRNA::contig_3:1133128-1134610(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g16,16S_rRNA::contig_3:1537093-1538575(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g16,16S_rRNA::contig_3:2060536-2062019(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.459,1480,6,2,1,1480,3,1480,0,2687,NR_043399.1
g17,16S_rRNA::contig_7:1232342-1233824(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g17,16S_rRNA::contig_7:1636318-1637800(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g17,16S_rRNA::contig_7:2159766-2161248(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g19,16S_rRNA::contig_3:1008900-1010382(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g19,16S_rRNA::contig_3:409650-411132(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g19,16S_rRNA::contig_3:4645-6127(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g20,16S_rRNA::contig_3:2245984-2247466(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g20,16S_rRNA::contig_3:3649024-3650506(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g20,16S_rRNA::contig_3:46457-47939(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g21,16S_rRNA::contig_3:2877327-2878809(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g21,16S_rRNA::contig_3:3314926-3316408(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g21,16S_rRNA::contig_3:404-1886(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g22,16S_rRNA::contig_3:437516-438998(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g22,16S_rRNA::contig_3:4673-6155(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g22,16S_rRNA::contig_3:878962-880444(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g23,16S_rRNA::contig_3:446070-447552(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g23,16S_rRNA::contig_3:4612-6094(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g23,16S_rRNA::contig_3:878900-880382(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g24,16S_rRNA::contig_10:1148100-1149582(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g25,16S_rRNA::contig_5:404597-406079(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g25,16S_rRNA::contig_5:4728-6210(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g25,16S_rRNA::contig_5:841441-842923(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g26,16S_rRNA::contig_3:1820923-1822405(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g26,16S_rRNA::contig_3:2257773-2259255(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g26,16S_rRNA::contig_3:2657641-2659123(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g27,16S_rRNA::contig_3:2889672-2891154(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g27,16S_rRNA::contig_3:3346807-3348289(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g29,16S_rRNA::contig_1:406994-408476(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g29,16S_rRNA::contig_1:4081062-4082544(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g29,16S_rRNA::contig_1:876586-878068(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g30,16S_rRNA::contig_2:391331-392813(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g30,16S_rRNA::contig_2:4065483-4066965(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g30,16S_rRNA::contig_2:860932-862414(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g31,16S_rRNA::contig_1:405762-407244(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g31,16S_rRNA::contig_1:4726-6208(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g31,16S_rRNA::contig_1:861218-862700(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g32,16S_rRNA::contig_1:2847159-2848641(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g32,16S_rRNA::contig_1:3302614-3304096(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g32,16S_rRNA::contig_1:412-1894(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g33,16S_rRNA::contig_5:2812374-2813856(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g33,16S_rRNA::contig_5:3248043-3249525(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g33,16S_rRNA::contig_5:388-1871(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.595,1480,4,2,1,1480,3,1480,0,2699,NR_043399.1
g34,16S_rRNA::contig_3:3380716-3382198(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g34,16S_rRNA::contig_3:491556-493038(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g34,16S_rRNA::contig_3:87752-89234(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g35,16S_rRNA::contig_3:2946069-2947551(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g35,16S_rRNA::contig_3:3384835-3386317(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g35,16S_rRNA::contig_3:397-1879(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g36,16S_rRNA::contig_3:2886338-2887820(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g36,16S_rRNA::contig_3:3322139-3323621(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g37,16S_rRNA::contig_3:2798714-2800196(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g37,16S_rRNA::contig_3:3234497-3235979(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g37,16S_rRNA::contig_3:401-1883(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g39,16S_rRNA::contig_1:2097300-2098782(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g39,16S_rRNA::contig_1:2498175-2499657(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g39,16S_rRNA::contig_1:2935763-2937245(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g40,16S_rRNA::contig_42:36788-38270(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g40,16S_rRNA::contig_4:376-1858(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g40,16S_rRNA::contig_69:303677-305159(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.527,1479,6,1,1,1479,3,1480,0,2691,NR_043399.1
g41,16S_rRNA::contig_3:460122-461604(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g41,16S_rRNA::contig_3:4679-6161(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g41,16S_rRNA::contig_3:861148-862630(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g42,16S_rRNA::contig_4:2902158-2903640(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g42,16S_rRNA::contig_4:3357962-3359444(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g42,16S_rRNA::contig_4:3758993-3760475(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g43,16S_rRNA::contig_3:404556-406038(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g43,16S_rRNA::contig_3:4697-6179(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g43,16S_rRNA::contig_3:840340-841822(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g44,16S_rRNA::contig_1:2877209-2878691(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g44,16S_rRNA::contig_1:3314799-3316281(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g44,16S_rRNA::contig_1:404-1886(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g45,16S_rRNA::contig_4:1184171-1185653(+),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g45,16S_rRNA::contig_4:327700-329182(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
g45,16S_rRNA::contig_4:728727-730209(-),"Sinorhizobium meliloti strain IAM 12611 16S ribosomal RNA, partial sequence",NR_043399.1,99.662,1479,4,1,1,1479,3,1480,0,2702,NR_043399.1
