genome_id,species,query_containment_ani,name
g21,E. meliloti,0.9904005151189594,"GCF_004003025.1 Sinorhizobium meliloti strain=USDA1614, ASM400302v1"
g21,E. meliloti,0.9916205588391714,"GCF_021052665.1 Sinorhizobium meliloti strain=RRI128, ASM2105266v1"
g21,E. meliloti,0.991880977557498,"GCF_009601235.1 Sinorhizobium meliloti strain=N6B7, ASM960123v1"
g22,E. meliloti,0.994544872300612,"GCF_009664245.1 Sinorhizobium meliloti strain=AK21, ASM966424v1"
g22,E. meliloti,0.99203556462807585,"GCF_004003675.1 Sinorhizobium meliloti strain=USDA1232, ASM400367v1"
g22,E. meliloti,0.9941294180254184,"GCF_004002895.1 Sinorhizobium meliloti strain=USDA1519, ASM400289v1"
g22,E. meliloti,0.9870033400130837,"GCF_009601325.1 Sinorhizobium meliloti strain=M10, ASM960132v1"
g22,E. meliloti,0.9927289571738972,"GCF_004001745.1 Sinorhizobium meliloti strain=USDA1742, ASM400174v1"
g23,E. meliloti,0.9945668842724432,"GCF_009664245.1 Sinorhizobium meliloti strain=AK21, ASM966424v1"
g23,E. meliloti,0.992083036415626,"GCF_004003675.1 Sinorhizobium meliloti strain=USDA1232, ASM400367v1"
g23,E. meliloti,0.9941461365733114,"GCF_004002895.1 Sinorhizobium meliloti strain=USDA1519, ASM400289v1"
g23,E. meliloti,0.9870240843847624,"GCF_009601325.1 Sinorhizobium meliloti strain=M10, ASM960132v1"
g23,E. meliloti,0.9927812513384248,"GCF_004001745.1 Sinorhizobium meliloti strain=USDA1742, ASM400174v1"
g24,E. meliloti,0.998711162942205,"GCA_014189595.1 Sinorhizobium meliloti strain=RCAM1115, ASM1418959v1"
g24,E. meliloti,0.991290547825069,"GCF_004002455.1 Sinorhizobium meliloti strain=USDA1571, ASM400245v1"
g25,E. meliloti,0.996223875258332,"GCF_004017615.1 Sinorhizobium meliloti strain=USDA1496, ASM401761v1"
g25,E. meliloti,0.995953420704841,"GCF_000147775.2 Sinorhizobium meliloti BL225C strain=BL225C, ASM14777v3"
g25,E. meliloti,0.9960264523821102,"GCF_002197025.1 Sinorhizobium meliloti strain=USDA1157, ASM219702v1"
g25,E. meliloti,0.9916369379375076,"GCA_000287455.1 Sinorhizobium meliloti A0641M strain=A0641M, SMA0641M_v1"
g26,E. meliloti,0.9962215809151512,"GCF_004017615.1 Sinorhizobium meliloti strain=USDA1496, ASM401761v1"
g26,E. meliloti,0.9959300425016538,"GCF_000147775.2 Sinorhizobium meliloti BL225C strain=BL225C, ASM14777v3"
g26,E. meliloti,0.9960605099912286,"GCF_002197025.1 Sinorhizobium meliloti strain=USDA1157, ASM219702v1"
g26,E. meliloti,0.9916671815471504,"GCA_000287455.1 Sinorhizobium meliloti A0641M strain=A0641M, SMA0641M_v1"
g27,E. meliloti,0.9973031947297284,"GCF_004003075.1 Sinorhizobium meliloti strain=USDA1583, ASM400307v1"
g27,E. meliloti,0.9937340188191672,"GCF_004017685.1 Sinorhizobium meliloti strain=USDA1184, ASM401768v1"
g27,E. meliloti,0.9944396782694894,"GCF_000473405.1 Sinorhizobium meliloti BO21CC strain=BO21CC, ASM47340v1"
g27,E. meliloti,0.995044367770437,"GCF_004002455.1 Sinorhizobium meliloti strain=USDA1571, ASM400245v1"
g28,E. meliloti,0.9748100699095424,"GCF_004003075.1 Sinorhizobium meliloti strain=USDA1583, ASM400307v1"
g28,E. meliloti,0.972343012210671,"GCF_004002565.1 Sinorhizobium medicae strain=USDA1652, ASM400256v1"
g28,E. meliloti,0.9718542482012692,"GCF_017571595.1 Sinorhizobium medicae strain=T2, ASM1757159v1"
g28,E. meliloti,0.97024811411754,"GCF_004001375.1 Sinorhizobium meliloti strain=USDA1808, ASM400137v1"
g28,E. meliloti,0.965844396210498,"GCF_002197105.1 Sinorhizobium meliloti strain=KH35c, ASM219710v1"
g28,E. meliloti,0.9717758059430868,"GCF_017571565.1 Sinorhizobium medicae strain=T10, ASM1757156v1"
g28,E. meliloti,0.9708597923428716,"GCA_014189595.1 Sinorhizobium meliloti strain=RCAM1115, ASM1418959v1"
g28,E. meliloti,0.968071029197814,"GCA_000372345.1 Sinorhizobium medicae WSM1369 strain=WSM1369, ASM37234v1"
g28,E. meliloti,0.971753358935616,"GCF_004017605.1 Sinorhizobium meliloti strain=USDA1561, ASM401760v1"
g29,E. medicae,0.9920352292715184,"GCF_004002565.1 Sinorhizobium medicae strain=USDA1652, ASM400256v1"
g29,E. medicae,0.991246480897808,"GCF_017571595.1 Sinorhizobium medicae strain=T2, ASM1757159v1"
g29,E. medicae,0.914848270356204,"GCF_004001375.1 Sinorhizobium meliloti strain=USDA1808, ASM400137v1"
g29,E. medicae,0.9907980590445284,"GCF_009599825.1 Sinorhizobium medicae strain=KH36d, ASM959982v1"
g29,E. medicae,0.9875083144029274,"GCA_000372345.1 Sinorhizobium medicae WSM1369 strain=WSM1369, ASM37234v1"
g29,E. medicae,0.9105118643950442,"GCF_021052665.1 Sinorhizobium meliloti strain=RRI128, ASM2105266v1"
g30,E. medicae,0.9920493039832282,"GCF_004002565.1 Sinorhizobium medicae strain=USDA1652, ASM400256v1"
g30,E. medicae,0.9912475412852964,"GCF_017571595.1 Sinorhizobium medicae strain=T2, ASM1757159v1"
g30,E. medicae,0.9147847934045062,"GCF_004001375.1 Sinorhizobium meliloti strain=USDA1808, ASM400137v1"
g30,E. medicae,0.9908040125314784,"GCF_009599825.1 Sinorhizobium medicae strain=KH36d, ASM959982v1"
g30,E. medicae,0.9875072519153358,"GCA_000372345.1 Sinorhizobium medicae WSM1369 strain=WSM1369, ASM37234v1"
g30,E. medicae,0.910428329440086,"GCF_021052665.1 Sinorhizobium meliloti strain=RRI128, ASM2105266v1"
g31,E. meliloti,0.9982459278668946,"GCF_000473405.1 Sinorhizobium meliloti BO21CC strain=BO21CC, ASM47340v1"
g31,E. meliloti,0.9971873007450124,"GCF_004002675.1 Sinorhizobium meliloti strain=USDA1550, ASM400267v1"
g31,E. meliloti,0.9931450971341188,"GCF_004002915.1 Sinorhizobium meliloti strain=USDA1508, ASM400291v1"
g32,E. meliloti,0.9982730984879612,"GCF_000473405.1 Sinorhizobium meliloti BO21CC strain=BO21CC, ASM47340v1"
g32,E. meliloti,0.997234275183746,"GCF_004002675.1 Sinorhizobium meliloti strain=USDA1550, ASM400267v1"
g32,E. meliloti,0.9931745178645432,"GCF_004002915.1 Sinorhizobium meliloti strain=USDA1508, ASM400291v1"
g33,E. meliloti,0.9956056113936878,"GCF_004002915.1 Sinorhizobium meliloti strain=USDA1508, ASM400291v1"
g33,E. meliloti,0.9949887297785308,"GCF_004001625.1 Sinorhizobium meliloti strain=USDA1819, ASM400162v1"
g33,E. meliloti,0.9865963329689162,"GCF_009601325.1 Sinorhizobium meliloti strain=M10, ASM960132v1"
g33,E. meliloti,0.9935784891516558,"GCF_004003845.1 Sinorhizobium meliloti strain=USDA1200, ASM400384v1"
g34,E. meliloti,0.9974271427621856,"GCF_000473405.1 Sinorhizobium meliloti BO21CC strain=BO21CC, ASM47340v1"
g34,E. meliloti,0.9967580404045204,"GCF_004002675.1 Sinorhizobium meliloti strain=USDA1550, ASM400267v1"
g34,E. meliloti,0.9894703627100884,"GCF_009599945.1 Sinorhizobium meliloti strain=KH48e, ASM959994v1"
g35,E. meliloti,0.9985401659708408,"GCF_004002675.1 Sinorhizobium meliloti strain=USDA1550, ASM400267v1"
g35,E. meliloti,0.9963369125561168,"GCF_004003075.1 Sinorhizobium meliloti strain=USDA1583, ASM400307v1"
g35,E. meliloti,0.9122964773280088,"GCF_009601655.1 Sinorhizobium medicae strain=M22, ASM960165v1"
g36,E. meliloti,0.9964805955944288,"GCF_002197025.1 Sinorhizobium meliloti strain=USDA1157, ASM219702v1"
g36,E. meliloti,0.996277482367376,"GCF_000147775.2 Sinorhizobium meliloti BL225C strain=BL225C, ASM14777v3"
g36,E. meliloti,0.9933635747820424,"GCF_004017705.1 Sinorhizobium meliloti strain=3011, ASM401770v1"
g37,E. meliloti,0.9994822127162348,"GCF_004002995.1 Sinorhizobium meliloti strain=USDA1379, ASM400299v1"
