replicon_type,genome_id1,genome_id2,gcv_dxy
pSymB,g33,g35,250
pSymB,g33,g36,247
pSymB,g33,g37,222
pSymB,g33,g39,203
pSymB,g33,g41,168
pSymB,g33,g43,231
pSymB,g33,g44,213
pSymB,g33,g45,158
pSymB,g34,g35,172
pSymB,g34,g36,169
pSymB,g34,g37,162
pSymB,g34,g39,167
pSymB,g34,g41,76
pSymB,g34,g43,169
pSymB,g34,g44,171
pSymB,g34,g45,56
pSymB,g35,g36,129
pSymB,g35,g37,134
pSymB,g35,g39,205
pSymB,g35,g41,194
pSymB,g35,g43,131
pSymB,g35,g44,217
pSymB,g35,g45,178
pSymB,g36,g37,109
pSymB,g36,g39,194
pSymB,g36,g41,193
pSymB,g36,g43,110
pSymB,g36,g44,206
pSymB,g36,g45,177
pSymB,g37,g39,179
pSymB,g37,g41,160
pSymB,g37,g43,67
pSymB,g37,g44,179
pSymB,g37,g45,166
pSymB,g39,g41,163
pSymB,g39,g43,172
pSymB,g39,g44,40
pSymB,g39,g45,159
pSymB,g41,g43,163
pSymB,g41,g44,165
pSymB,g41,g45,76
pSymB,g43,g44,186
pSymB,g43,g45,173
pSymB,g44,g45,159
chromosome,g21,g22,739
chromosome,g21,g23,757
chromosome,g21,g24,629
chromosome,g21,g25,621
chromosome,g21,g26,604
chromosome,g21,g27,432
chromosome,g21,g31,438
chromosome,g21,g32,440
chromosome,g21,g33,403
chromosome,g21,g34,475
chromosome,g21,g35,535
chromosome,g21,g36,472
chromosome,g21,g37,449
chromosome,g21,g39,123
chromosome,g21,g41,439
chromosome,g21,g43,478
chromosome,g21,g44,93
chromosome,g21,g45,440
chromosome,g22,g23,124
chromosome,g22,g24,764
chromosome,g22,g25,742
chromosome,g22,g26,727
chromosome,g22,g27,709
chromosome,g22,g31,657
chromosome,g22,g32,657
chromosome,g22,g33,564
chromosome,g22,g34,734
chromosome,g22,g35,710
chromosome,g22,g36,659
chromosome,g22,g37,720
chromosome,g22,g39,746
chromosome,g22,g41,648
chromosome,g22,g43,733
chromosome,g22,g44,736
chromosome,g22,g45,661
chromosome,g23,g24,768
chromosome,g23,g25,728
chromosome,g23,g26,741
chromosome,g23,g27,727
chromosome,g23,g31,653
chromosome,g23,g32,669
chromosome,g23,g33,604
chromosome,g23,g34,754
chromosome,g23,g35,730
chromosome,g23,g36,663
chromosome,g23,g37,746
chromosome,g23,g39,752
chromosome,g23,g41,672
chromosome,g23,g43,735
chromosome,g23,g44,744
chromosome,g23,g45,639
chromosome,g24,g25,652
chromosome,g24,g26,641
chromosome,g24,g27,639
chromosome,g24,g31,579
chromosome,g24,g32,595
chromosome,g24,g33,478
chromosome,g24,g34,594
chromosome,g24,g35,618
chromosome,g24,g36,529
chromosome,g24,g37,628
chromosome,g24,g39,626
chromosome,g24,g41,578
chromosome,g24,g43,633
chromosome,g24,g44,626
chromosome,g24,g45,575
chromosome,g25,g26,123
chromosome,g25,g27,507
chromosome,g25,g31,407
chromosome,g25,g32,447
chromosome,g25,g33,438
chromosome,g25,g34,484
chromosome,g25,g35,502
chromosome,g25,g36,337
chromosome,g25,g37,508
chromosome,g25,g39,618
chromosome,g25,g41,434
chromosome,g25,g43,517
chromosome,g25,g44,612
chromosome,g25,g45,417
chromosome,g26,g27,480
chromosome,g26,g31,412
chromosome,g26,g32,422
chromosome,g26,g33,431
chromosome,g26,g34,453
chromosome,g26,g35,467
chromosome,g26,g36,334
chromosome,g26,g37,491
chromosome,g26,g39,637
chromosome,g26,g41,413
chromosome,g26,g43,510
chromosome,g26,g44,617
chromosome,g26,g45,420
chromosome,g27,g31,184
chromosome,g27,g32,172
chromosome,g27,g33,359
chromosome,g27,g34,231
chromosome,g27,g35,335
chromosome,g27,g36,370
chromosome,g27,g37,413
chromosome,g27,g39,465
chromosome,g27,g41,183
chromosome,g27,g43,444
chromosome,g27,g44,445
chromosome,g27,g45,190
chromosome,g31,g32,104
chromosome,g31,g33,305
chromosome,g31,g34,255
chromosome,g31,g35,287
chromosome,g31,g36,306
chromosome,g31,g37,365
chromosome,g31,g39,459
chromosome,g31,g41,109
chromosome,g31,g43,374
chromosome,g31,g44,439
chromosome,g31,g45,92
chromosome,g32,g33,309
chromosome,g32,g34,265
chromosome,g32,g35,287
chromosome,g32,g36,310
chromosome,g32,g37,377
chromosome,g32,g39,479
chromosome,g32,g41,109
chromosome,g32,g43,386
chromosome,g32,g44,449
chromosome,g32,g45,100
chromosome,g33,g34,382
chromosome,g33,g35,406
chromosome,g33,g36,335
chromosome,g33,g37,394
chromosome,g33,g39,404
chromosome,g33,g41,282
chromosome,g33,g43,407
chromosome,g33,g44,380
chromosome,g33,g45,305
chromosome,g34,g35,352
chromosome,g34,g36,361
chromosome,g34,g37,468
chromosome,g34,g39,490
chromosome,g34,g41,238
chromosome,g34,g43,479
chromosome,g34,g44,456
chromosome,g34,g45,269
chromosome,g35,g36,415
chromosome,g35,g37,496
chromosome,g35,g39,562
chromosome,g35,g41,270
chromosome,g35,g43,505
chromosome,g35,g44,538
chromosome,g35,g45,295
chromosome,g36,g37,407
chromosome,g36,g39,521
chromosome,g36,g41,313
chromosome,g36,g43,418
chromosome,g36,g44,479
chromosome,g36,g45,318
chromosome,g37,g39,470
chromosome,g37,g41,370
chromosome,g37,g43,111
chromosome,g37,g44,454
chromosome,g37,g45,373
chromosome,g39,g41,462
chromosome,g39,g43,465
chromosome,g39,g44,110
chromosome,g39,g45,445
chromosome,g41,g43,391
chromosome,g41,g44,434
chromosome,g41,g45,121
chromosome,g43,g44,459
chromosome,g43,g45,362
chromosome,g44,g45,431
pAcce,g21,g22,447
pAcce,g21,g23,447
pAcce,g21,g24,447
pAcce,g21,g25,447
pAcce,g21,g26,447
pAcce,g21,g27,726
pAcce,g21,g31,720
pAcce,g21,g32,724
pAcce,g21,g33,447
pAcce,g21,g34,730
pAcce,g21,g35,559
pAcce,g21,g36,447
pAcce,g21,g37,447
pAcce,g21,g39,56
pAcce,g21,g41,726
pAcce,g21,g43,447
pAcce,g21,g44,47
pAcce,g21,g45,726
pAcce,g22,g23,0
pAcce,g22,g24,0
pAcce,g22,g25,0
pAcce,g22,g26,0
pAcce,g22,g27,317
pAcce,g22,g31,313
pAcce,g22,g32,317
pAcce,g22,g33,0
pAcce,g22,g34,321
pAcce,g22,g35,134
pAcce,g22,g36,0
pAcce,g22,g37,0
pAcce,g22,g39,425
pAcce,g22,g41,317
pAcce,g22,g43,0
pAcce,g22,g44,422
pAcce,g22,g45,319
pAcce,g23,g24,0
pAcce,g23,g25,0
pAcce,g23,g26,0
pAcce,g23,g27,317
pAcce,g23,g31,313
pAcce,g23,g32,317
pAcce,g23,g33,0
pAcce,g23,g34,321
pAcce,g23,g35,134
pAcce,g23,g36,0
pAcce,g23,g37,0
pAcce,g23,g39,425
pAcce,g23,g41,317
pAcce,g23,g43,0
pAcce,g23,g44,422
pAcce,g23,g45,319
pAcce,g24,g25,0
pAcce,g24,g26,0
pAcce,g24,g27,317
pAcce,g24,g31,313
pAcce,g24,g32,317
pAcce,g24,g33,0
pAcce,g24,g34,321
pAcce,g24,g35,134
pAcce,g24,g36,0
pAcce,g24,g37,0
pAcce,g24,g39,425
pAcce,g24,g41,317
pAcce,g24,g43,0
pAcce,g24,g44,422
pAcce,g24,g45,319
pAcce,g25,g26,0
pAcce,g25,g27,317
pAcce,g25,g31,313
pAcce,g25,g32,317
pAcce,g25,g33,0
pAcce,g25,g34,321
pAcce,g25,g35,134
pAcce,g25,g36,0
pAcce,g25,g37,0
pAcce,g25,g39,425
pAcce,g25,g41,317
pAcce,g25,g43,0
pAcce,g25,g44,422
pAcce,g25,g45,319
pAcce,g26,g27,317
pAcce,g26,g31,313
pAcce,g26,g32,317
pAcce,g26,g33,0
pAcce,g26,g34,321
pAcce,g26,g35,134
pAcce,g26,g36,0
pAcce,g26,g37,0
pAcce,g26,g39,425
pAcce,g26,g41,317
pAcce,g26,g43,0
pAcce,g26,g44,422
pAcce,g26,g45,319
pAcce,g27,g31,96
pAcce,g27,g32,96
pAcce,g27,g33,317
pAcce,g27,g34,166
pAcce,g27,g35,197
pAcce,g27,g36,317
pAcce,g27,g37,317
pAcce,g27,g39,706
pAcce,g27,g41,94
pAcce,g27,g43,317
pAcce,g27,g44,701
pAcce,g27,g45,96
pAcce,g31,g32,24
pAcce,g31,g33,313
pAcce,g31,g34,174
pAcce,g31,g35,197
pAcce,g31,g36,313
pAcce,g31,g37,313
pAcce,g31,g39,702
pAcce,g31,g41,18
pAcce,g31,g43,313
pAcce,g31,g44,695
pAcce,g31,g45,18
pAcce,g32,g33,317
pAcce,g32,g34,172
pAcce,g32,g35,191
pAcce,g32,g36,317
pAcce,g32,g37,317
pAcce,g32,g39,706
pAcce,g32,g41,18
pAcce,g32,g43,317
pAcce,g32,g44,699
pAcce,g32,g45,16
pAcce,g33,g34,321
pAcce,g33,g35,134
pAcce,g33,g36,0
pAcce,g33,g37,0
pAcce,g33,g39,425
pAcce,g33,g41,317
pAcce,g33,g43,0
pAcce,g33,g44,422
pAcce,g33,g45,319
pAcce,g34,g35,193
pAcce,g34,g36,321
pAcce,g34,g37,321
pAcce,g34,g39,708
pAcce,g34,g41,172
pAcce,g34,g43,321
pAcce,g34,g44,705
pAcce,g34,g45,166
pAcce,g35,g36,134
pAcce,g35,g37,134
pAcce,g35,g39,539
pAcce,g35,g41,195
pAcce,g35,g43,134
pAcce,g35,g44,534
pAcce,g35,g45,193
pAcce,g36,g37,0
pAcce,g36,g39,425
pAcce,g36,g41,317
pAcce,g36,g43,0
pAcce,g36,g44,422
pAcce,g36,g45,319
pAcce,g37,g39,425
pAcce,g37,g41,317
pAcce,g37,g43,0
pAcce,g37,g44,422
pAcce,g37,g45,319
pAcce,g39,g41,704
pAcce,g39,g43,425
pAcce,g39,g44,53
pAcce,g39,g45,708
pAcce,g41,g43,317
pAcce,g41,g44,701
pAcce,g41,g45,18
pAcce,g43,g44,422
pAcce,g43,g45,319
pAcce,g44,g45,701
pSymA,g21,g22,1001
pSymA,g21,g23,998
pSymA,g21,g24,1272
pSymA,g21,g25,1258
pSymA,g21,g26,1254
pSymA,g21,g27,895
pSymA,g21,g31,651
pSymA,g21,g32,670
pSymA,g21,g33,1120
pSymA,g21,g34,666
pSymA,g21,g35,645
pSymA,g21,g36,1234
pSymA,g21,g37,1091
pSymA,g21,g39,70
pSymA,g21,g41,673
pSymA,g21,g43,1094
pSymA,g21,g44,67
pSymA,g21,g45,659
pSymA,g22,g23,97
pSymA,g22,g24,1311
pSymA,g22,g25,1081
pSymA,g22,g26,1085
pSymA,g22,g27,1118
pSymA,g22,g31,1082
pSymA,g22,g32,1087
pSymA,g22,g33,977
pSymA,g22,g34,1049
pSymA,g22,g35,1072
pSymA,g22,g36,1073
pSymA,g22,g37,1134
pSymA,g22,g39,1005
pSymA,g22,g41,1076
pSymA,g22,g43,1135
pSymA,g22,g44,1010
pSymA,g22,g45,1078
pSymA,g23,g24,1320
pSymA,g23,g25,1090
pSymA,g23,g26,1080
pSymA,g23,g27,1117
pSymA,g23,g31,1089
pSymA,g23,g32,1086
pSymA,g23,g33,992
pSymA,g23,g34,1052
pSymA,g23,g35,1079
pSymA,g23,g36,1076
pSymA,g23,g37,1133
pSymA,g23,g39,1008
pSymA,g23,g41,1089
pSymA,g23,g43,1130
pSymA,g23,g44,999
pSymA,g23,g45,1089
pSymA,g24,g25,912
pSymA,g24,g26,926
pSymA,g24,g27,1025
pSymA,g24,g31,1379
pSymA,g24,g32,1386
pSymA,g24,g33,900
pSymA,g24,g34,1348
pSymA,g24,g35,1381
pSymA,g24,g36,916
pSymA,g24,g37,733
pSymA,g24,g39,1272
pSymA,g24,g41,1385
pSymA,g24,g43,722
pSymA,g24,g44,1273
pSymA,g24,g45,1379
pSymA,g25,g26,94
pSymA,g25,g27,911
pSymA,g25,g31,1265
pSymA,g25,g32,1266
pSymA,g25,g33,900
pSymA,g25,g34,1230
pSymA,g25,g35,1267
pSymA,g25,g36,114
pSymA,g25,g37,909
pSymA,g25,g39,1262
pSymA,g25,g41,1265
pSymA,g25,g43,916
pSymA,g25,g44,1263
pSymA,g25,g45,1267
pSymA,g26,g27,915
pSymA,g26,g31,1259
pSymA,g26,g32,1260
pSymA,g26,g33,902
pSymA,g26,g34,1210
pSymA,g26,g35,1245
pSymA,g26,g36,86
pSymA,g26,g37,895
pSymA,g26,g39,1258
pSymA,g26,g41,1253
pSymA,g26,g43,898
pSymA,g26,g44,1259
pSymA,g26,g45,1265
pSymA,g27,g31,788
pSymA,g27,g32,791
pSymA,g27,g33,643
pSymA,g27,g34,763
pSymA,g27,g35,794
pSymA,g27,g36,903
pSymA,g27,g37,918
pSymA,g27,g39,893
pSymA,g27,g41,804
pSymA,g27,g43,925
pSymA,g27,g44,880
pSymA,g27,g45,794
pSymA,g31,g32,85
pSymA,g31,g33,1235
pSymA,g31,g34,153
pSymA,g31,g35,96
pSymA,g31,g36,1239
pSymA,g31,g37,1156
pSymA,g31,g39,667
pSymA,g31,g41,88
pSymA,g31,g43,1173
pSymA,g31,g44,658
pSymA,g31,g45,56
pSymA,g32,g33,1240
pSymA,g32,g34,138
pSymA,g32,g35,95
pSymA,g32,g36,1242
pSymA,g32,g37,1167
pSymA,g32,g39,676
pSymA,g32,g41,67
pSymA,g32,g43,1160
pSymA,g32,g44,671
pSymA,g32,g45,67
pSymA,g33,g34,1194
pSymA,g33,g35,1231
pSymA,g33,g36,888
pSymA,g33,g37,747
pSymA,g33,g39,1110
pSymA,g33,g41,1229
pSymA,g33,g43,754
pSymA,g33,g44,1109
pSymA,g33,g45,1231
pSymA,g34,g35,113
pSymA,g34,g36,1214
pSymA,g34,g37,1127
pSymA,g34,g39,660
pSymA,g34,g41,127
pSymA,g34,g43,1116
pSymA,g34,g44,653
pSymA,g34,g45,145
pSymA,g35,g36,1241
pSymA,g35,g37,1166
pSymA,g35,g39,643
pSymA,g35,g41,88
pSymA,g35,g43,1161
pSymA,g35,g44,642
pSymA,g35,g45,104
pSymA,g36,g37,889
pSymA,g36,g39,1246
pSymA,g36,g41,1247
pSymA,g36,g43,902
pSymA,g36,g44,1243
pSymA,g36,g45,1237
pSymA,g37,g39,1103
pSymA,g37,g41,1172
pSymA,g37,g43,81
pSymA,g37,g44,1082
pSymA,g37,g45,1156
pSymA,g39,g41,667
pSymA,g39,g43,1090
pSymA,g39,g44,71
pSymA,g39,g45,669
pSymA,g41,g43,1161
pSymA,g41,g44,674
pSymA,g41,g45,76
pSymA,g43,g44,1087
pSymA,g43,g45,1171
pSymA,g44,g45,662
