gene,genome_id1,genome_id2,dxy
IMPDH_2~~~hrp1,g11,g19,11
IMPDH_2~~~hrp1,g13,g4,0
IMPDH_2~~~hrp1,g13,g5,0
IMPDH_2~~~hrp1,g13,g6,11
IMPDH_2~~~hrp1,g13,g8,0
IMPDH_2~~~hrp1,g13,g9,0
IMPDH_2~~~hrp1,g13,g16,0
IMPDH_2~~~hrp1,g13,g17,0
IMPDH_2~~~hrp1,g13,g19,11
IMPDH_2~~~hrp1,g16,g4,0
IMPDH_2~~~hrp1,g16,g5,0
IMPDH_2~~~hrp1,g16,g6,11
IMPDH_2~~~hrp1,g16,g8,0
IMPDH_2~~~hrp1,g16,g9,0
IMPDH_2~~~hrp1,g16,g17,0
IMPDH_2~~~hrp1,g16,g19,11
IMPDH_2~~~hrp1,g17,g4,0
IMPDH_2~~~hrp1,g17,g5,0
IMPDH_2~~~hrp1,g17,g6,11
IMPDH_2~~~hrp1,g17,g8,0
IMPDH_2~~~hrp1,g17,g9,0
IMPDH_2~~~hrp1,g17,g19,11
IMPDH_2~~~hrp1,g19,g4,11
IMPDH_2~~~hrp1,g19,g5,11
IMPDH_2~~~hrp1,g19,g6,0
IMPDH_2~~~hrp1,g19,g8,11
IMPDH_2~~~hrp1,g19,g9,11
IMPDH_3,g4,g5,0
IMPDH_3,g4,g6,0
IMPDH_3,g4,g8,0
IMPDH_3,g4,g9,0
IMPDH_3,g5,g6,0
IMPDH_3,g5,g8,0
IMPDH_3,g5,g9,0
IMPDH_3,g6,g8,0
IMPDH_3,g6,g9,0
IMPDH_3,g8,g9,0
IMPDH_3,g11,g4,1
IMPDH_3,g11,g5,1
IMPDH_3,g11,g6,1
IMPDH_3,g11,g8,1
IMPDH_3,g11,g9,1
IMPDH_3,g11,g13,0
IMPDH_3,g11,g16,1
IMPDH_3,g11,g17,1
IMPDH_3,g11,g19,0
IMPDH_3,g13,g4,1
IMPDH_3,g13,g5,1
IMPDH_3,g13,g6,1
IMPDH_3,g13,g8,1
IMPDH_3,g13,g9,1
IMPDH_3,g13,g16,1
IMPDH_3,g13,g17,1
IMPDH_3,g13,g19,0
IMPDH_3,g16,g4,0
IMPDH_3,g16,g5,0
IMPDH_3,g16,g6,0
IMPDH_3,g16,g8,0
IMPDH_3,g16,g9,0
IMPDH_3,g16,g17,0
IMPDH_3,g16,g19,1
IMPDH_3,g17,g4,0
IMPDH_3,g17,g5,0
IMPDH_3,g17,g6,0
IMPDH_3,g17,g8,0
IMPDH_3,g17,g9,0
IMPDH_3,g17,g19,1
IMPDH_3,g19,g4,1
IMPDH_3,g19,g5,1
IMPDH_3,g19,g6,1
IMPDH_3,g19,g8,1
IMPDH_3,g19,g9,1
PSK,g4,g5,0
PSK,g4,g6,0
PSK,g4,g8,0
PSK,g4,g9,0
PSK,g5,g6,0
PSK,g5,g8,0
PSK,g5,g9,0
PSK,g6,g8,0
PSK,g6,g9,0
PSK,g8,g9,0
PSK,g11,g4,3
PSK,g11,g5,3
PSK,g11,g6,3
PSK,g11,g8,3
PSK,g11,g9,3
PSK,g11,g13,0
PSK,g11,g16,3
PSK,g11,g17,3
PSK,g11,g19,0
PSK,g13,g4,3
PSK,g13,g5,3
PSK,g13,g6,3
PSK,g13,g8,3
PSK,g13,g9,3
PSK,g13,g16,3
PSK,g13,g17,3
PSK,g13,g19,0
PSK,g16,g4,0
PSK,g16,g5,0
PSK,g16,g6,0
PSK,g16,g8,0
PSK,g16,g9,0
PSK,g16,g17,0
PSK,g16,g19,3
PSK,g17,g4,0
PSK,g17,g5,0
PSK,g17,g6,0
PSK,g17,g8,0
PSK,g17,g9,0
PSK,g17,g19,3
PSK,g19,g4,3
PSK,g19,g5,3
PSK,g19,g6,3
PSK,g19,g8,3
PSK,g19,g9,3
QRSL1~~~cnbH_1,g4,g5,0
QRSL1~~~cnbH_1,g4,g6,0
QRSL1~~~cnbH_1,g4,g8,0
QRSL1~~~cnbH_1,g4,g9,0
QRSL1~~~cnbH_1,g5,g6,0
QRSL1~~~cnbH_1,g5,g8,0
QRSL1~~~cnbH_1,g5,g9,0
QRSL1~~~cnbH_1,g6,g8,0
QRSL1~~~cnbH_1,g6,g9,0
QRSL1~~~cnbH_1,g8,g9,0
QRSL1~~~cnbH_1,g11,g4,1
QRSL1~~~cnbH_1,g11,g5,1
QRSL1~~~cnbH_1,g11,g6,1
QRSL1~~~cnbH_1,g11,g8,1
QRSL1~~~cnbH_1,g11,g9,1
QRSL1~~~cnbH_1,g11,g13,0
QRSL1~~~cnbH_1,g11,g16,1
QRSL1~~~cnbH_1,g11,g17,1
QRSL1~~~cnbH_1,g11,g19,1
QRSL1~~~cnbH_1,g13,g4,1
QRSL1~~~cnbH_1,g13,g5,1
QRSL1~~~cnbH_1,g13,g6,1
QRSL1~~~cnbH_1,g13,g8,1
QRSL1~~~cnbH_1,g13,g9,1
QRSL1~~~cnbH_1,g13,g16,1
QRSL1~~~cnbH_1,g13,g17,1
QRSL1~~~cnbH_1,g13,g19,1
QRSL1~~~cnbH_1,g16,g4,0
QRSL1~~~cnbH_1,g16,g5,0
QRSL1~~~cnbH_1,g16,g6,0
QRSL1~~~cnbH_1,g16,g8,0
QRSL1~~~cnbH_1,g16,g9,0
QRSL1~~~cnbH_1,g16,g17,0
QRSL1~~~cnbH_1,g16,g19,2
QRSL1~~~cnbH_1,g17,g4,0
QRSL1~~~cnbH_1,g17,g5,0
QRSL1~~~cnbH_1,g17,g6,0
QRSL1~~~cnbH_1,g17,g8,0
QRSL1~~~cnbH_1,g17,g9,0
QRSL1~~~cnbH_1,g17,g19,2
QRSL1~~~cnbH_1,g19,g4,2
QRSL1~~~cnbH_1,g19,g5,2
QRSL1~~~cnbH_1,g19,g6,2
QRSL1~~~cnbH_1,g19,g8,2
QRSL1~~~cnbH_1,g19,g9,2
Vejaci,g4,g5,0
Vejaci,g4,g6,10
Vejaci,g4,g8,0
Vejaci,g4,g9,0
Vejaci,g5,g6,10
Vejaci,g5,g8,0
Vejaci,g5,g9,0
Vejaci,g6,g8,10
Vejaci,g6,g9,10
Vejaci,g8,g9,0
Vejaci,g11,g4,12
Vejaci,g11,g5,12
Vejaci,g11,g6,4
Vejaci,g11,g8,12
Vejaci,g11,g9,12
Vejaci,g11,g13,0
Vejaci,g11,g16,11
Vejaci,g11,g17,11
Vejaci,g11,g19,0
Vejaci,g13,g4,12
Vejaci,g13,g5,12
Vejaci,g13,g6,4
Vejaci,g13,g8,12
Vejaci,g13,g9,12
Vejaci,g13,g16,11
Vejaci,g13,g17,11
Vejaci,g13,g19,0
Vejaci,g16,g4,15
Vejaci,g16,g5,15
Vejaci,g16,g6,13
Vejaci,g16,g8,15
Vejaci,g16,g9,15
Vejaci,g16,g17,0
Vejaci,g16,g19,11
Vejaci,g17,g4,15
Vejaci,g17,g5,15
Vejaci,g17,g6,13
Vejaci,g17,g8,15
Vejaci,g17,g9,15
Vejaci,g17,g19,11
Vejaci,g19,g4,12
Vejaci,g19,g5,12
Vejaci,g19,g6,4
Vejaci,g19,g8,12
Vejaci,g19,g9,12
aacA4,g4,g5,0
aacA4,g4,g6,0
aacA4,g4,g8,0
aacA4,g4,g9,0
aacA4,g5,g6,0
aacA4,g5,g8,0
aacA4,g5,g9,0
aacA4,g6,g8,0
aacA4,g6,g9,0
aacA4,g8,g9,0
aacA4,g11,g4,2
aacA4,g11,g5,2
aacA4,g11,g6,2
aacA4,g11,g8,2
aacA4,g11,g9,2
aacA4,g11,g13,0
aacA4,g11,g16,3
aacA4,g11,g17,3
aacA4,g11,g19,0
aacA4,g13,g4,2
aacA4,g13,g5,2
aacA4,g13,g6,2
aacA4,g13,g8,2
aacA4,g13,g9,2
aacA4,g13,g16,3
aacA4,g13,g17,3
aacA4,g13,g19,0
aacA4,g16,g4,1
aacA4,g16,g5,1
aacA4,g16,g6,1
aacA4,g16,g8,1
aacA4,g16,g9,1
aacA4,g16,g17,0
aacA4,g16,g19,3
aacA4,g17,g4,1
aacA4,g17,g5,1
aacA4,g17,g6,1
aacA4,g17,g8,1
aacA4,g17,g9,1
aacA4,g17,g19,3
aacA4,g19,g4,2
aacA4,g19,g5,2
aacA4,g19,g6,2
aacA4,g19,g8,2
aacA4,g19,g9,2
aaeA_2,g4,g5,0
aaeA_2,g4,g6,2
aaeA_2,g4,g8,0
aaeA_2,g4,g9,0
aaeA_2,g5,g6,2
aaeA_2,g5,g8,0
aaeA_2,g5,g9,0
aaeA_2,g6,g8,2
aaeA_2,g6,g9,2
aaeA_2,g8,g9,0
aaeA_2,g11,g4,1
aaeA_2,g11,g5,1
aaeA_2,g11,g6,1
aaeA_2,g11,g8,1
aaeA_2,g11,g9,1
aaeA_2,g11,g13,0
aaeA_2,g11,g16,16
aaeA_2,g11,g17,16
aaeA_2,g11,g19,11
aaeA_2,g13,g4,1
aaeA_2,g13,g5,1
aaeA_2,g13,g6,1
aaeA_2,g13,g8,1
aaeA_2,g13,g9,1
aaeA_2,g13,g16,16
aaeA_2,g13,g17,16
aaeA_2,g13,g19,11
aaeA_2,g16,g4,17
aaeA_2,g16,g5,17
aaeA_2,g16,g6,17
aaeA_2,g16,g8,17
aaeA_2,g16,g9,17
aaeA_2,g16,g17,0
aaeA_2,g16,g19,23
aaeA_2,g17,g4,17
aaeA_2,g17,g5,17
aaeA_2,g17,g6,17
aaeA_2,g17,g8,17
aaeA_2,g17,g9,17
aaeA_2,g17,g19,23
aaeA_2,g19,g4,10
aaeA_2,g19,g5,10
aaeA_2,g19,g6,12
aaeA_2,g19,g8,10
aaeA_2,g19,g9,10
aat,g4,g5,0
aat,g4,g6,0
aat,g4,g8,1
aat,g4,g9,0
aat,g5,g6,0
aat,g5,g8,1
aat,g5,g9,0
aat,g6,g8,1
aat,g6,g9,0
aat,g8,g9,1
aat,g11,g4,0
aat,g11,g5,0
aat,g11,g6,0
aat,g11,g8,1
aat,g11,g9,0
aat,g11,g13,0
aat,g11,g16,0
aat,g11,g17,0
aat,g11,g19,0
aat,g13,g4,0
aat,g13,g5,0
aat,g13,g6,0
aat,g13,g8,1
aat,g13,g9,0
aat,g13,g16,0
aat,g13,g17,0
aat,g13,g19,0
aat,g16,g4,0
aat,g16,g5,0
aat,g16,g6,0
aat,g16,g8,1
aat,g16,g9,0
aat,g16,g17,0
aat,g16,g19,0
aat,g17,g4,0
aat,g17,g5,0
aat,g17,g6,0
aat,g17,g8,1
aat,g17,g9,0
aat,g17,g19,0
aat,g19,g4,0
aat,g19,g5,0
aat,g19,g6,0
aat,g19,g8,1
aat,g19,g9,0
aatB_2,g4,g5,0
aatB_2,g4,g6,0
aatB_2,g4,g8,0
aatB_2,g4,g9,0
aatB_2,g5,g6,0
aatB_2,g5,g8,0
aatB_2,g5,g9,0
aatB_2,g6,g8,0
aatB_2,g6,g9,0
aatB_2,g8,g9,0
aatB_2,g11,g4,1
aatB_2,g11,g5,1
aatB_2,g11,g6,1
aatB_2,g11,g8,1
aatB_2,g11,g9,1
aatB_2,g11,g13,0
aatB_2,g11,g16,1
aatB_2,g11,g17,1
aatB_2,g11,g19,0
aatB_2,g13,g4,1
aatB_2,g13,g5,1
aatB_2,g13,g6,1
aatB_2,g13,g8,1
aatB_2,g13,g9,1
aatB_2,g13,g16,1
aatB_2,g13,g17,1
aatB_2,g13,g19,0
aatB_2,g16,g4,0
aatB_2,g16,g5,0
aatB_2,g16,g6,0
aatB_2,g16,g8,0
aatB_2,g16,g9,0
aatB_2,g16,g17,0
aatB_2,g16,g19,1
aatB_2,g17,g4,0
aatB_2,g17,g5,0
aatB_2,g17,g6,0
aatB_2,g17,g8,0
aatB_2,g17,g9,0
aatB_2,g17,g19,1
aatB_2,g19,g4,1
aatB_2,g19,g5,1
aatB_2,g19,g6,1
aatB_2,g19,g8,1
aatB_2,g19,g9,1
abaF,g4,g5,0
abaF,g4,g6,12
abaF,g4,g8,0
abaF,g4,g9,0
abaF,g5,g6,12
abaF,g5,g8,0
abaF,g5,g9,0
abaF,g6,g8,12
abaF,g6,g9,12
abaF,g8,g9,0
abaF,g11,g4,5
abaF,g11,g5,5
abaF,g11,g6,17
abaF,g11,g8,5
abaF,g11,g9,5
abaF,g11,g13,0
abaF,g11,g16,0
abaF,g11,g17,0
abaF,g11,g19,17
abaF,g13,g4,5
abaF,g13,g5,5
abaF,g13,g6,17
abaF,g13,g8,5
abaF,g13,g9,5
abaF,g13,g16,0
abaF,g13,g17,0
abaF,g13,g19,17
abaF,g16,g4,5
abaF,g16,g5,5
abaF,g16,g6,17
abaF,g16,g8,5
abaF,g16,g9,5
abaF,g16,g17,0
abaF,g16,g19,17
abaF,g17,g4,5
abaF,g17,g5,5
abaF,g17,g6,17
abaF,g17,g8,5
abaF,g17,g9,5
abaF,g17,g19,17
abaF,g19,g4,12
abaF,g19,g5,12
abaF,g19,g6,0
abaF,g19,g8,12
abaF,g19,g9,12
abgB_3,g4,g5,0
abgB_3,g4,g6,0
abgB_3,g4,g8,0
abgB_3,g4,g9,0
abgB_3,g5,g6,0
abgB_3,g5,g8,0
abgB_3,g5,g9,0
abgB_3,g6,g8,0
abgB_3,g6,g9,0
abgB_3,g8,g9,0
abgB_3,g11,g4,2
abgB_3,g11,g5,2
abgB_3,g11,g6,2
abgB_3,g11,g8,2
abgB_3,g11,g9,2
abgB_3,g11,g13,0
abgB_3,g11,g16,2
abgB_3,g11,g17,2
abgB_3,g11,g19,0
abgB_3,g13,g4,2
abgB_3,g13,g5,2
abgB_3,g13,g6,2
abgB_3,g13,g8,2
abgB_3,g13,g9,2
abgB_3,g13,g16,2
abgB_3,g13,g17,2
abgB_3,g13,g19,0
abgB_3,g16,g4,0
abgB_3,g16,g5,0
abgB_3,g16,g6,0
abgB_3,g16,g8,0
abgB_3,g16,g9,0
abgB_3,g16,g17,0
abgB_3,g16,g19,2
abgB_3,g17,g4,0
abgB_3,g17,g5,0
abgB_3,g17,g6,0
abgB_3,g17,g8,0
abgB_3,g17,g9,0
abgB_3,g17,g19,2
abgB_3,g19,g4,2
abgB_3,g19,g5,2
abgB_3,g19,g6,2
abgB_3,g19,g8,2
abgB_3,g19,g9,2
abgT,g4,g5,0
abgT,g4,g6,1
abgT,g4,g8,0
abgT,g4,g9,1
abgT,g5,g6,1
abgT,g5,g8,0
abgT,g5,g9,1
abgT,g6,g8,1
abgT,g6,g9,2
abgT,g8,g9,1
abgT,g11,g4,1
abgT,g11,g5,1
abgT,g11,g6,0
abgT,g11,g8,1
abgT,g11,g9,2
abgT,g11,g13,0
abgT,g11,g16,1
abgT,g11,g17,1
abgT,g11,g19,1
abgT,g13,g4,1
abgT,g13,g5,1
abgT,g13,g6,0
abgT,g13,g8,1
abgT,g13,g9,2
abgT,g13,g16,1
abgT,g13,g17,1
abgT,g13,g19,1
abgT,g16,g4,0
abgT,g16,g5,0
abgT,g16,g6,1
abgT,g16,g8,0
abgT,g16,g9,1
abgT,g16,g17,0
abgT,g16,g19,0
abgT,g17,g4,0
abgT,g17,g5,0
abgT,g17,g6,1
abgT,g17,g8,0
abgT,g17,g9,1
abgT,g17,g19,0
abgT,g19,g4,0
abgT,g19,g5,0
abgT,g19,g6,1
abgT,g19,g8,0
abgT,g19,g9,1
abo_2,g4,g5,0
abo_2,g4,g6,54
abo_2,g4,g8,0
abo_2,g4,g9,1
abo_2,g5,g6,54
abo_2,g5,g8,0
abo_2,g5,g9,1
abo_2,g6,g8,54
abo_2,g6,g9,55
abo_2,g8,g9,1
abo_2,g11,g4,54
abo_2,g11,g5,54
abo_2,g11,g6,0
abo_2,g11,g8,54
abo_2,g11,g9,55
abo_2,g11,g13,0
abo_2,g11,g16,35
abo_2,g11,g17,35
abo_2,g11,g19,55
abo_2,g13,g4,54
abo_2,g13,g5,54
abo_2,g13,g6,0
abo_2,g13,g8,54
abo_2,g13,g9,55
abo_2,g13,g16,35
abo_2,g13,g17,35
abo_2,g13,g19,55
abo_2,g16,g4,21
abo_2,g16,g5,21
abo_2,g16,g6,35
abo_2,g16,g8,21
abo_2,g16,g9,22
abo_2,g16,g17,0
abo_2,g16,g19,22
abo_2,g17,g4,21
abo_2,g17,g5,21
abo_2,g17,g6,35
abo_2,g17,g8,21
abo_2,g17,g9,22
abo_2,g17,g19,22
abo_2,g19,g4,1
abo_2,g19,g5,1
abo_2,g19,g6,55
abo_2,g19,g8,1
abo_2,g19,g9,2
abo_4~~~abo_5,g4,g5,0
abo_4~~~abo_5,g4,g6,0
abo_4~~~abo_5,g4,g8,0
abo_4~~~abo_5,g4,g9,0
abo_4~~~abo_5,g5,g6,0
abo_4~~~abo_5,g5,g8,0
abo_4~~~abo_5,g5,g9,0
abo_4~~~abo_5,g6,g8,0
abo_4~~~abo_5,g6,g9,0
abo_4~~~abo_5,g8,g9,0
abo_4~~~abo_5,g11,g4,2
abo_4~~~abo_5,g11,g5,2
abo_4~~~abo_5,g11,g6,2
abo_4~~~abo_5,g11,g8,2
abo_4~~~abo_5,g11,g9,2
abo_4~~~abo_5,g11,g13,0
abo_4~~~abo_5,g11,g16,2
abo_4~~~abo_5,g11,g17,2
abo_4~~~abo_5,g11,g19,0
abo_4~~~abo_5,g13,g4,2
abo_4~~~abo_5,g13,g5,2
abo_4~~~abo_5,g13,g6,2
abo_4~~~abo_5,g13,g8,2
abo_4~~~abo_5,g13,g9,2
abo_4~~~abo_5,g13,g16,2
abo_4~~~abo_5,g13,g17,2
abo_4~~~abo_5,g13,g19,0
abo_4~~~abo_5,g16,g4,0
abo_4~~~abo_5,g16,g5,0
abo_4~~~abo_5,g16,g6,0
abo_4~~~abo_5,g16,g8,0
abo_4~~~abo_5,g16,g9,0
abo_4~~~abo_5,g16,g17,0
abo_4~~~abo_5,g16,g19,2
abo_4~~~abo_5,g17,g4,0
abo_4~~~abo_5,g17,g5,0
abo_4~~~abo_5,g17,g6,0
abo_4~~~abo_5,g17,g8,0
abo_4~~~abo_5,g17,g9,0
abo_4~~~abo_5,g17,g19,2
abo_4~~~abo_5,g19,g4,2
abo_4~~~abo_5,g19,g5,2
abo_4~~~abo_5,g19,g6,2
abo_4~~~abo_5,g19,g8,2
abo_4~~~abo_5,g19,g9,2
accA,g4,g5,0
accA,g4,g6,0
accA,g4,g8,0
accA,g4,g9,0
accA,g5,g6,0
accA,g5,g8,0
accA,g5,g9,0
accA,g6,g8,0
accA,g6,g9,0
accA,g8,g9,0
accA,g11,g4,2
accA,g11,g5,2
accA,g11,g6,2
accA,g11,g8,2
accA,g11,g9,2
accA,g11,g13,1
accA,g11,g16,2
accA,g11,g17,2
accA,g11,g19,0
accA,g13,g4,3
accA,g13,g5,3
accA,g13,g6,3
accA,g13,g8,3
accA,g13,g9,3
accA,g13,g16,3
accA,g13,g17,3
accA,g13,g19,1
accA,g16,g4,0
accA,g16,g5,0
accA,g16,g6,0
accA,g16,g8,0
accA,g16,g9,0
accA,g16,g17,0
accA,g16,g19,2
accA,g17,g4,0
accA,g17,g5,0
accA,g17,g6,0
accA,g17,g8,0
accA,g17,g9,0
accA,g17,g19,2
accA,g19,g4,2
accA,g19,g5,2
accA,g19,g6,2
accA,g19,g8,2
accA,g19,g9,2
accA1_1,g4,g5,0
accA1_1,g4,g6,35
accA1_1,g4,g8,0
accA1_1,g4,g9,0
accA1_1,g5,g6,35
accA1_1,g5,g8,0
accA1_1,g5,g9,0
