gene,g21,g22,g23,g24,g25,g26,g27,g31,g32,g33,g34,g35,g36,g37,g39,g41,g43,g44,g45
ade,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ade2~~~rihB~~~rihB_1~~~rihB_2~~~ade_2,2,2,1,2,1,1,1,2,2,2,2,1,1,2,2,2,1,2,2
adeC_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adeC_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adeP_1~~~adeQ~~~adeP_2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2
adeQ~~~adeP_1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1
adh1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adhB~~~adh1_1~~~adh1_2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
adhC2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adhD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adhT_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adhT_2,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0
adhT_2~~~adhT_3~~~adhT_1,2,1,1,0,0,0,1,1,1,1,1,1,0,1,2,1,1,2,1
adhT_3,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
adh_1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
adh_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adh_2~~~adh_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adh_3,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
adiA~~~ldcC,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2
adiC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
afr_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
afr_2~~~afr_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
afsQ1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
agaAII~~~nagA,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1
agpA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
agpA_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ahcY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aidB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ala,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alaC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alaS_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alaS_2~~~alaS_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ald2_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aldA~~~geoB,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
aldHT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aldHT_1~~~gucD~~~aldHT,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,2,0,0
ald_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ald_1~~~ald_2,0,0,0,0,1,2,2,2,2,0,2,2,2,0,0,2,0,0,2
ald_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ald_4~~~betB_6~~~ald_1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0
algA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
algC_2~~~algC_1~~~algC,1,0,0,0,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1
algE2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
algE2_1~~~cya_4,1,0,0,1,2,1,2,1,2,2,2,1,1,1,1,2,1,1,2
alkA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alkB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alkJ_1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0
alkJ_2~~~alkJ_4~~~alkJ_1~~~alkJ_5,1,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,2
alkJ_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alkJ_4,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
alkJ_4~~~alkJ_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alkJ_5,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
allA_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
allA_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
allB,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
allE,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1
alr_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
alsB,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alsK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
alsT_1~~~alsT_2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alsT_2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
alsT_2~~~alsT_3,1,0,0,1,2,2,0,0,0,0,0,0,1,1,1,0,1,1,0
alsT_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
amiC_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
amiC_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
amiD_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
amiD_1~~~amiD_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
amn,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ampC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ampG_1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1
ampR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
amtB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
andAa_1~~~andAa_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
andAa_2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
andAa_2~~~andAa_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
anmK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
anoR,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
ant1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
apaG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
apbC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
apbE,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
apc3,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0
apc3_2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
apc4,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0
apc4_2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
apnL~~~apsD_3~~~iolG_4~~~apsD_2~~~iolG_11,2,1,3,3,1,1,1,1,1,2,1,1,2,3,2,2,3,2,1
apnO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
appA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aprA,0,0,0,0,1,1,2,0,0,0,0,1,1,1,0,0,1,0,0
apr~~~epr,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1
apsD_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
apsI,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1
apt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aptA,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aptB,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aqpZ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aqpZ2_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aqpZ2_1~~~aqpZ2_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aqpZ_1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
araA_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
araA_2~~~araA_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
araB_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
araB_2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
araB_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
araB_4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
araC_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
araC_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
araC_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
araD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
araD_2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
araE_2~~~araE_1~~~araE,2,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,2,1
araF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
araG_2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1
araH_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
araH_2~~~rbsC_13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
araH_3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
araN,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
araQ_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
araQ_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
araQ_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
araQ_4,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1
arcA_1~~~arcA_2,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1
arcA_1~~~arcA_2~~~arcA_3,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,2,0,0
arcA_1~~~arcA_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
arcA_2~~~arcA_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
arcB_1~~~ala~~~arcB_2,0,0,0,1,2,2,0,1,1,2,1,1,2,1,0,1,1,0,1
arcB_2~~~arcB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
arcC2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
arcD_1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0
arcD_2,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0
arfB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
arg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
argB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
argB_2,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1
argC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
argD_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
argD_2~~~dgdA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
argD_2~~~ectB_1~~~ectB~~~ectB_2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
argE_2~~~argE,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1
argF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
argG_2~~~argG_1~~~argG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
argH_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
argH_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
argO,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1
argP_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
argP_2~~~argP_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
argP_3~~~oxyR_2,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1
argP_4,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
argS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
argT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
argT_2,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0
arnB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
arnB_1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
arnC_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aroA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aroB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aroC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aroE_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aroE_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aroE_2~~~aroE_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aroE_4~~~aroE_1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1
aroH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aroK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aroQ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aroQ_2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1
aroQ_3,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1
arsC_1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
arsC_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
arsC_3,0,0,0,0,2,2,1,0,0,2,0,0,2,0,0,0,0,0,0
arsH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
arsH_1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
artI_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
artI_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
artJ_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
artJ_2~~~artJ_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
artM_1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
artM_2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1
artM_3~~~occP_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
artQ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
artQ_2~~~hisQ_3,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0
aruC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aruH_1~~~dapL,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
aruH_2~~~aruH_1~~~aruH,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aruI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
asD_1~~~asD_2~~~asD,1,0,0,0,0,0,0,2,2,0,0,2,0,0,1,1,0,1,1
asd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
asd2_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
asd2_1~~~asd2_2~~~asd,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1
asd2_3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
asnB_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
asnC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
asnO~~~asnB_1,1,1,2,1,1,1,2,1,1,1,2,2,2,1,1,2,2,1,1
aspA_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
aspA_2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
aspC_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aspC_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aspT_1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1
aspT_2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1
atm1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
atoD_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
atpA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
atpB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
atpB_1~~~fliI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
atpC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
atpD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
atpE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
atpF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
atpF_1,2,2,1,1,1,1,2,2,2,2,2,1,2,1,1,2,1,2,1
atpG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
atpH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
atsA,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
atsK,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atzC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
atzC_2~~~atzA_2~~~dadD_2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
auaH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
aviRb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
azoR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
