genome_id,gene,value
g21,nifA,1
g21,group_5729,1
g21,group_5726,1
g21,lsrK,1
g21,group_5725,1
g21,andAa_1~~~andAa_3,1
g21,group_5723,1
g21,group_5721,1
g21,group_5714,1
g21,group_5711,1
g21,queE,1
g21,group_5700,1
g21,parE1_1~~~parE1,1
g21,emrA_3~~~emrA_1,1
g21,gnl_2~~~gnl_1,1
g21,comR_3~~~comR_1,1
g21,group_5692,1
g21,aqpZ,1
g21,yfcA_2,1
g21,group_5687,1
g21,group_5685,1
g21,group_5681,1
g21,group_5679,1
g21,group_5678,1
g21,group_5675,1
g21,group_5674,1
g21,nicB_2~~~nicB_3~~~nicB_1,1
g21,nicB_2~~~nicB_3,1
g21,menB~~~paaG,1
g21,group_5673,1
g21,ibpA_1~~~ibpA_3,1
g21,group_5671,1
g21,ycaC_3~~~ycaC_2,1
g21,group_5667,1
g21,group_5666,1
g21,group_5663,1
g21,apr~~~epr,1
g21,treY_1~~~treY_2~~~treY,1
g21,group_5659,1
g21,group_5656,1
g21,trmL,1
g21,group_5655,1
g21,group_5654,1
g21,btuB_2~~~btuB_1,1
g21,group_5653,1
g21,group_5652,1
g21,group_5649,1
g21,fixK_4~~~fixK_3~~~fixK_2,1
g21,aruH_2~~~aruH_1~~~aruH,1
g21,bioS,1
g21,group_5648,1
g21,group_5647,1
g21,yceI,1
g21,ugpC_1~~~btuD_5,1
g21,group_5645,1
g21,nanT_2~~~nanT_1,1
g21,sasA_2~~~sasA_6~~~sasA_7~~~sasA_4~~~sasA_8,1
g21,group_5642,1
g21,group_5641,1
g21,bepC_1~~~bepC,1
g21,group_5640,1
g21,group_5639,1
g21,yecS_3~~~yecS_4,1
g21,ccpA_2~~~ccpA_6,1
g21,group_5637,1
g21,group_5636,1
g21,group_5634,1
g21,mdtL,1
g21,group_5630,1
g21,group_5629,1
g21,group_5627,1
g21,group_5626,1
g21,group_5625,1
g21,group_5624,1
g21,group_5623,1
g21,group_5622,1
g21,dld_2,1
g21,group_5620,1
g21,group_5619,1
g21,fliC_2,1
g21,group_5614,1
g21,gppA_2,1
g21,group_5613,1
g21,fmt_1~~~fmt_2,1
g21,group_5612,1
g21,group_5608,1
g21,denD_2~~~denD_1,1
g21,group_5606,1
g21,kdgR_2~~~kdgR_1,1
g21,group_5605,1
g21,dgoD_2~~~dgoD_1,1
g21,group_5603,1
g21,tdcB_2~~~tdcB_1,1
g21,lnrL_1~~~lnrL_2,1
g21,group_5602,1
g21,tuf~~~selB,1
g21,resA~~~dipZ,1
g21,group_5600,1
g21,smc_2~~~smc_1~~~smc,1
g21,group_5599,1
g21,group_5598,1
g21,group_5597,1
g21,oppF_3~~~oppD_8~~~gsiA_8~~~gsiA_12~~~oppF_4,1
g21,sugC_2~~~sugC_4,1
g21,group_5596,1
g21,group_5595,1
g21,sfsA,1
g21,group_5593,1
g21,group_5591,1
g21,xypA,1
g21,ssuA_2~~~ssuA_1,1
g21,group_5590,1
g21,sbp_2~~~sbp,1
g21,group_5588,1
g21,group_5587,1
g21,group_5581,1
g21,group_5579,1
g21,argH_1,1
g21,otnI,1
g21,ampC,1
g21,group_5575,1
g21,group_5573,1
g21,group_5570,1
g21,group_5569,1
g21,group_5567,1
g21,comM,1
g21,rbsC_11~~~rbsC_19,1
g21,rspR_3~~~rspR_5,1
g21,nylA~~~amiB2,1
g21,group_5565,1
g21,group_5564,1
g21,group_5563,1
g21,oatA_1~~~oatA_3,1
g21,group_5561,1
g21,group_5560,1
g21,group_5559,1
g21,mglA_5~~~mglA_3~~~araG_3,1
g21,rbsA_4~~~rbsA_5~~~btuD_11~~~mglA_9~~~rbsA_9~~~mglA_4,1
g21,lsrR_1~~~lsrR_2,1
g21,group_5557,1
g21,betB_2~~~betB_4~~~betB_5,1
g21,group_5555,1
g21,dctM_2~~~dctM_6,1
g21,group_5554,1
g21,deoR_3~~~deoR_2,1
g21,group_5552,1
g21,cobV,1
g21,group_5551,1
g21,group_5549,1
g21,yhfA,1
g21,lsrA_2~~~lsrA_1,1
g21,group_5543,1
g21,lsrD_1,1
g21,dat_2~~~dat_1~~~dat_4,1
g21,group_5542,1
g21,group_5541,1
g21,group_5540,1
g21,group_5539,1
g21,group_5538,1
g21,cysQ_2,1
g21,group_5536,1
g21,btuB_1~~~btuB_2,1
g21,group_5535,1
g21,group_5534,1
g21,group_5533,1
g21,group_5532,1
g21,lutR_9~~~lutR_2,1
g21,frcA_6~~~frcA_5,1
g21,group_5529,1
g21,comC,1
g21,mshA_6~~~mshA_17~~~mshA_9~~~mshA_10~~~mshA_7,1
g21,cya_2~~~cya_3~~~cya_4,1
g21,fdoG_1,1
g21,group_5527,1
g21,group_5526,1
g21,xlnD,1
g21,nimR~~~nimR_2,1
g21,thiE_2~~~thiE_1,1
g21,acyP,1
g21,idnD_2~~~idnD_1,1
g21,group_5521,1
g21,group_5520,1
g21,pglF,1
g21,group_5519,1
g21,rfbG,1
g21,yihS,1
g21,group_5516,1
g21,group_5514,1
g21,rhaR_8~~~rhaR_2,1
g21,ompR_3~~~ompR_1,1
g21,group_5513,1
g21,yyaP~~~yyaP_1~~~yyaP_2,1
g21,yiaM_1~~~yiaM_2,1
g21,dapA_5~~~dapA_2,1
g21,mshA_9~~~mshA_8,1
g21,group_5512,1
g21,group_5511,1
g21,group_5510,1
g21,group_5509,1
g21,group_5508,1
g21,nodD2_3~~~nodD2_4~~~nodD2_5~~~nodD2_1,1
g21,gltI,1
g21,nosF,1
g21,btuD_19~~~btuD_3,1
g21,PAD1~~~ubiX,1
g21,kdpD,1
g21,group_5505,1
g21,group_5504,1
g21,group_5503,1
g21,rfbF_2~~~rfbF_1,1
g21,fixN_4~~~fixN_5~~~fixN_2~~~fixN_3,1
g21,bicA,1
g21,ydhP_2~~~ydhP_1,1
g21,group_5498,1
g21,group_5497,1
g21,rip3,1
g21,nadC,1
g21,dmlR_12~~~dmlR_13,1
g21,group_5496,1
g21,hcaB_6~~~hcaB_2,1
g21,group_5494,1
g21,group_5493,1
g21,emrB_2~~~emrB_1,1
g21,alkJ_2~~~alkJ_4~~~alkJ_1~~~alkJ_5,1
g21,group_5491,1
g21,group_5490,1
g21,gshAB,1
g21,adeP_1~~~adeQ~~~adeP_2,1
g21,pgrR_3~~~pgrR_11,1
g21,group_5489,1
g21,group_5486,1
g21,degA_2~~~purR_1,1
g21,group_5485,1
g21,fumC,1
g21,group_5484,1
g21,ant1,1
g21,group_5482,1
g21,glgB_2~~~treZ,1
g21,group_5481,1
g21,group_5480,1
g21,group_5478,1
g21,cycM,1
g21,paoB_3~~~paoB_2,1
g21,yjiA_3~~~yjiA_1,1
g21,group_5477,1
g21,nepI_2~~~nepI_1,1
g21,group_5476,1
g21,group_5473,1
g21,paiB~~~paiB_2,1
g21,group_5469,1
g21,group_5464,1
g21,dnaE2_2~~~dnaE2_3~~~dnaE2_5~~~dnaE2_1~~~dnaE2_4,1
g21,group_5452,1
g21,group_5443,1
g21,group_5432,1
g21,group_5430,1
g21,group_5429,1
g21,sasA_1~~~sasA_8,1
g21,group_5427,1
g21,otnK,1
g21,group_5425,1
g21,group_5423,1
g21,group_5422,1
g21,dnaE2_3~~~dnaE2_4~~~dnaE2_1~~~dnaE2_2,1
g21,mhqO,1
g21,stcD_2~~~stcD~~~stcD_1~~~namA,1
g21,group_5419,1
g21,caiA~~~dmdC_1,1
g21,group_5418,1
g21,uvrB_1~~~uvrB~~~uvrB_2,1
g21,group_5415,1
g21,betB_1~~~betB_5~~~betB_8~~~betB_7,1
g21,oppF_6~~~btuD_10~~~gsiA_7~~~gsiA_14~~~btuD_4~~~gsiD_8,1
g21,gdh_5~~~gdh_1~~~gdh_2,1
g21,apnL~~~apsD_3~~~iolG_4~~~apsD_2~~~iolG_11,1
g21,pta,1
g21,gshB_1~~~gshB_2,1
g21,group_5412,1
g21,group_5411,1
g21,ousW_1~~~ousW_2,1
g21,pks5~~~eryA_2~~~tdh_3~~~tdh_2~~~ppsC_1~~~ppsC,1
g21,exsH_3~~~exsH_2~~~exsH_1,1
g21,gltB~~~gltB_1,1
g21,nuoM_1~~~nuoM_2,1
g21,group_5405,1
g21,rbn,1
g21,paoC_2~~~paoC_1,1
g21,murG_2~~~murG_1~~~murC,1
g21,pdhS_2~~~pdhS,1
g21,rcsC_9~~~rcsC_12~~~rcsC_2~~~rcsC_13~~~rcsC_1~~~rcsC_14,1
g21,ropA_2~~~ropA_1,1
g21,metH_3~~~metH_2~~~metH_1,1
g21,group_5402,1
g21,group_5397,1
g21,group_5395,1
g21,sgrR_2~~~sgrR_4~~~dppA_5,1
g21,group_5392,1
g21,group_5390,1
g21,pacS~~~copA_1~~~kdpB_2~~~copA_3,1
g21,nasD_2~~~nasD_1~~~nasD,1
g21,group_5388,1
g21,group_5387,1
g21,proP~~~abaF,1
g21,group_5386,1
g21,uacT_3~~~uacT_2,1
g21,lpxI~~~lpxB,1
g21,group_5379,1
g21,group_5378,1
g21,fdxB,1
g21,ndhB_3~~~ndhB_2,1
g21,typA_1~~~typA_2~~~typA,1
g21,group_5377,1
g21,hmp_3~~~hmp_2,1
g21,group_5376,1
g21,btuD_10,1
g21,group_5375,1
g21,ves,1
g21,group_5370,1
g21,group_5369,1
g21,ydhC~~~mdtL_2~~~slyA_3,1
g21,group_5367,1
g21,group_5366,1
g21,prsD_2,1
g21,group_5365,1
g21,rcsC_5~~~rcsC_12,1
g21,tmd_2~~~tmd~~~tmd_1,1
g21,tcyC~~~pycA_1~~~pycA~~~pycA_2,1
g21,hmp_1~~~hmp_3,1
g21,group_5363,1
g21,cnbH_1~~~cnbH_2,1
g21,egtA_2~~~egtA_1~~~egtA,1
g21,group_5362,1
g21,group_5361,1
g21,yjmC_2~~~yjmC_1,1
g21,pcpR_2~~~pcpR_1,1
g21,group_5360,1
g21,group_5359,1
g21,nanK_1~~~nagC_2,1
g21,pgrR_4~~~pgrR_10~~~pgrR_12,1
g21,yokD,1
g21,hchA_2,1
g21,yiaO_2~~~yiaO_1,1
g21,group_5353,1
g21,group_5352,1
g21,purR_4~~~rafR_2~~~ccpA_1,1
g21,group_5351,1
g21,blh_2~~~blh_3,1
g21,group_5349,1
g21,group_5348,1
g21,group_5347,1
g21,group_5346,1
g21,group_5343,1
g21,rhaR_5~~~rhaS_4~~~rhaR_7~~~rhaR_6,1
g21,oxyR_2~~~dmlR_5~~~dmlR_12,1
g21,pqqE_1~~~pqqE_2~~~pqqE,1
g21,group_5340,1
g21,pgrR_2~~~pgrR_12~~~pgrR_13,1
g21,nfdA_1~~~nfdA_2,1
g21,cckA_1~~~cckA_2~~~cckA,1
g21,dmlR_5,1
g21,ino1~~~ino1_2~~~ino1_1,1
g21,group_5338,1
g21,group_5337,1
g21,group_5335,1
g21,fdoH,1
g21,rhaR_6~~~rhaR_5,1
g21,ydcS,1
g21,group_5334,1
g21,group_5333,1
g21,group_5332,1
g21,rbsC_3~~~rbsC_4~~~rbsC_16~~~rbsC_11,1
g21,group_5331,1
g21,gcvA_4,1
g21,fyuA~~~ampG_2~~~ampG~~~btuB_3,1
g21,puuD,1
g21,hdfR_1~~~hdfR_8,1
g21,ntrC_2~~~ntrC~~~norR_1~~~ntrC_1,1
g21,group_5329,1
g21,group_5328,1
g21,eryA_1~~~eryA_2~~~eryA,1
g21,group_5326,1
g21,cheB_4~~~cheB_5,1
g21,group_5325,1
g21,hldD_3,1
g21,group_5324,1
g21,ligD_5~~~ligD_1~~~ku_4~~~ku_1,1
g21,group_5323,1
g21,hflC,1
g21,gbuC,1
g21,rbsA_11~~~rbsA_8~~~rbsA_12,1
g21,group_5320,1
g21,group_5319,1
g21,msbA_2~~~bmrA~~~msbA_1~~~msbA_3,1
g21,mrcA_2~~~ftsI_2~~~mrcA_1~~~mrcA_3,1
g21,fabG_12~~~fabG_3~~~fabG_14,1
g21,group_5318,1
g21,guaD_2~~~guaD_1,1
g21,dacD~~~dacC,1
g21,ttgB,1
g21,frc~~~yfdE,1
g21,group_5314,1
g21,group_5311,1
g21,group_5309,1
g21,pgk,1
g21,group_5308,1
g21,fabF_2~~~fabF_3~~~fabF_1,1
g21,group_5307,1
g21,pcpR_3~~~pcpR_1,1
g21,group_5306,1
g21,hcaD~~~cndC1~~~thcD,1
g21,mshA_14,1
g21,cca,1
g21,group_5305,1
g21,group_5304,1
g21,gci_2~~~gci_1,1
g21,group_5303,1
g21,group_5302,1
g21,group_5301,1
g21,araN,1
g21,PSK~~~xylB_6,1
g21,adeQ~~~adeP_1,1
g21,group_5299,1
g21,group_5298,1
g21,group_5297,1
g21,argE_2~~~argE,1
g21,group_5296,1
g21,preA,1
g21,dctM_5~~~dctM_2~~~dctM_1,1
g21,xylG_2~~~xylG_3,1
g21,dlgD~~~yjmC_2,1
g21,group_5291,1
g21,sasA_4~~~sasA_3~~~sasA_5,1
g21,group_5290,1
g21,livF_2~~~btuD_9~~~artM_1,1
g21,group_5288,1
g21,rnk_1~~~rnk_2,1
g21,dadD,1
g21,group_5286,1
g21,folD_2,1
g21,siaM_2,1
g21,aruH_1~~~dapL,1
g21,cheY_1~~~cheB_2~~~cheB_1~~~cheB_3,1
g21,group_5285,1
g21,vapC_4~~~vapC_3~~~vapC_5,1
g21,cysG_2~~~cysG_1,1
g21,gabD_1~~~betB_4~~~betB_5,1
g21,lfrA_2,1
g21,group_5282,1
g21,group_5281,1
g21,pdhD~~~merA,1
g21,petC_2~~~petC_1,1
g21,lyx,1
g21,group_5280,1
g21,mrpA_2~~~mrpA~~~mrpA_1,1
g21,group_5279,1
g21,group_5278,1
g21,rgtA_1~~~rgtA_2,1
g21,hlyB~~~ltxB,1
g21,kdsA_2~~~kdsA_1~~~kdsA,1
g21,treS_2~~~treS_1~~~treS,1
g21,group_5274,1
g21,pdxB,1
g21,eryB_3~~~glpD,1
g21,group_5272,1
g21,dctM_8,1
g21,group_5271,1
g21,group_5270,1
g21,group_5269,1
g21,group_5268,1
g21,ybaL_1~~~ybaL_2~~~ybaL,1
g21,group_5267,1
g21,group_5266,1
g21,osmW~~~osmV~~~btuD_19,1
g21,gsiA_3~~~gsiA_4~~~gsiA_7,1
g21,group_5264,1
g21,hepA~~~btuD_3,1
g21,recJ,1
g21,nanR_1~~~nanR_7,1
g21,kefB~~~kefC_2~~~kefC_1,1
g21,group_5262,1
g21,group_5261,1
g21,prsD_1~~~prsD_3,1
g21,rcsC_3~~~rcsC_9,1
g21,group_5260,1
g21,dnaX_2,1
g21,group_5259,1
g21,rbsC_12~~~rbsC_13,1
g21,ydcV_3~~~ydcV_5,1
g21,group_5258,1
g21,betS_1~~~betS~~~betS_2,1
g21,nfdA_1,1
g21,dcp_2~~~dcp_1~~~dcp,1
g21,rep_1~~~uvrD,1
g21,group_5257,1
g21,recG,1
g21,group_5256,1
g21,group_5255,1
g21,group_5254,1
g21,katG,1
g21,paoC_5~~~paoC_4,1
g21,fhuA_2~~~fhuA_1~~~fhuA_3,1
g21,kefC_2~~~kefC_1,1
g21,paoC_1~~~paoB_4~~~paoB_3~~~paoB_1,1
g21,btuB_1~~~hxuC,1
g21,group_5251,1
g21,parC~~~gyrA_2,1
g21,pdxA_2~~~pdxA~~~pdxA_1,1
g21,virB4_3~~~virB4_2~~~virB4_1,1
g21,ftsI_2~~~ftsI_1,1
g21,glnE,1
g21,gcvT_2~~~gcvT_3,1
g21,group_5248,1
g21,napA_1~~~napA_2~~~napA,1
g21,ligD_6~~~ligD_5~~~ligD_1,1
g21,mnhC1~~~ndhB_1,1
g21,group_5246,1
g21,mshA_3,1
g21,mshA_10~~~mshA_9~~~mshA_2,1
g21,topA~~~rnr,1
g21,rne,1
g21,accA1_1~~~accA1_2~~~liuE,1
g21,polA_1~~~xni~~~polA_2~~~polA,1
g21,group_5244,1
g21,group_5243,1
g21,group_5242,1
g21,mdtC_1~~~bepE,1
g21,carB_2~~~carB_1,1
g21,gdhB~~~gdh_3~~~gdh_4,1
g21,group_5239,1
g21,zntB,1
g21,group_5230,1
g21,group_5229,1
g21,fixP_2~~~fixP_1~~~ccoP_2~~~ccoP~~~ccoP_1,1
g21,group_5224,1
g21,group_5219,1
g21,chrB1~~~glpE,1
g21,group_5212,1
g21,group_5209,1
g21,cysNC_3~~~cysN_1~~~cysNC_1~~~cysNC_2,1
g21,cysD_2~~~cysD_1,1
g21,group_5205,1
g21,ycaD_5~~~ycaD_4,1
g21,group_5203,1
g21,group_5202,1
g21,group_5200,1
g21,group_5199,1
g21,asnO~~~asnB_1,1
g21,group_5197,1
g21,ctaB,1
g21,fdhC_2,1
g21,cysN,1
g21,group_5192,1
g21,group_5191,1
g21,group_5188,1
g21,group_5187,1
g21,yliI_2,1
g21,group_5186,1
g21,siaP_1,1
g21,bmaC,1
g21,group_5185,1
g21,lexA_2~~~lexA_3~~~lexA_1,1
g21,group_5184,1
g21,group_5183,1
g21,pleD_2~~~pleD_1~~~pleD,1
g21,group_5180,1
g21,ychF_2~~~ychF_1~~~ychF,1
g21,group_5178,1
g21,group_5177,1
g21,group_5176,1
g21,group_5175,1
g21,group_5174,1
g21,yidC_1~~~yidC_2~~~yidC,1
g21,group_5171,1
g21,group_5165,1
g21,group_5164,1
g21,kce_2~~~kce_1,1
g21,group_5163,1
g21,pat,1
g21,yhjE_1,1
g21,group_5159,1
g21,nifB~~~moaA_2,1
g21,dinB_1~~~dinB_3~~~dinB_2,1
g21,group_5157,1
g21,aatA,1
g21,sugB_2~~~sugB_5,1
g21,group_5154,1
g21,eamA,1
g21,ycgM~~~nagK_1,1
g21,group_5153,1
g21,group_5148,1
g21,groL2,1
g21,phoD,1
g21,cnbH_2,1
g21,tam_1,1
g21,ftsP,1
g21,atpF_1,1
g21,ycaC_1~~~ycaC_3~~~ycaC_4,1
g21,phnW_2~~~pucG~~~phnW_1,1
g21,fdhD,1
g21,group_5136,1
g21,menH_1~~~menH_2,1
g21,group_5129,1
g21,mcl2,1
g21,yddA,1
g21,group_5127,1
g21,group_5124,1
g21,hcnB~~~hcnB_1,1
g21,abo_5~~~thiO,1
g21,prmA~~~prmC_2,1
g21,nodD2_1~~~nodD2_4,1
g21,group_5122,1
g21,fabG_16~~~fabG_4,1
g21,group_5117,1
g21,isdG,1
g21,group_5114,1
g21,group_5113,1
g21,group_5112,1
g21,group_5111,1
g21,menE_1~~~menE_2,1
g21,group_5109,1
g21,group_5108,1
g21,soxA_2,1
g21,group_5105,1
g21,ecfG_1,1
g21,rlmB_2~~~rlmB_1,1
g21,group_5102,1
g21,napF,1
g21,group_5099,1
g21,rhaR_9~~~rhaR_6~~~rhaR_4,1
g21,rpoD,1
g21,group_5097,1
g21,group_5094,1
g21,mhqA,1
g21,ramA,1
g21,group_5093,1
g21,galE_1~~~galE_2~~~galE_3,1
g21,cdhR_5~~~cdhR_4,1
g21,phaC,1
g21,alaC,1
g21,tufA_1~~~tufA_2,1
g21,group_5090,1
g21,group_5089,1
g21,rarA_1~~~rarA_2~~~rarA,1
g21,ureC1~~~ureC,1
g21,mshA_6~~~pimA,1
g21,bacC_4~~~bacC_1,1
g21,eno,1
g21,ilvA~~~trpB_2,1
