gene,sequence_length
aplK,1470
apnO,825
appA_1,1815
appA_2,1860
apsD_2,1089
apt,543
aptA,810
aptB,969
apxIB,2182
aqdA1,852
aqpZ2,687
araA,927
araB_1,885
araB_1~~~araB_2,1593
araC_1~~~araC_3,1746
araC_2,1725
araC_3,1779
araF,985
araG_1,1527
araG_2,1518
araG_3,1515
araH_2,1005
araH_2~~~araH_1,954
araH_2~~~rbsC_3,993
araQ_1,849
araQ_4,846
arcA_2,726
arcA_3,924
arcB,1005
arcC2,975
arfB,435
arg,925
argB,888
argD_2,2928
argD_3,3057
argF,912
argG,1218
argH_1,1467
argH_2,1404
argO,613
argS,1758
argT,810
arnB,1185
arnC~~~arnC_1,1104
aroA,1371
aroC,1098
aroE_2,900
aroE_3,861
aroH,1456
aroK,579
aroQ_2,447
aroQ_2~~~aroQ_1,516
arsC_1,432
arsC_2,528
arsC_3,480
arsH,756
artI_1,807
artJ_2,783
aruH,1191
aruH_2~~~hisC_3~~~hisC_5~~~dapL,1181
asd2,1035
asnC,462
aspC_2,1158
aspC_3,1167
aspS,1788
atm1,1884
atoC_1~~~atoC_2,1536
atpA,1530
atpB_2~~~atpB,753
atpC,405
atpE,228
atpF_1,486
atpF_2,615
atpG,876
atpH,567
atzA~~~triA,1476
atzC,1194
aviRb,861
azoR,591
azoR1,621
bacC_1~~~bacC_2,784
bacC_3,786
bacC_6,762
baeR,723
bamA_1,2334
bamA_2~~~bamA_1,1914
bamD,867
bamE,546
bauA_1,1338
bauA_1~~~bauA_2,1330
bauC,1497
bcp_1,444
bcp_2,468
bcr_1,1314
bcr_2,1239
bdcA,747
bdhA,777
bdlA,1770
benM,921
bepA_1,1062
bepA_2,759
bepA_3,1512
bepE~~~mdtC_3,3312
bepF_1,1155
bepF_2,1209
bepF_3,1158
bepG,3198
bepR,669
betA,1650
betB_1,2385
betB_2,1515
betB_3,1464
betC_1,1539
betC_2,1470
betI_1,594
betI_2,609
betI_3,627
bfr,486
bglA,1407
bhbA_1~~~bhbA_2,2142
bhbA_2,462
bigR,418
bioF,1413
bioM,681
bioN,606
bioS,651
bioY,564
birA,768
bkdA2,1068
bkdB,1281
blaP,892
blh_1,339
blh_2,891
bluB,696
bpt,816
braC,1173
bshA_2,1182
bshA_2~~~bshA_1,1101
bshB1_1,687
bshB1_2,714
btuC_1~~~yfhA_1~~~yfhA_2,978
btuC_2,1134
btuD_1,1029
btuD_10,984
btuD_10~~~potA_2,777
btuD_12,1062
btuD_12~~~ybhF,1750
btuD_13,1854
btuD_13~~~phnC~~~btuD_16,999
btuD_16~~~btuD_22,1089
btuD_17,795
btuD_17~~~sugC_1,1153
btuD_18,936
btuD_19,1074
btuD_21,792
btuD_21~~~msmX_4,1071
btuD_23~~~rbsA_12,1569
btuD_4,1800
btuD_5,1173
btuD_6~~~btuD_8,1510
btuD_9,1134
budC,786
cah_1,750
caiC,1635
caiD_2,783
caiD_2~~~caiD_1,1071
carA_3,1206
carB_3~~~accA1_1~~~carB_1~~~accA1_2,2088
carD,888
carE,1113
catD,807
catE,891
cbbA,1080
cbbS,390
cbf2,855
cbiG,439
cbl,906
cbpA,1047
cca,1260
cckA,2649
ccmA,624
ccmB,660
ccmC,771
ccmE,453
ccmH,456
ccoP,993
ccpA_3,1008
ccpA_5~~~ccpA_2,960
ccpA_6,1044
cdd,459
cdhR_1,993
cdhR_2,1005
cdhR_3,972
cdhR_3~~~cdhR_6,977
cdhR_4,978
cecR,705
cfa_1,1257
cfa_2,1242
chaA_3,1125
chaC,570
cheA,2280
cheB_2,1056
cheB_4,1068
cheB_5~~~cheB1,1032
cheB_6,1050
cheD,552
cheW_1,465
cheW_3,480
cheY_1,390
cheY_2,366
chpT,663
chvE,1068
cimA,1617
cinA,763
citB,2619
clpA,2517
clpP_1,627
clpP_2,618
clpP_3,588
clpS,354
clpS2,306
clpX,1278
clsA,1464
cmk,639
cmoB_2,942
cmoB_2~~~cmoB_1,1014
cmpD,801
cmpR_1,942
cmpR_2,870
cnbH_1~~~cnbH_2,1309
cntI_1,915
cntI_2,939
coaBC,1224
coaD,492
coaE,585
cobB,1290
cobD,954
cobH,633
cobI,774
cobJ,765
cobL,1257
cobM,759
cobO,645
cobP,528
cobS,996
cobT,1897
cobU,1017
cobV,789
codA_1,1299
codA_1~~~codA_2,1299
cof,753
comC,996
comR_1,624
comR_2,567
copA_1,2268
corA_2,978
coxM,945
coxN,1782
coxS,489
cpdA_1,711
cpdR_2,360
cpnA_1,753
cpnA_2,768
cpoB_1,1263
cpoB_2,1038
cpo_3~~~cpo_2,963
cpo_4~~~cpo_1,828
crcB,387
crp_1,703
crp_2,705
crtK2,534
crt_1,750
crt_2,792
crt_3,780
csd_1,1242
csd_2,1278
cseB,363
cspA_1,210
cspA_3,210
cspA_4,207
cspA_5,210
cspA_6,210
cspA_7,207
cspC,216
cspJ,213
csxA,2475
ctaA,1104
ctaB,951
ctaC_1~~~ctaC_2,985
ctaC_2,885
ctaD,1689
ctaE_1,552
ctaE_2,879
ctaG,597
ctrA,702
cusR,702
cutC,739
cutL,2346
cutM_2,798
cya_3,1551
cycB_1,528
cycB_1~~~cycB_3,384
cydB,1005
cymR,462
cynT,930
cyoB,2010
cyoC_1,633
cyoC_2,723
cysA_2,1038
cysD_1,900
cysD_3,954
cysE,963
cysG_2,1455
cysH,777
cysK1,969
cysK_2,1041
cysL,897
cysNC_1,1902
cysN_2,1497
cysN_2~~~cysN_1,1151
cysQ_1,840
cysQ_1~~~cysQ_2~~~cysQ_3~~~cysQ_4~~~suhB_4~~~suhB_2,922
cysQ_1~~~cysQ_4,820
cysQ_5,777
cysS,1401
cysT,867
cysW_1,867
cysW_2,882
cysZ,753
cytR_2~~~cytR_1,1115
cytR_2~~~cytR_3,1005
cytR_4,1008
cytR_5,1026
czcD,972
dacD,1155
dadA1_2,1254
dadA_3,1131
dadA_3~~~dadA_1,978
dapA_1,891
dapA_1~~~dapA_5,963
dapA_2,891
dapA_3,963
dapA_4,936
dapA_7,885
dapB,820
dapD,858
dapE_1,1194
dapE_2,1392
dapF,906
dasB,885
dasC_10,834
dasC_2,864
dasC_3,831
dasC_4,867
dasC_5,828
dasC_7,897
dasC_8,825
dasC_9,882
dat_1,852
dauA,1125
davD_1,1473
davD_2,1464
davD_4,1455
davD_5,1533
dcd,1098
dcp,2115
dctA,1365
dctB_2,1863
dctD_1~~~dctD_2,1359
dctM_1,1284
dctM_2~~~dctM_3,1317
dctM_4,1278
ddl_1~~~ddlB,927
ddmA1,1281
ddpA_2,1587
ddpA_3,1641
ddpC_2,924
ddpC_5,846
ddpC_5~~~ddpC_6,963
ddpC_8~~~dppC_2,969
deaD,1881
decR_1,468
decR_2,486
decR_2~~~decR_4,489
decR_3,465
def,537
def1,492
degA_2,1035
degA_3,1017
degP,1509
degQ_1,1398
degQ_2,1554
degU_2,660
degU_2~~~degU_1,693
degU_4,648
denD_1,984
denD_2,984
deoA,1317
deoB,1221
deoC_1,1005
deoC_2,747
deoR_1,750
deoR_2,981
deoR_4,987
der,1491
devR_1,690
devR_2,681
dgdA,1368
dgkA,661
dgoA,639
dgoD_1,1149
dgoK1_1,942
dgoK1_2,921
dhaA,873
dhaD,1095
dhaK2,993
dhaL,642
dhaL2,639
dhfrIII,564
dhmA~~~dhmA_1,1047
dht,1455
dinB_1,1138
dinB_2,1293
dinF,1371
dinG_1~~~dinG_2,972
dipZ,1779
divK_1,366
divL~~~rcsC_15,2575
djlA,708
dkgB,828
dksA_1,420
dksA_2,345
dld,1422
dmdC_1,1782
dme,2313
dmlR_1,948
dmlR_11,894
dmlR_12,912
dmlR_13~~~dmlR_2,963
dmlR_14,891
dmlR_2,906
dmlR_3,900
dmlR_3~~~dmlR_9~~~hdfR_1,1311
dmlR_4,900
dmlR_5~~~dmlR_9,897
dmlR_7,945
dmlR_8,921
dnaA_2,1527
dnaE1,3498
dnaG,2016
dnaJ_2,1128
dnaJ_2~~~dnaJ_3,636
dnaJ_3,618
dnaK_1,1290
dnaK_2,1926
dnaN_2,1119
dnaQ,730
dnaX,1032
doeA_1,1182
doeB,1005
doxA_1,318
doxA_2,330
dppA_2,1488
dppA_3~~~dppA_8,1597
dppA_5~~~dppA_3,1594
dppA_7,1590
dppB_1,999
dppB_10,1002
dppB_12,1044
dppB_2,924
dppB_3~~~dppB_7,978
dppB_4,969
dppB_6~~~dppB_1,978
dppB_9,1005
dppC_1,951
dppC_1~~~dppC_3,888
dppC_4,909
dppD_2,855
dprE1,1326
dsbB,519
dsdA,1329
dthD~~~golD_1,765
dut,483
dxr,1176
dxs_1~~~dxs_3,1939
dxs_2,1398
ecfG_1,522
ecfG_1~~~ecfG_2,543
ecfG_3,525
ecfG_4,555
echA8_1,786
echA8_2~~~echA8_4,771
echA8_3,822
echA8_4,774
eda_1,639
eda_2,654
edd,1821
efp,570
egtA,1374
egtC,825
eis,592
eltP,1446
emrA_3,1068
emrA_4,1209
emrB_2,1590
emrB_2~~~mdtD_1,1576
emrE,342
engB,654
eno,1275
entS_2,1656
epi,405
epmA,1054
epsL_1,702
eptA,1743
era,933
erpA,330
eryA,1578
eryB_1,1734
eryB_2~~~eryB_1,1531
eryB_3,1512
eryB_4,1536
eryC,930
eryD_1,1005
eryD_2,978
eryD_4,954
eryH,768
eryI,438
esiB,1143
etfA,930
etfB,750
ettA,1650
exbD_1,426
exbD_2,450
exoK,810
expZ,1521
exsH,1398
exuR_1,1029
fabA,516
fabD,945
fabF_2,1284
fabF_3,1266
fabG2,795
fabG_10,780
fabG_12,756
fabG_13,771
fabG_2,738
fabG_3,759
fabG_4~~~fabG_11,775
fabG_6,768
fabG_7,742
fabG_8,766
fabG_9,738
fabH,972
fabI_2,819
fabI_3,807
fabZ,466
fadA_2~~~fadA,1209
fadD,1890
fadD_2~~~lcfB_1,1548
fadJ_1~~~fadB~~~fadJ_2,1329
fadJ_2,2211
fadR~~~lldR,861
farB,1611
fbaA,1044
fbcH_1,1281
fbcH_1~~~fbcH_2,872
fbp,1050
fdhC,945
fdxA,339
fdxB,318
fdxE,321
fecE_1~~~fecE_2,807
fepC_1,780
fepC_2,807
ffh,1545
fgd1,972
fghA_1,831
fghA_2,834
fhs,1704
fieF,921
fitB_3,426
fixJ,615
fixK_1,636
fixK_4,753
fixK_4~~~fixK_3,738
fixK_4~~~fixK_3~~~fixK_2,636
fixL_1,1518
fixP_1,882
fixX,297
flbT,450
flgC,420
flgE,1209
flgF,726
flgG,789
flgH,711
flgI,1116
flhA_1,1129
flhA_2,1129
flhA_3,2088
flhB,1083
fliC,1077
fliE,336
fliG,1038
fliP,738
fliY_1,852
fliY_2,837
fliY_4,828
fmt_1,1086
fmt_2,936
fni_2,1329
fnr,681
folB,372
folD_1,894
folD_3,900
folE,618
folP,870
fpgS,1344
fpr,813
frcA_1~~~frcA_6,861
frcA_3,741
frcA_4,732
frcA_5,738
frcA_6,768
frcA_9,783
frcC_2,1083
frlB_2,1014
frlD_2,813
frmR,243
frr,561
fruK,1518
fsr,1197
ftcR,672
ftsA,1329
ftsE,624
ftsI_2,1749
ftsI_2~~~ftsI_1,1734
ftsQ,930
ftsW,1155
ftsZ_1,1038
ftsZ_2,1773
fucK_1,1449
fucK_2,1386
fucU_1,456
fucU_2,429
fur,429
fusA_1,1962
fusA_2,2100
futA1,1041
fzlA,669
gabD_1,1476
galE_1,987
galE_4,987
galM,1017
gamR,735
gap,1011
garR_1,888
garR_2,870
gatA_1,1425
gatA_3,1482
gatB,1503
gbpR_1,981
gbpR_2,951
gbuB~~~opuAB,847
gbuC,957
gci_1,1170
gci_2,1170
gci_4,1200
gcl,1785
gcvA_1,909
gcvA_10,1017
gcvA_3,879
gcvA_4,888
gcvA_5,891
gcvA_5~~~gcvA_2,903
gcvA_6,909
gcvA_7,936
gcvA_8,984
gcvA_9,894
gcvH,363
gcvP,2866
gcvT_1,1140
gcvT_3~~~gcvT_2,2421
gdh_1,4788
gdh_4,771
gdh_5,795
gdh_5~~~gdh_2,789
gdh_6,774
gdx,315
gfa,570
ggt_2,1779
ghrA_2,960
glaR,745
glaR~~~mcbR_1,691
glgA1_1,1461
glgA1_1~~~glgA1_2,1443
glgB_1~~~glgB_2,2004
glgC,1261
glgM~~~mshA_8,1203
glgX_1,2097
glgX_2,1965
glk,1020
glmM,1356
glmS_2,1023
glmU_2,1371
glnA_1~~~glnA_2,1575
glnB_1,339
glnB_2,339
glnD,2886
glnE,2958
glnG,1365
glnH_1,831
glnH_6,798
glnL,1143
glnM~~~tcyB_2,663
glnP,663
glnQ_1,648
glnQ_11,777
glnQ_13,756
glnQ_2,723
glnQ_3,786
glnQ_4,771
glnQ_9,759
gloA,441
gloB_1,909
gloB_2,771
gloC,643
glpK,1494
glpR,765
glsA,948
gltB,4725
gltC,921
gltD_1,1458
gltD_1~~~gltD_2,1362
gltR,858
gltR_1~~~hdfR_4,883
gltX_1,1527
gltX_2,894
glxR_1,885
glxR_2,696
glxR_4,882
glyA2_2,1296
glyQ,963
glyS,2166
gmk,660
gnl,912
gno_1,765
gno_3,768
gno_3~~~gno_2,750
gno_4,756
gno_5~~~gno_4,756
gntK,538
gntR_1,756
gntR_1~~~gntR,1005
gph_1~~~gph_4,711
gph_2,684
gph_3,666
gph_4~~~gph_1,783
gpm2,570
gpmA_1,585
gpmA_2,636
gppA_1,1524
gppA_1~~~gppA_2~~~ppx,1306
gpr,1029
gpsA,1062
gpt,498
greA,477
greB,483
groL1_3,1638
groL2,1629
groL5_1,1635
groL5_2,1629
groS1_1,318
groS5,315
groS~~~groS1_2,372
group_0,5610
group_10,3168
group_1001,930
group_1003,930
group_1006,927
group_1007,927
group_1008,927
group_1009,927
group_1014,924
group_1016,924
group_102,1956
group_1020,921
group_1021,921
group_1022,921
group_1024,921
group_1025,918
group_1026,918
group_103,1953
group_1031,915
group_1032,915
group_1033,915
group_1034,915
group_1035,915
group_1040,912
group_1044,909
group_1045,909
group_1049,906
group_105,1947
group_1050,906
group_1051,906
group_1052,906
group_1058,903
group_1060,903
group_1061,903
group_1062,903
group_1065,900
group_1066,900
group_1067,900
group_1070,897
group_1076,891
group_1077,891
group_108,1938
group_1080,888
group_1081,888
group_1082,888
group_1083,888
group_1086,885
group_1087,885
group_1088,885
group_1092,882
group_1093,882
group_1094,882
group_11,3162
group_1101,879
group_1102,879
group_1103,879
group_1107,876
group_1108,876
group_111,1917
group_1113,876
group_1120,873
group_1121,873
group_1123,873
group_1124,873
group_1127,870
group_1129,870
group_1132,867
group_1133,867
group_1137,864
group_114,1896
group_1142,858
group_1143,858
group_1144,858
group_115,1896
group_1150,855
group_1152,855
group_1153,855
group_1156,852
group_1157,852
group_1159,852
group_1163,849
group_1164,849
group_1167,849
group_1168,849
group_1172,846
group_1173,846
group_1174,846
group_1175,846
group_1180,843
group_1182,843
group_1186,840
group_1189,840
group_1190,840
group_1197,834
group_1198,834
group_1199,834
group_120,1881
group_1200,834
group_1201,834
group_1206,831
group_1207,831
group_1214,828
group_1215,828
group_1216,828
group_1218,825
group_1219,825
group_122,1878
group_1221,825
group_1227,822
group_1228,822
group_1229,822
group_1237,819
group_1238,819
group_1239,819
group_124,1857
group_1243,816
group_1244,816
group_1245,816
group_1252,813
group_1253,813
group_1254,813
group_1255,813
group_1262,810
group_1263,810
group_1265,810
group_1266,810
group_1267,810
group_1274,807
group_1275,807
group_1280,804
group_1281,804
group_1282,804
group_1289,801
group_129,1827
group_1290,801
group_1292,801
group_130,1827
group_1302,795
group_1303,795
group_1306,795
group_1308,795
group_1309,795
group_1310,795
group_1312,792
group_1313,792
group_1315,792
group_1316,792
group_1317,792
group_1318,792
group_1325,789
group_1326,789
group_1327,789
group_1332,786
group_1333,786
group_1335,786
group_134,1812
group_1342,783
group_1343,783
group_1345,783
group_1348,780
group_1352,780
group_1358,777
group_1359,777
group_1362,777
group_1368,774
group_1370,774
group_1373,771
group_1374,771
group_1376,771
group_1377,771
group_1379,768
group_1380,768
group_1381,768
group_1382,768
group_1388,765
group_139,1803
group_1393,762
group_1395,762
group_1396,762
group_1397,762
group_1398,762
group_1400,759
group_1401,759
group_1408,756
group_141,1785
group_1410,756
group_1411,756
group_1415,753
group_1417,753
group_1419,753
group_1423,750
group_1424,750
group_1426,750
group_1428,750
group_1437,747
group_1438,747
group_1439,747
group_1440,747
group_1447,744
group_1448,744
group_1450,744
group_1456,741
group_1457,741
group_1459,738
group_1460,738
group_1461,735
group_1465,732
group_1466,732
group_1473,729
group_1476,726
group_1477,726
group_1478,726
group_1479,726
group_1480,726
group_1482,726
group_1483,726
group_1486,723
group_149,1740
group_1496,720
group_150,1737
group_1508,717
group_1509,717
group_1517,714
group_1519,714
group_152,1734
group_1520,714
group_1522,714
group_1525,711
group_153,1731
group_1531,708
group_1532,708
group_1539,705
group_154,1725
group_1540,705
group_1541,705
group_1544,702
group_155,1725
group_1550,699
group_1551,699
group_1552,699
group_1553,699
group_1559,696
group_1562,693
group_1564,693
group_1565,693
group_1569,690
group_157,1719
group_1570,690
group_1571,690
group_1572,690
group_1576,687
group_1579,687
group_158,1719
group_1580,687
group_1586,684
group_1591,681
group_1592,681
group_1595,681
group_1597,681
group_1600,678
group_1601,678
group_1602,678
group_1603,678
group_1617,675
group_1625,672
group_1626,672
group_1629,669
group_1630,669
group_1632,669
group_1634,669
group_1640,666
group_1641,666
group_1645,663
group_1646,663
group_1648,663
group_1649,663
group_1650,663
group_1651,663
group_1659,660
group_1660,660
group_1661,660
group_1662,660
group_1666,660
group_1667,660
group_1668,660
group_1669,660
group_167,1695
group_1671,660
group_1674,657
group_1676,657
group_1677,657
group_1681,654
group_1692,651
group_1696,648
group_1697,648
group_1699,648
group_1700,648
group_1701,648
group_1705,645
group_1706,645
group_1707,645
group_1708,645
group_1709,645
group_1716,642
group_1717,642
group_1718,642
group_1719,642
group_172,1680
group_1726,639
group_1727,639
group_1728,639
group_1729,639
group_173,1680
group_1737,636
group_1738,636
group_1739,636
group_174,1674
group_1740,636
group_1749,633
group_1753,630
group_1755,630
group_1756,630
group_1757,630
group_1758,630
group_1765,627
group_1771,624
group_1779,621
group_1782,621
group_1783,621
group_1784,621
group_179,1659
group_1792,618
group_1793,618
group_1796,618
group_1797,618
group_180,1644
group_1803,615
group_1804,615
group_1805,615
group_1806,615
group_1807,615
group_1814,612
group_1816,612
group_1817,612
group_1825,609
group_1826,609
group_1827,609
group_1828,609
group_1834,606
group_1835,606
group_1836,606
group_1838,606
group_1839,606
group_184,1638
group_1840,606
group_1841,606
group_1842,606
group_1843,606
group_1847,603
group_1848,603
group_1849,603
group_1850,603
group_1851,603
group_1862,600
group_1871,597
group_1872,597
group_1874,597
group_1875,597
group_1884,594
group_1890,591
group_1893,591
group_1894,591
group_1895,591
group_1896,591
group_1905,588
group_1906,588
group_1907,588
group_1909,588
group_1910,588
group_1911,588
group_1912,588
group_1917,585
group_1919,585
group_1927,582
group_1928,582
group_1929,582
group_1930,582
group_1931,582
group_1933,579
group_1934,579
group_1936,579
group_1937,579
group_1938,579
group_1940,579
group_1941,579
group_1942,579
group_1947,576
group_1948,576
group_195,1614
group_1950,576
group_1951,576
group_1956,573
group_1957,573
group_1958,573
group_196,1614
group_1970,570
group_1974,570
group_1975,570
group_1982,567
group_1983,567
group_1985,567
group_1988,567
group_1992,564
group_1995,564
group_1996,564
group_1997,564
group_1998,564
group_20,2880
group_2003,561
group_2005,561
group_2007,561
group_2008,561
group_2009,561
group_2016,558
group_2018,558
group_2019,558
group_2020,558
group_2021,558
group_2022,558
group_2031,555
group_2034,552
group_2037,552
group_2038,552
group_2039,552
group_204,1599
group_2040,552
group_2041,552
group_2048,549
group_2049,549
group_205,1596
group_2050,549
group_2052,549
group_2053,549
group_2054,549
group_2062,546
group_2063,546
group_2073,543
group_2074,543
group_2075,543
group_2079,540
group_2080,540
group_2081,540
group_2082,540
group_2083,540
group_2084,540
group_2085,540
group_2086,540
group_2093,537
group_2094,537
group_21,2856
group_2102,534
group_2103,534
group_2104,534
group_2111,531
group_2113,531
group_2115,531
group_2116,531
group_2122,528
group_213,1575
group_2141,519
group_2142,519
group_2144,519
group_2149,516
group_2150,516
group_2155,513
group_2156,513
group_2157,513
group_2158,513
group_2164,510
group_2165,510
group_2166,510
group_2170,510
group_2171,510
group_2172,510
group_2173,510
group_2174,510
group_2179,507
group_2180,507
group_2182,507
group_2183,507
group_2184,507
group_2191,504
group_2192,504
group_2193,504
group_2194,504
group_2195,504
group_2197,504
group_2198,504
group_2199,504
group_2200,504
group_2203,501
group_2204,501
group_2205,501
group_2206,501
group_2210,501
group_2211,501
group_2212,501
group_2213,501
group_2218,498
group_2219,498
group_222,1557
group_2221,498
group_2222,498
group_2228,495
group_223,1557
group_2232,495
group_2235,492
group_2237,492
group_2238,492
group_2239,492
group_2240,492
group_2243,489
group_2250,486
group_2251,486
group_2253,486
group_2254,486
group_2255,486
group_2262,483
group_2263,483
group_2265,483
group_2267,483
group_2268,483
group_2269,483
group_2271,483
group_2275,480
group_2277,480
group_2278,480
group_2279,480
group_228,1548
group_2280,480
group_2281,480
group_2287,477
group_2289,477
group_229,1545
group_2292,477
group_2295,474
group_2297,474
group_2298,474
group_2299,474
group_2300,474
group_2301,474
group_2302,474
group_2303,474
group_2308,471
group_2311,471
group_2312,471
group_2313,471
group_232,1542
group_2325,468
group_2326,468
group_2327,468
group_2328,468
group_2329,468
group_2330,468
group_2335,465
group_2337,465
group_2338,465
group_2339,465
group_234,1539
group_2340,465
group_235,1536
group_2351,462
group_2353,462
group_2354,462
group_2356,462
group_2357,462
group_2358,462
group_2371,459
group_2372,459
group_2373,459
group_2374,459
group_238,1533
group_2382,456
group_2383,456
group_2384,456
group_2385,456
group_2386,456
group_2387,456
group_2397,453
group_2398,453
group_2411,450
group_2412,450
group_2413,450
group_2414,450
group_2416,450
group_2424,447
group_2425,447
group_2426,447
group_2427,447
group_2428,447
group_2431,447
group_2432,447
group_2433,447
group_2434,447
group_2439,444
group_2440,444
group_2441,444
group_2442,444
group_2445,444
group_2446,444
group_2447,444
group_2448,444
group_2449,444
group_2453,441
group_2454,441
group_2455,441
group_2456,441
group_246,1518
group_2465,438
group_2469,438
group_2470,438
group_2479,435
group_2482,435
group_2483,435
group_2485,435
group_2486,435
group_2488,435
group_249,1515
group_250,1515
group_2503,432
group_2504,432
group_2505,432
group_2506,432
group_2507,432
group_251,1515
group_2513,432
group_2514,432
group_2515,432
group_252,1512
group_2527,429
group_2528,429
group_2531,429
group_2532,429
group_2542,426
group_2544,426
group_2545,426
group_2546,426
group_2547,426
group_2548,426
group_2549,426
group_255,1506
group_2562,423
group_2563,423
group_2565,423
group_2574,420
group_2575,420
group_2576,420
group_2577,420
group_2578,420
group_258,1500
group_2580,420
group_2581,420
group_2582,420
group_2584,420
group_2589,417
group_2591,417
group_2592,417
group_2593,417
group_2594,417
group_2599,414
group_26,2514
group_260,1497
group_2600,414
group_2601,414
group_2605,414
group_2607,414
group_2608,414
group_2609,414
group_261,1497
group_262,1491
group_2622,411
group_2623,411
group_2624,411
group_2625,411
group_2626,411
group_2627,411
group_2628,411
group_2629,411
group_2630,411
group_2635,408
group_2636,408
group_2637,408
group_2638,408
group_2639,408
group_264,1485
group_2640,408
group_2641,408
group_2653,405
group_2654,405
group_2655,405
group_2659,405
group_2660,405
group_2661,405
group_2662,405
group_2668,402
group_267,1485
group_2670,402
group_2671,402
group_2673,402
group_2674,402
group_2685,399
group_2687,399
group_2688,399
group_2689,399
group_269,1482
group_2694,396
group_2696,396
group_2698,396
group_2700,396
group_2709,393
group_271,1479
group_2713,393
group_2714,393
group_2723,390
group_2724,390
group_2725,390
group_2727,390
group_2728,390
group_2729,390
group_2734,390
group_2742,387
group_2743,387
group_2744,387
group_2745,387
group_2747,387
group_2748,387
group_2749,387
group_2750,387
group_2751,387
group_2752,387
group_2753,387
group_2755,387
group_2761,384
group_2763,384
group_2764,384
group_2765,384
group_2766,384
group_2767,384
group_277,1455
group_2776,381
group_2777,381
group_2779,381
group_278,1455
group_2780,381
group_2781,381
group_2786,381
group_2787,381
group_2788,381
group_2800,378
group_2803,378
group_2804,378
group_2805,378
group_2810,375
group_2811,375
group_2812,375
group_2813,375
group_2814,375
group_2816,375
group_2817,375
group_2818,375
group_2832,372
group_284,1446
group_2843,369
group_2844,369
group_2846,369
group_2847,369
group_2848,369
group_2849,369
group_286,1446
group_2862,366
group_2865,366
group_2866,366
group_287,1443
group_2874,363
group_2879,363
group_288,1440
group_2880,363
group_2881,363
group_2889,360
group_289,1440
group_2890,360
group_2891,360
group_2892,360
group_2893,360
group_2894,360
group_2895,360
group_2899,360
group_290,1440
group_2900,360
group_2909,357
group_2912,357
group_2913,357
group_2930,354
group_2931,354
group_2933,354
group_2935,354
group_2939,354
group_294,1437
group_2940,354
group_2941,354
group_2942,354
group_2950,351
group_296,1434
group_2964,348
group_2965,348
group_2967,348
group_297,1434
group_2974,345
group_2977,345
group_2978,345
group_298,1434
group_2980,345
group_2991,345
group_2992,342
group_2993,342
group_2994,342
group_2997,342
group_2999,342
group_3,3792
group_3000,342
group_3008,339
group_3009,339
group_3010,339
group_3012,339
group_3015,339
group_302,1425
group_3022,336
group_3023,336
group_3026,336
group_3027,336
group_3028,336
group_303,1422
group_3030,336
group_3034,333
group_3035,333
group_3038,333
group_3039,333
group_304,1422
group_3042,333
group_3053,330
group_3054,330
group_3059,330
group_306,1419
group_3060,330
group_3069,327
group_3071,327
group_3072,327
group_3074,327
group_3082,324
group_3083,324
group_3086,324
group_309,1416
group_3091,324
group_310,1416
group_3107,321
group_3108,321
group_3109,321
group_311,1416
group_3110,321
group_3111,321
group_3112,321
group_3129,318
group_3135,318
group_3136,318
group_3137,318
