gene,Hs,Ht,Gst_est,Gprime_st,D_het,D_mean,n_snps,sequence_length,tops
pgrR_13,0.2558139534883721,0.41957364341085274,0.3903002309468822,0.7544642857142858,0.4401041666666667,0.37553131198639855,3,891,1
waaA,0.2558139534883721,0.41957364341085274,0.3903002309468822,0.7544642857142858,0.4401041666666667,0.37553131198639855,3,1320,1
cntI_1,0.2437209302325581,0.39936046511627904,0.3897219391468919,0.7416087674390258,0.4115928659286593,0.1141717018827954,25,915,1
rgtA_1,0.2474160206718346,0.4014857881136951,0.3837489943684635,0.7369957081545065,0.409442060085837,0.24686257271006423,12,1639,1
rgtA_2,0.2474160206718346,0.4014857881136951,0.3837489943684635,0.7369957081545065,0.409442060085837,0.24686257271006423,12,1639,1
nirQ,0.18217054263565888,0.3202519379844961,0.4311649016641453,0.7367514002585094,0.3376777251184834,0.02697998259355941,2,819,1
sugA_6,0.18217054263565888,0.3202519379844961,0.4311649016641453,0.7367514002585094,0.3376777251184834,0.02697998259355941,2,921,1
tdh_3,0.18217054263565888,0.3202519379844961,0.4311649016641453,0.7367514002585094,0.3376777251184834,0.02697998259355941,2,1126,1
adhD,0.18217054263565888,0.3202519379844961,0.4311649016641453,0.7367514002585094,0.3376777251184834,0.02697998259355941,2,1126,1
thiD,0.2536997885835095,0.4052589852008457,0.3739810890120639,0.7294328496271031,0.4061614730878188,0.20795630202071008,22,801,1
hdfR_9,0.2616279069767442,0.4120639534883721,0.36507936507936506,0.7244094488188976,0.4074803149606299,0.3554974348657078,4,891,1
frcA_3,0.33563020384725806,0.4903459661211598,0.31552367708409573,0.7220269381712314,0.4657519446845288,0.3364161094762595,27,741,1
yecD,0.22480620155038755,0.3676114341085271,0.3884678747940693,0.7218367346938775,0.3684375,0.10885214921323096,8,669,1
adeP_2,0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,0.47560975609756095,4,1401,1
frcA_5,0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,0.47560975609756095,1,738,1
kdgR_2,0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,0.47560975609756095,1,759,1
nreC,0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,0.47560975609756095,1,720,1
ohrB_1,0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,0.47560975609756095,1,417,1
pgrR_5,0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,0.47560975609756095,2,903,1
queD,0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,0.47560975609756095,6,357,1
rbsC_14,0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,0.47560975609756095,1,996,1
rbsC_16,0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,0.47560975609756095,1,996,1
syrM1_2,0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,0.47560975609756095,4,933,1
ubiB,0.36434108527131776,0.5155038759689922,0.29323308270676696,0.7134146341463415,0.47560975609756095,0.47560975609756095,1,1575,1
ulaR_1,0.2721791559000861,0.4184969853574505,0.34962696166709545,0.7118634203123484,0.4020710059171597,0.08523686543576256,9,912,1
glpR_1,0.2721791559000861,0.4184969853574505,0.34962696166709545,0.7118634203123484,0.4020710059171597,0.08523686543576256,9,912,1
queE,0.2651978784169726,0.4089147286821705,0.35145921676228487,0.7078342719653103,0.39117157134925035,0.12908224260719847,19,738,1
tauB,0.23089700996677737,0.3684246954595791,0.37328574112342666,0.7068479227544149,0.3576313894888408,0.07621483765827441,14,813,1
gcvA_7,0.2651162790697674,0.40755813953488373,0.34950071326676185,0.7048331415420024,0.38765822784810133,0.34447130380536506,5,936,1
queC,0.29844961240310075,0.4443636950904392,0.3283663456296565,0.7047123821904452,0.4159760589318599,0.18432796550573063,12,711,1
tag,0.21447028423772607,0.34334625322997414,0.3753527751646285,0.6948529411764707,0.328125,0.03876360126360098,3,636,1
traC_1,0.23449612403100772,0.3672480620155038,0.3614775725593667,0.6936708860759493,0.3468354430379746,NA,4,961,1
traC,0.23449612403100772,0.3672480620155038,0.3614775725593667,0.6936708860759493,0.3468354430379746,NA,4,961,1
gtaB_1,0.24186046511627904,0.3737080103359174,0.35280898876404504,0.6879929886064856,0.3478186775732789,0.14801550834432156,15,906,1
expZ,0.25387596899224807,0.3873546511627908,0.344590368980613,0.6869610389610391,0.357792207792208,0.23799801025484088,4,1521,1
ampC,0.297157622739018,0.4346899224806201,0.3163917372566504,0.6839306110793834,0.39136029411764706,0.13760344207515487,45,1161,1
pepT_1,0.2766118358858007,0.4086311211949329,0.3230769230769232,0.6751176163094617,0.3650026136957659,NA,41,1245,1
pepT_3,0.2766118358858007,0.4086311211949329,0.3230769230769232,0.6751176163094617,0.3650026136957659,NA,41,1245,1
hdfR_3,0.35985312117503054,0.4957160342717257,0.274074074074074,0.6720841300191204,0.42447418738049697,0.1246635262449525,19,843,1
hdfR_2,0.35985312117503054,0.4957160342717257,0.274074074074074,0.6720841300191204,0.42447418738049697,0.1246635262449525,19,843,1
exsH,0.28329809725158556,0.4147551092318534,0.31695091646666534,0.6716049079654202,0.36683874139626355,0.12834584851410444,55,1398,1
cmpR_2,0.3402692778457772,0.47276621787025697,0.28025889967637535,0.6636282971686697,0.4016697588126158,NA,19,870,1
rbsC_12,0.34883720930232553,0.48154226056514127,0.2755833955405538,0.663566739606127,0.40759408602150543,NA,31,999,1
melD_1,0.28854435831180014,0.4174203273040482,0.30874387412948157,0.6631715024418271,0.3622881355932203,0.180057389131146,9,1020,1
rsmD,0.3217054263565891,0.4525193798449612,0.2890792291220557,0.6612244897959184,0.3857142857142857,0.37273641851106654,2,615,1
phnY,0.30426356589147285,0.4333817829457364,0.29793180547792053,0.6598576292169606,0.3711699164345402,NA,20,1458,1
codA_1,0.33444075304540416,0.4648394241417496,0.28052412150089334,0.6583028286189682,0.3918469217970047,0.08208057726999343,7,1299,1
codA_2,0.33444075304540416,0.4648394241417496,0.28052412150089334,0.6583028286189682,0.3918469217970047,0.08208057726999343,7,1299,1
virB4_2,0.34519854453409266,0.47532036070242045,0.27375603261774006,0.6564441826310973,0.39743899492631063,NA,49,2454,1
mak,0.2351421188630491,0.35368217054263573,0.33515981735159833,0.6563990461049287,0.30996621621621645,0.15707851366567757,3,897,1
fruK,0.31879844961240306,0.4471596414728682,0.28705898286720394,0.6548277260351564,0.37686699857752487,NA,32,1518,1
rbsA_9,0.3875968992248061,0.5167151162790697,0.2498827941865918,0.6529195590036752,0.4216772151898736,0.3768115942028984,4,1455,1
rcsC_14,0.3292958656330749,0.4554465439276485,0.2769824032622667,0.6467944409903287,0.37617385022875016,0.20839729542871208,48,2541,1
rcsC_13,0.3292958656330749,0.4554465439276485,0.2769824032622667,0.6467944409903287,0.37617385022875016,0.20839729542871208,48,2541,1
yihS,0.2015503875968992,0.3091085271317829,0.34796238244514105,0.6466019417475727,0.2694174757281552,0.02685899030091996,2,1197,1
glnH_1,0.3461538461538461,0.4727564102564102,0.2677966101694916,0.6461151305441963,0.3872549019607842,0.1313891459823304,26,831,1
xlnD,0.30749354005167956,0.43152454780361754,0.2874251497005988,0.6447761194029851,0.35820895522388063,0.3476696903346889,3,1170,1
leuS,0.2527131782945736,0.3680232558139536,0.31332280147446046,0.6385033624266707,0.3086099585062243,0.19512160843569473,5,2703,1
xsc,0.2956810631229235,0.41569767441860456,0.2887112887112887,0.6361635220125785,0.3408018867924527,0.06842499965188709,7,1776,1
ilvE_1,0.2961240310077519,0.41472868217054265,0.285981308411215,0.6318832599118944,0.33700440528634373,0.3299198575244881,5,952,1
ilvE_2,0.2961240310077519,0.41472868217054265,0.285981308411215,0.6318832599118944,0.33700440528634373,0.3299198575244881,5,952,1
ant1,0.17312661498708007,0.26711886304909555,0.3518742442563482,0.6295673076923076,0.22734374999999993,0.0204365660709052,3,783,1
tauR,0.3504983388704318,0.47138012181616823,0.25644225827765954,0.6284877070775875,0.3722293265132139,NA,28,1476,1
ros_3,0.2842377260981912,0.3990633074935401,0.28773775799271556,0.6243535954727292,0.32084837545126366,0.3164678277537263,12,447,1
ros_2,0.2842377260981912,0.3990633074935401,0.28773775799271556,0.6243535954727292,0.32084837545126366,0.3164678277537263,12,447,1
mdtL,0.28423772609819115,0.39906330749354,0.2877377579927155,0.624353595472729,0.3208483754512635,0.05988070165461939,6,1278,1
siaP_3,0.30637007077856415,0.42311257162116617,0.2759135716419398,0.6235251531101417,0.3366132167152577,NA,23,978,1
nuoL_1,0.2267441860465116,0.3321220930232558,0.3172866520787746,0.6229860365198711,0.27255639097744355,0.09177960725243664,4,1464,1
lasI_1,0.36124031007751933,0.48062015503875966,0.2483870967741936,0.6229773462783171,0.3737864077669903,NA,15,621,1
aruH_2,0.2131782945736434,0.31492248062015504,0.3230769230769231,0.6206896551724138,0.25862068965517243,0.0413134531754141,4,1181,1
hisC_3,0.2131782945736434,0.31492248062015504,0.3230769230769231,0.6206896551724138,0.25862068965517243,0.0413134531754141,4,1181,1
hisC_5,0.2131782945736434,0.31492248062015504,0.3230769230769231,0.6206896551724138,0.25862068965517243,0.0413134531754141,4,1181,1
dapL,0.2131782945736434,0.31492248062015504,0.3230769230769231,0.6206896551724138,0.25862068965517243,0.0413134531754141,4,1181,1
traR,0.34883720930232553,0.4660852713178294,0.2515592515592516,0.6173469387755102,0.36011904761904756,0.28226616338262306,7,825,1
ilvG,0.21550387596899223,0.31608527131782943,0.31820968730839977,0.6154150197628458,0.25642292490118573,0.03261110290860746,5,1648,1
lsrC,0.3255813953488372,0.4405684754521963,0.2609970674486804,0.6137931034482758,0.3409961685823754,0.23035618399856855,3,1020,1
IMPDH_3,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,672,0
PSK,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,3,1284,0
aatB_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1233,0
abgB_3,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,1446,0
abo_4,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,2449,0
abo_5,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,2449,0
accD,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,915,0
acnA,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,2691,0
acoB,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,3,978,0
acsA_1,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,4,1953,0
acsA_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,4,1908,0
acsA_4,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,1644,0
acsE,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,960,0
adhC2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1044,0
adh_1,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1023,0
adh_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1509,0
adk,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,579,0
alaC,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1218,0
ald2_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,669,0
alkJ_1,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,7,1684,0
alkJ_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,7,1684,0
alkJ_7,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,7,1684,0
ampR,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,885,0
amtB,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1356,0
apbC,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,1155,0
apc3_3,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,9,2022,0
apxIB,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,48,2182,0
araA,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,927,0
araG_3,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1515,0
araQ_4,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,3,846,0
arfB,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,435,0
argD_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,2928,0
argG,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1218,0
argH_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,8,1404,0
aroA,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1371,0
aroH,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1456,0
aroK,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,579,0
aruH,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1191,0
atoC_1,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1536,0
atoC_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1536,0
atpB_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,753,0
atpB,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,753,0
atpF_1,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,486,0
aviRb,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,861,0
bauA_1,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,3,1338,0
bcr_1,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,1314,0
bcr_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1239,0
bdlA,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1770,0
bepF_3,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,1158,0
betB_3,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1464,0
betI_3,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,627,0
bioM,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,681,0
birA,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,768,0
blaP,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,892,0
bshB1_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,714,0
btuC_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,1134,0
btuD_12,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,3,1062,0
btuD_17,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,795,0
btuD_18,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,936,0
budC,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,786,0
catE,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,891,0
cbl,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,906,0
cca,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,1260,0
ccmC,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,3,771,0
ccpA_6,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1044,0
cfa_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,3,1242,0
chaC,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,570,0
cheB_6,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1050,0
cheD,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,552,0
cheY_1,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,390,0
clpA,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,2517,0
clpP_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,4,618,0
clpS,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,354,0
cnbH_1,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1309,0
cnbH_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1309,0
cntI_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,939,0
cobI,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,774,0
cobT,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,1897,0
cobV,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,789,0
corA_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,978,0
cpnA_1,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,753,0
cpoB_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1038,0
csd_1,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1242,0
csd_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1278,0
cysH,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,777,0
cytR_5,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1026,0
dapE_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,1392,0
dasC_8,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,825,0
davD_5,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1533,0
dcp,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,2115,0
ddpA_3,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,3,1641,0
ddpC_5,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,963,0
ddpC_6,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,963,0
deaD,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,4,1881,0
decR_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,489,0
decR_4,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,489,0
degP,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,5,1509,0
degQ_1,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,1398,0
deoC_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,747,0
dhaD,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,1095,0
dhfrIII,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,564,0
dinF,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1371,0
dkgB,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,828,0
dmdC_1,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,1782,0
dmlR_13,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,963,0
dmlR_2,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,963,0
dmlR_14,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,2,891,0
dmlR_5,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,897,0
dmlR_9,0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,0.3064516129032259,1,897,0
