gradient,population,site,year,yday,dayl_s,prcp_mm_day,srad_w_m_2,swe_kg_m_2,tmax_deg_c,tmin_deg_c,vp_pa,ydate,ymonth,latitude_dec,longitude_dec,elevation_m
elevation,high elevation,H1,2022,39,37322.11,0,384.36,37.46,7.91,-6.62,372.3,2022-02-08T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,40,37445.13,0,401.27,36.64,12.98,-4.04,452.82,2022-02-09T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,41,37569.49,0,395.03,35.29,13.44,-2.78,497.61,2022-02-10T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,42,37695.14,0,415.41,33.54,17.61,-1.82,534.27,2022-02-11T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,43,37822.04,0,376.88,31.42,13.12,-0.95,569.68,2022-02-12T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,44,37950.13,0.95,242.67,29.8,5.01,-2.14,521.87,2022-02-13T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,45,38079.39,0,247.68,29.8,0.63,-6.56,373.94,2022-02-14T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,46,38209.77,0,419.67,29.8,7.9,-9.13,306.18,2022-02-15T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,47,38341.23,0,429.18,29.8,11.17,-7.38,351.11,2022-02-16T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,48,38473.72,8.93,299.32,27.04,16.67,0.57,636.27,2022-02-17T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,49,38607.2,0,265.95,23.69,10.32,1.97,703.69,2022-02-18T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,50,38741.65,0,366.18,23.69,6.2,-6.34,380.22,2022-02-19T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,51,38877.01,0,429.56,23.69,9.53,-8.2,329.26,2022-02-20T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,52,39013.25,0.94,463.22,24.64,17.52,-6.69,370.26,2022-02-21T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,53,39150.34,8.56,294.74,21.94,15.33,0.42,629.7,2022-02-22T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,54,39288.23,4.02,234.79,15.64,19.97,9.01,1148.17,2022-02-23T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,55,39426.89,23.41,102.25,11.12,8.72,4.76,857.47,2022-02-24T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,56,39566.29,2.1,284.26,8.64,13.32,-0.1,606.21,2022-02-25T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,57,39706.39,0,225.53,6.47,5.77,-0.83,574.73,2022-02-26T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,58,39847.16,0,351.84,4.08,11.05,-0.32,596.81,2022-02-27T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,59,39988.56,0,395.86,1.96,12.98,-0.95,569.79,2022-02-28T00:00:00Z,2,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,60,40130.57,0,451.24,0.18,16.84,-1.76,536.72,2022-03-01T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,61,40273.14,0,403.25,0,19.37,0.95,654.4,2022-03-02T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,62,40416.26,0,385.95,0,19.87,3.16,766.03,2022-03-03T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,63,40559.88,0,328.4,0,12.19,0.23,621.02,2022-03-04T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,64,40703.98,0,426.96,0,21.5,0.57,636.35,2022-03-05T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,65,40848.53,0,390.89,0,22.54,5.51,903.36,2022-03-06T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,66,40993.5,6.67,249.03,0,22.36,9.21,1163.93,2022-03-07T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,67,41138.86,18.43,218.08,0,13.02,2.8,747.09,2022-03-08T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,68,41284.58,2.25,164.93,0,10.15,2.93,754.04,2022-03-09T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,69,41430.64,0,276.38,0,9.69,0.59,637.19,2022-03-10T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,70,41577.01,9.45,320.81,0,18.06,-0.24,599.96,2022-03-11T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,71,41723.65,4.99,144.57,0,2.13,-3.63,467.28,2022-03-12T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,72,41870.55,0,443.47,0,8.13,-9.5,297.46,2022-03-13T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,73,42017.68,0,474.73,0,16.75,-6.28,382.18,2022-03-14T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,74,42165.01,0,447.09,0,19.2,-0.29,597.78,2022-03-15T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,75,42312.52,6.35,297.41,0,17.43,2.2,715.37,2022-03-16T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,76,42460.18,0,407.82,0,20.11,4.08,817.47,2022-03-17T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,77,42607.96,0,396.12,0,20.75,5.65,912.04,2022-03-18T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,78,42755.84,0,418.97,0,23.01,6.2,947.9,2022-03-19T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,79,42903.8,0,203.72,0,12.16,5.84,924.32,2022-03-20T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,80,43051.81,0,440.62,0,20.03,2.31,721.34,2022-03-21T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,81,43199.84,0,438.75,0,20.34,2.96,755.41,2022-03-22T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,82,43347.87,24.26,214.28,0,15.61,6.68,979.36,2022-03-23T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,83,43495.88,0.27,286.85,0,18.28,9.32,1172.45,2022-03-24T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,84,43643.83,0,297.31,0,12.62,3.72,797.12,2022-03-25T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,85,43791.72,0,218.8,0,6.72,0.53,634.85,2022-03-26T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,86,43939.5,0,214.01,0,4.41,-1.44,549.62,2022-03-27T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,87,44087.16,0,309.77,0,5.91,-2.94,491.85,2022-03-28T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,88,44234.66,0,453.84,0,11.25,-4.25,445.78,2022-03-29T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,89,44381.99,0,505.62,0,19.56,-1.78,536.16,2022-03-30T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,90,44529.12,5.01,338.94,0,21.75,5.22,885.43,2022-03-31T00:00:00Z,3,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,91,44676.03,0,233.42,0,10.41,3.99,812.57,2022-04-01T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,92,44822.67,0,494.83,0,16.11,-2.16,521.12,2022-04-02T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,93,44969.04,0,423.55,0,12.75,-0.47,590.09,2022-04-03T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,94,45115.1,0,485.81,0,16.57,-0.51,588.32,2022-04-04T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,95,45260.82,29.18,348.48,0,17.91,2.2,715.47,2022-04-05T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,96,45406.18,10.52,292.56,0,21.85,9.67,1200.79,2022-04-06T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,97,45551.15,6.53,174.92,0,16.04,9.69,1201.93,2022-04-07T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,98,45695.71,2.69,306.08,0,13.64,1.55,683.17,2022-04-08T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,99,45839.81,0,299.96,0,8.49,0.51,633.71,2022-04-09T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,100,45983.43,0,453.38,0,14.98,1.05,659,2022-04-10T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,101,46126.55,0,532.8,0,23.71,1.56,683.33,2022-04-11T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,102,46269.12,0,474.87,0,22.25,5.94,930.77,2022-04-12T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,103,46411.13,0,416.26,0,25.32,12.04,1405.13,2022-04-13T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,104,46552.53,0,387.97,0,22.76,11.27,1335.68,2022-04-14T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,105,46693.3,0,497.44,0,21.12,4.33,831.99,2022-04-15T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,106,46833.4,0,498.19,0,23.6,6.35,957.61,2022-04-16T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,107,46972.8,3.73,282.14,0,18.36,7.87,1062.77,2022-04-17T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,108,47111.47,21.33,126.72,0,6.06,2.14,712.78,2022-04-18T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,109,47249.36,0,313.63,0,8.41,0.71,642.8,2022-04-19T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,110,47386.45,0,540.69,0,17.22,-1.33,553.93,2022-04-20T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,111,47522.69,0,535.2,0,19.74,1.38,675.01,2022-04-21T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,112,47658.06,0,519.54,0,26.18,7.5,1036.51,2022-04-22T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,113,47792.5,0,508.58,0,27.89,9.46,1183.7,2022-04-23T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,114,47925.99,0,492.85,0,29.28,11.53,1358.69,2022-04-24T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,115,48058.48,0,471.25,0,29.27,12.68,1465.63,2022-04-25T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,116,48189.94,1.5,413.36,0,23.79,10.88,1302.01,2022-04-26T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,117,48320.32,0,378.92,0,16.3,5.4,896.61,2022-04-27T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,118,48449.58,0,454.43,0,18.64,4.58,846.77,2022-04-28T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,119,48577.69,0,409.17,0,17.61,5.84,924.15,2022-04-29T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,120,48704.58,8.02,165.77,0,13.6,7.96,1069.44,2022-04-30T00:00:00Z,4,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,121,48830.24,2.5,311.33,0,21.06,8.87,1137.2,2022-05-01T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,122,48954.6,0,489.28,0,27.03,10.54,1272.05,2022-05-02T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,123,49077.62,9.97,370.61,0,27.43,10.36,1257.5,2022-05-03T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,124,49199.26,0,468.94,0,26.74,11.51,1357.1,2022-05-04T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,125,49319.48,3.64,327.25,0,23.47,10.29,1251.79,2022-05-05T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,126,49438.22,19.16,246.92,0,19.82,10.9,1303.57,2022-05-06T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,127,49555.44,6.87,119.36,0,14.35,10.44,1264.2,2022-05-07T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,128,49671.09,0,264.89,0,12.35,5.8,922.11,2022-05-08T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,129,49785.13,0,531.62,0,20.92,3.3,773.96,2022-05-09T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,130,49897.5,0,554.55,0,23.87,3.56,788.05,2022-05-10T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,131,50008.15,0,550.15,0,25.69,5.49,898.07,2022-05-11T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,132,50117.04,4.42,362.04,0,22.33,7.31,1023.06,2022-05-12T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,133,50224.12,13.09,275.48,0,22.18,11.93,1395.02,2022-05-13T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,134,50329.34,1.84,315.5,0,23.3,14.66,1667.95,2022-05-14T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,135,50432.64,0,444.77,0,26.94,13.44,1540.15,2022-05-15T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,136,50533.97,0,358.29,0,23.6,13.87,1584.69,2022-05-16T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,137,50633.3,0,490.47,0,25.16,9.89,1218.33,2022-05-17T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,138,50730.55,0,501.85,0,26.21,9.76,1207.61,2022-05-18T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,139,50825.7,1.14,475.84,0,28.22,12.58,1456.74,2022-05-19T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,140,50918.68,0,472.01,0,32.03,15.8,1793.97,2022-05-20T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,141,51009.45,7.75,331.42,0,30.9,16.48,1874.04,2022-05-21T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,142,51097.95,10.32,329.02,0,29.81,15.9,1806.26,2022-05-22T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,143,51184.14,65.98,133.4,0,19.26,14.82,1685.14,2022-05-23T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,144,51267.97,4.39,142.09,0,16.43,11.95,1397.25,2022-05-24T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,145,51349.39,1.22,235.51,0,17.73,12.2,1420.42,2022-05-25T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,146,51428.35,20.52,192.5,0,18.94,12.92,1489.47,2022-05-26T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,147,51504.81,22.65,295.96,0,23.67,13.53,1549.17,2022-05-27T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,148,51578.72,0,410.45,0,22.95,12.51,1449.41,2022-05-28T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,149,51650.03,0,501.23,0,26.35,11.6,1365.65,2022-05-29T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,150,51718.7,0,509.95,0,29.21,12.98,1495.36,2022-05-30T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,151,51784.7,0,480.85,0,30.64,15.62,1773.67,2022-05-31T00:00:00Z,5,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,152,51847.96,0,472.7,0,30.69,16.14,1833.39,2022-06-01T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,153,51908.47,3.12,318.79,0,29.19,17.08,1946.61,2022-06-02T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,154,51966.16,0,314.61,0,23.53,15.82,1795.99,2022-06-03T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,155,52021.02,0,495.22,0,25.3,11.11,1321.63,2022-06-04T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,156,52072.99,0,497.86,0,25.43,10.92,1305.27,2022-06-05T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,157,52122.06,0,467.89,0,25.36,12.02,1403.5,2022-06-06T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,158,52168.17,1.62,398.38,0,23.38,12.82,1479.75,2022-06-07T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,159,52211.3,14.01,317.47,0,27.65,15.72,1785.08,2022-06-08T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,160,52251.43,0,322.51,0,24.03,16.04,1821.78,2022-06-09T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,161,52288.51,0,475.16,0,23.65,10.88,1301.52,2022-06-10T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,162,52322.54,0,467.12,0,25.14,12.55,1453.9,2022-06-11T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,163,52353.47,0,476.21,0,29.17,15.32,1740.17,2022-06-12T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,164,52381.3,6.27,337.46,0,31.36,18,2062.46,2022-06-13T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,165,52405.99,1.46,424.9,0,30.54,18.51,2130.33,2022-06-14T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,166,52427.54,0,427.31,0,32.51,19.89,2321.87,2022-06-15T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,167,52445.92,12.99,323.26,0,33.31,20.33,2384.89,2022-06-16T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,168,52461.13,2.65,338.91,0,32,18.5,2128.75,2022-06-17T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,169,52473.15,0,308.5,0,23.82,16.47,1873.1,2022-06-18T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,170,52481.97,0,528.62,0,24.72,9.29,1169.95,2022-06-19T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,171,52487.6,0,482.8,0,23.06,10.31,1253.05,2022-06-20T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,172,52490.01,0,532.22,0,30.36,13.09,1506.1,2022-06-21T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,173,52489.21,8.55,386.01,0,32.18,14.98,1702,2022-06-22T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,174,52485.21,0,437.93,0,29.37,16.77,1909.12,2022-06-23T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,175,52478,0,430.1,0,29.67,17.15,1954.6,2022-06-24T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,176,52467.59,0,421.08,0,29.67,17.35,1979.67,2022-06-25T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,177,52453.99,0,354.52,0,27.59,17.89,2048.22,2022-06-26T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,178,52437.21,2.41,247.92,0,26.85,17.95,2057.04,2022-06-27T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,179,52417.25,0,488.28,0,26.69,12.03,1404.8,2022-06-28T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,180,52394.14,0,500.54,0,29.11,13.28,1524.63,2022-06-29T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,181,52367.89,0,480.67,0,30.8,15.62,1774.13,2022-06-30T00:00:00Z,6,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,182,52338.53,0,459.89,0,31.68,17.32,1976.59,2022-07-01T00:00:00Z,7,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,183,52306.06,5.92,314.64,0,30.9,18.36,2110.34,2022-07-02T00:00:00Z,7,37.4,-80.06,1091.18
elevation,high elevation,H1,2022,184,52270.51,0,325.27,0,27.48,18.67,2151.52,2022-07-03T00:00:00Z,7,37.4,-80.06,1091.18
